CoC
35.47
6.2
E     f1    f2
10.0000  -9999.00000  1.11380
10.1617  -9999.00000  1.15539
10.3261  -9999.00000  1.19873
10.4931  -9999.00000  1.24392
10.6628  -9999.00000  1.29102
10.8353  -9999.00000  1.34085
11.0106  -9999.00000  1.39493
11.1886  -9999.00000  1.45156
11.3696  -9999.00000  1.51087
11.5535  -9999.00000  1.57300
11.7404  -9999.00000  1.63809
11.9303  -9999.00000  1.70630
12.1232  -9999.00000  1.76827
12.3193  -9999.00000  1.83210
12.5186  -9999.00000  1.89879
12.7210  -9999.00000  1.96849
12.9268  -9999.00000  2.04133
13.1359  -9999.00000  2.11750
13.3483  -9999.00000  2.19715
13.5642  -9999.00000  2.26527
13.7836  -9999.00000  2.33305
14.0066  -9999.00000  2.40307
14.2331  -9999.00000  2.47541
14.4633  -9999.00000  2.55008
14.6973  -9999.00000  2.62157
14.9350  -9999.00000  2.68364
15.1765  -9999.00000  2.74722
15.4220  -9999.00000  2.81234
15.6714  -9999.00000  2.87903
15.9249  -9999.00000  2.94734
16.1825  -9999.00000  3.01234
16.4442  -9999.00000  3.06288
16.7102  -9999.00000  3.11430
16.9805  -9999.00000  3.16660
17.2551  -9999.00000  3.21533
17.5342  -9999.00000  3.26073
17.8178  -9999.00000  3.30405
18.1060  -9999.00000  3.33710
18.3989  -9999.00000  3.37053
18.6964  -9999.00000  3.40435
18.9988  -9999.00000  3.43856
19.3061  -9999.00000  3.47316
19.6184  -9999.00000  3.50816
19.9357  -9999.00000  3.54349
20.2582  -9999.00000  3.57750
20.5858  -9999.00000  3.59590
20.9188  -9999.00000  3.60739
21.2571  -9999.00000  3.61926
21.6009  -9999.00000  3.63150
21.9503  -9999.00000  3.64411
22.3053  -9999.00000  3.65711
22.6661  -9999.00000  3.67050
23.0327  -9999.00000  3.68193
23.4053  -9999.00000  3.67989
23.7838  -9999.00000  3.67860
24.1685  -9999.00000  3.67806
24.5594  -9999.00000  3.67412
24.9566  -9999.00000  3.66718
25.3603  -9999.00000  3.66080
25.7705  -9999.00000  3.65498
26.1873  -9999.00000  3.64940
26.6109  -9999.00000  3.63994
27.0413  -9999.00000  3.63117
27.4786  -9999.00000  3.62311
27.9231  -9999.00000  3.61574
28.3747  -9999.00000  3.60384
28.8337  -9999.00000  3.57511
29.3000  3.80785  3.54686
29.7739  3.86230  3.51909
30.2555  3.91354  3.48976
30.7449  3.96098  3.46093
31.2421  4.00576  3.43263
31.7475  4.04846  3.40485
32.2609  4.08963  3.37757
32.7827  4.13097  3.35079
33.3130  4.17483  3.31900
33.8518  4.21064  3.28325
34.3993  4.24132  3.24804
34.9557  4.26803  3.21336
35.5211  4.29113  3.18063
36.0956  4.31206  3.14860
36.6794  4.33009  3.11701
37.2727  4.34416  3.08585
37.8755  4.35579  3.05968
38.4882  4.36746  3.03419
39.1107  4.37914  3.00906
39.7432  4.39002  2.98192
40.3861  4.39643  2.95314
41.0393  4.39907  2.92488
41.7031  4.39823  2.89714
42.3776  4.39382  2.87008
43.0630  4.38585  2.84359
43.7595  4.37390  2.81758
44.4673  4.35698  2.79205
45.1865  4.33432  2.76747
45.9174  4.30723  2.74822
46.6600  4.27727  2.72922
47.4147  4.24239  2.71071
48.1816  4.20134  2.69243
48.9609  4.15259  2.67435
49.7528  4.09392  2.65649
50.5576  4.02159  2.63883
51.3753  3.93319  2.62818
52.2062  3.82913  2.62011
53.0506  3.69226  2.61576
53.9087  3.53708  2.65304
54.7806  3.36434  2.69321
55.6667  3.13639  2.75235
56.5670  2.83231  2.83899
57.4820  2.32157  3.15384
58.4117  2.01651  3.75832
59.3564  1.91412  4.51086
60.3165  2.18047  5.44734
61.2921  2.99257  5.93012
62.2834  3.63067  6.11704
63.2908  4.19899  6.05391
64.3145  4.58351  5.91901
65.3547  4.85211  5.79739
66.4118  5.07856  5.68911
67.4859  5.27125  5.58281
68.5775  5.43406  5.47848
69.6867  5.56983  5.37612
70.8138  5.67459  5.28391
71.9591  5.77268  5.20853
73.1230  5.86150  5.13423
74.3057  5.93814  5.06099
75.5076  5.99790  4.98882
76.7289  6.02451  4.91861
77.9699  6.05219  4.90950
79.2310  6.09919  4.90054
80.5125  6.15284  4.89173
81.8147  6.20944  4.88306
83.1380  6.26746  4.87453
84.4827  6.32602  4.86614
85.8491  6.38453  4.85789
87.2377  6.44247  4.84978
88.6487  6.49904  4.84179
90.0825  6.55170  4.83394
91.5395  6.60264  4.83529
93.0201  6.65916  4.83977
94.5246  6.71878  4.84440
96.0535  6.78061  4.84919
97.6071  6.84451  4.85412
99.1858  6.91060  4.85920
100.7900  6.97941  4.86442
102.4200  7.05238  4.86978
104.0770  7.13546  4.87082
105.7600  7.21287  4.85671
107.4710  7.28472  4.84271
109.2090  7.35342  4.82884
110.9750  7.42037  4.81509
112.7700  7.48595  4.80144
114.5940  7.55058  4.78791
116.4480  7.61435  4.77450
118.3310  7.67751  4.76120
120.2450  7.74015  4.74800
122.1900  7.80238  4.73491
124.1660  7.86430  4.72192
126.1750  7.92551  4.70904
128.2150  7.98058  4.70150
130.2890  8.05548  4.70245
132.3970  8.13016  4.67947
134.5380  8.19812  4.65599
136.7140  8.26195  4.63270
138.9250  8.32371  4.60959
141.1720  8.38399  4.58668
143.4560  8.44322  4.56396
145.7760  8.50164  4.54139
148.1340  8.55949  4.51895
150.5300  8.61693  4.49667
152.9640  8.67439  4.47465
155.4390  8.73257  4.45275
157.9530  8.79325  4.43100
160.5070  8.85412  4.40306
163.1030  8.91492  4.37247
165.7420  8.97058  4.33845
168.4220  9.02308  4.30467
171.1460  9.07330  4.27119
173.9150  9.12182  4.23799
176.7270  9.16889  4.20513
179.5860  9.21484  4.17255
182.4910  9.26004  4.14025
185.4420  9.30533  4.10821
188.4420  9.35088  4.07427
191.4890  9.39651  4.03863
194.5870  9.43799  3.99825
197.7340  9.47569  3.95838
200.9320  9.51064  3.91898
204.1820  9.54342  3.87995
207.4850  9.57476  3.84091
210.8400  9.60476  3.80176
214.2510  9.63154  3.75908
217.7160  9.65402  3.71673
221.2370  9.67250  3.67499
224.8160  9.68768  3.63405
228.4520  9.69951  3.59355
232.1470  9.70771  3.55347
235.9020  9.71230  3.51389
239.7170  9.71331  3.47341
243.5950  9.70783  3.43173
247.5350  9.69532  3.38902
251.5380  9.67272  3.34579
255.6070  9.63821  3.30319
259.7410  9.58903  3.26113
263.9420  9.51989  3.21967
268.2110  9.42208  3.17877
272.5490  9.27474  3.13594
276.9570  9.02731  3.09295
281.4370  8.47124  3.05032
285.9890  8.27449  5.01554
290.6150  9.15893  4.93643
295.3150  9.56423  4.85863
300.0920  9.83918  4.78137
304.9450  10.05078  4.70470
309.8780  10.22323  4.62850
314.8900  10.36907  4.55345
319.9830  10.49560  4.47968
325.1580  10.60782  4.40723
330.4180  10.70830  4.33501
335.7620  10.79894  4.26354
341.1920  10.88087  4.19274
346.7110  10.95532  4.12307
352.3190  11.02351  4.05456
358.0170  11.08673  3.98722
363.8080  11.14521  3.91993
369.6920  11.19917  3.85353
375.6720  11.25020  3.78814
381.7480  11.29813  3.72017
387.9220  11.34060  3.65096
394.1970  11.37709  3.58256
400.5730  11.40919  3.51513
407.0520  11.43705  3.44887
413.6350  11.46130  3.38392
420.3260  11.48205  3.31973
427.1240  11.49946  3.25659
434.0320  11.51331  3.19428
441.0520  11.52382  3.13319
