CoO
37.46
6.2
E     f1    f2
10.0000  -9999.00000  1.06200
10.1617  -9999.00000  1.08324
10.3261  -9999.00000  1.10311
10.4931  -9999.00000  1.12351
10.6628  -9999.00000  1.14446
10.8353  -9999.00000  1.16599
11.0106  -9999.00000  1.18809
11.1886  -9999.00000  1.21079
11.3696  -9999.00000  1.23411
11.5535  -9999.00000  1.25805
11.7404  -9999.00000  1.28265
11.9303  -9999.00000  1.30862
12.1232  -9999.00000  1.32962
12.3193  -9999.00000  1.35034
12.5186  -9999.00000  1.37145
12.7210  -9999.00000  1.39298
12.9268  -9999.00000  1.41492
13.1359  -9999.00000  1.43728
13.3483  -9999.00000  1.46006
13.5642  -9999.00000  1.48591
13.7836  -9999.00000  1.51465
14.0066  -9999.00000  1.54394
14.2331  -9999.00000  1.57380
14.4633  -9999.00000  1.60417
14.6973  -9999.00000  1.63670
14.9350  -9999.00000  1.67707
15.1765  -9999.00000  1.71856
15.4220  -9999.00000  1.76119
15.6714  -9999.00000  1.82421
15.9249  -9999.00000  1.90256
16.1825  -9999.00000  1.98693
16.4442  -9999.00000  2.07793
16.7102  -9999.00000  2.17619
16.9805  -9999.00000  2.28246
17.2551  -9999.00000  2.39305
17.5342  -9999.00000  2.50907
17.8178  -9999.00000  2.63926
18.1060  -9999.00000  2.78865
18.3989  -9999.00000  2.95322
18.6964  -9999.00000  3.13466
18.9988  -9999.00000  3.29090
19.3061  -9999.00000  3.39609
19.6184  -9999.00000  3.50566
19.9357  -9999.00000  3.59289
20.2582  -9999.00000  3.64408
20.5858  -9999.00000  3.69599
20.9188  -9999.00000  3.74865
21.2571  -9999.00000  3.80207
21.6009  -9999.00000  3.85350
21.9503  -9999.00000  3.89887
22.3053  -9999.00000  3.94478
22.6661  -9999.00000  3.99124
23.0327  -9999.00000  4.03825
23.4053  -9999.00000  4.08582
23.7838  -9999.00000  4.13396
24.1685  -9999.00000  4.17718
24.5594  -9999.00000  4.20960
24.9566  -9999.00000  4.23866
25.3603  -9999.00000  4.26795
25.7705  -9999.00000  4.29746
26.1873  -9999.00000  4.32720
26.6109  -9999.00000  4.35717
27.0413  -9999.00000  4.38737
27.4786  -9999.00000  4.41779
27.9231  -9999.00000  4.44846
28.3747  -9999.00000  4.47414
28.8337  -9999.00000  4.48255
29.3000  2.63680  4.49101
29.7739  2.71306  4.49954
30.2555  2.78712  4.50812
30.7449  2.85971  4.51676
31.2421  2.93133  4.52545
31.7475  3.00252  4.53420
32.2609  3.07383  4.54300
32.7827  3.14705  4.55186
33.3130  3.22472  4.55528
33.8518  3.29649  4.55433
34.3993  3.36572  4.55350
34.9557  3.43441  4.55280
35.5211  3.50438  4.55222
36.0956  3.57881  4.55178
36.6794  3.65853  4.53163
37.2727  3.72098  4.50623
37.8755  3.77617  4.48554
38.4882  3.82840  4.46525
39.1107  3.87744  4.44505
39.7432  3.92320  4.42495
40.3861  3.96579  4.40494
41.0393  4.00523  4.38504
41.7031  4.04147  4.36523
42.3776  4.07447  4.34569
43.0630  4.10431  4.32632
43.7595  4.13079  4.30704
44.4673  4.15369  4.28786
45.1865  4.17279  4.26876
45.9174  4.18776  4.24976
46.6600  4.19827  4.23086
47.4147  4.20423  4.21232
48.1816  4.20608  4.19386
48.9609  4.20561  4.17088
49.7528  4.19074  4.13776
50.5576  4.15635  4.10498
51.3753  4.10311  4.07934
52.2062  4.03244  4.05642
53.0506  3.92802  4.03735
53.9087  3.80523  4.05794
54.7806  3.66168  4.07994
55.6667  3.46055  4.12114
56.5670  3.18157  4.19007
57.4820  2.69437  4.48744
58.4117  2.41138  5.07466
59.3564  2.32959  5.81016
60.3165  2.61475  6.72982
61.2921  3.44306  7.19730
62.2834  4.09770  7.37227
63.2908  4.68358  7.29727
64.3145  5.08576  7.15059
65.3547  5.37188  7.01728
66.4118  5.61566  6.89738
67.4859  5.82543  6.77956
68.5775  6.00502  6.66378
69.6867  6.15718  6.55006
70.8138  6.27797  6.44704
71.9591  6.39220  6.36103
73.1230  6.49705  6.27618
74.3057  6.58963  6.19245
75.5076  6.66519  6.10986
76.7289  6.70748  6.02932
77.9699  6.75071  6.00992
79.2310  6.81318  5.99076
80.5125  6.88218  5.97182
81.8147  6.95407  5.95308
83.1380  7.02732  5.93456
84.4827  7.10107  5.91624
85.8491  7.17478  5.89815
87.2377  7.24795  5.88025
88.6487  7.31982  5.86256
90.0825  7.38789  5.84506
91.5395  7.45445  5.83685
93.0201  7.52689  5.83183
94.5246  7.60289  5.82704
96.0535  7.68187  5.82247
97.6071  7.76439  5.81811
99.1858  7.85322  5.81147
100.7900  7.94121  5.79857
102.4200  8.03039  5.78617
104.0770  8.12788  5.76978
105.7600  8.21854  5.73857
107.4710  8.30273  5.70781
109.2090  8.38300  5.67748
110.9750  8.46087  5.64759
112.7700  8.53683  5.61811
114.5940  8.61133  5.58905
116.4480  8.68452  5.56039
118.3310  8.75671  5.53215
120.2450  8.82803  5.50428
122.1900  8.89861  5.47680
124.1660  8.96858  5.44971
126.1750  9.03753  5.42298
128.2150  9.10004  5.40186
130.2890  9.18206  5.38950
132.3970  9.26336  5.35344
134.5380  9.33733  5.31778
136.7140  9.40756  5.28362
138.9250  9.47630  5.24982
141.1720  9.54384  5.21638
143.4560  9.61055  5.18330
145.7760  9.67662  5.15055
148.1340  9.74234  5.11810
150.5300  9.80783  5.08596
152.9640  9.87356  5.05424
155.4390  9.94026  5.02281
157.9530  10.00971  4.99167
160.5070  10.07967  4.95450
163.1030  10.14990  4.91483
165.7420  10.21538  4.87187
168.4220  10.27819  4.82930
171.1460  10.33929  4.78717
173.9150  10.39942  4.74547
176.7270  10.45904  4.70424
179.5860  10.51928  4.66343
182.4910  10.58256  4.62066
185.4420  10.64238  4.57308
188.4420  10.70063  4.52530
191.4890  10.75875  4.47625
194.5870  10.81264  4.42286
197.7340  10.86293  4.37036
200.9320  10.91080  4.31871
204.1820  10.95698  4.26779
207.4850  11.00242  4.21723
210.8400  11.04734  4.16688
214.2510  11.09011  4.11335
217.7160  11.12982  4.06046
