Cr2O3
30.39
5.21
E     f1    f2
10.0000  -9999.00000  0.84477
10.1617  -9999.00000  0.86578
10.3261  -9999.00000  0.88534
10.4931  -9999.00000  0.90576
10.6628  -9999.00000  0.92708
10.8353  -9999.00000  0.94933
11.0106  -9999.00000  0.97256
11.1886  -9999.00000  0.99654
11.3696  -9999.00000  1.02013
11.5535  -9999.00000  1.04467
11.7404  -9999.00000  1.07022
11.9303  -9999.00000  1.09768
12.1232  -9999.00000  1.12663
12.3193  -9999.00000  1.15672
12.5186  -9999.00000  1.18799
12.7210  -9999.00000  1.22049
12.9268  -9999.00000  1.25385
13.1359  -9999.00000  1.28850
13.3483  -9999.00000  1.32451
13.5642  -9999.00000  1.36508
13.7836  -9999.00000  1.41003
14.0066  -9999.00000  1.45815
14.2331  -9999.00000  1.51116
14.4633  -9999.00000  1.56636
14.6973  -9999.00000  1.62592
14.9350  -9999.00000  1.69654
15.1765  -9999.00000  1.75280
15.4220  -9999.00000  1.80682
15.6714  -9999.00000  1.88563
15.9249  -9999.00000  1.98314
16.1825  -9999.00000  2.08820
16.4442  -9999.00000  2.20156
16.7102  -9999.00000  2.31277
16.9805  -9999.00000  2.43220
17.2551  -9999.00000  2.56199
17.5342  -9999.00000  2.70319
17.8178  -9999.00000  2.86154
18.1060  -9999.00000  3.03683
18.3989  -9999.00000  3.22207
18.6964  -9999.00000  3.42733
18.9988  -9999.00000  3.60209
19.3061  -9999.00000  3.71534
19.6184  -9999.00000  3.82979
19.9357  -9999.00000  3.91526
20.2582  -9999.00000  3.95918
20.5858  -9999.00000  4.00369
20.9188  -9999.00000  4.04879
21.2571  -9999.00000  4.09449
21.6009  -9999.00000  4.13126
21.9503  -9999.00000  4.15238
22.3053  -9999.00000  4.17379
22.6661  -9999.00000  4.19549
23.0327  -9999.00000  4.21749
23.4053  -9999.00000  4.23977
23.7838  -9999.00000  4.24046
24.1685  -9999.00000  4.23376
24.5594  -9999.00000  4.21913
24.9566  -9999.00000  4.20501
25.3603  -9999.00000  4.19141
25.7705  -9999.00000  4.17831
26.1873  -9999.00000  4.16571
26.6109  -9999.00000  4.14261
27.0413  -9999.00000  4.11063
27.4786  -9999.00000  4.08009
27.9231  -9999.00000  4.05098
28.3747  -9999.00000  4.02323
28.8337  -9999.00000  3.99681
29.3000  3.15156  3.97315
29.7739  3.19682  3.95238
30.2555  3.24019  3.93266
30.7449  3.28134  3.91393
31.2421  3.32024  3.89618
31.7475  3.35668  3.87939
32.2609  3.39034  3.86464
32.7827  3.42341  3.85158
33.3130  3.45532  3.83929
