Cr2Si
44.03
6.2
E     f1    f2
10.0000  -6665.56339  0.74696
10.1617  -6665.55633  0.77872
10.3261  -6665.54915  0.81186
10.4931  -6665.54186  0.84645
10.6628  -6665.53445  0.88255
10.8353  -6665.52692  0.92021
11.0106  -6665.51926  0.95952
11.1886  -6665.51149  1.00009
11.3696  -6665.50359  1.04001
11.5535  -6665.49556  1.08155
11.7404  -6665.48740  1.12477
11.9303  -6665.47910  1.16975
12.1232  -6665.47068  1.21656
12.3193  -6665.46212  1.26528
12.5186  -6665.45342  1.31598
12.7210  -6665.44458  1.36873
12.9268  -6665.43559  1.42291
13.1359  -6665.42646  1.47927
13.3483  -6665.41719  1.53789
13.5642  -6665.40776  1.59886
13.7836  -6665.39818  1.66228
14.0066  -6665.38844  1.73079
14.2331  -6665.37855  1.80725
14.4633  -6665.36850  1.88714
14.6973  -6665.35828  1.97061
14.9350  -6665.34791  2.05782
15.1765  -6665.33736  2.11985
15.4220  -6665.32664  2.17690
15.6714  -6665.31575  2.23549
15.9249  -6665.30468  2.29567
16.1825  -6665.29343  2.35746
16.4442  -6665.28201  2.42094
16.7102  -6665.27039  2.46742
16.9805  -6665.25859  2.51274
17.2551  -6665.24660  2.55889
17.5342  -6665.23441  2.60589
17.8178  -6665.22203  2.65375
18.1060  -6665.20945  2.69207
18.3989  -6665.19666  2.71728
18.6964  -6665.18367  2.74273
18.9988  -6665.17046  2.76843
19.3061  -6665.15704  2.79437
19.6184  -6665.14341  2.81420
19.9357  -6665.12955  2.83095
20.2582  -6665.11547  2.84781
20.5858  -6665.10117  2.86479
20.9188  -6665.08663  2.88188
21.2571  -6665.07186  2.89908
21.6009  -6665.05684  2.90600
21.9503  -6665.04159  2.89960
22.3053  -6665.02609  2.89326
22.6661  -6665.01033  2.88696
23.0327  -6664.99432  2.88070
23.4053  -6664.97806  2.87449
23.7838  -6664.96153  2.83184
24.1685  -6664.94473  2.78741
24.5594  -6664.92766  2.74377
24.9566  -6664.91032  2.70093
25.3603  -6664.89269  2.65887
25.7705  -6664.87478  2.61757
26.1873  -6664.85658  2.57702
26.6109  -6664.83808  2.51893
27.0413  -6664.81929  2.44593
27.4786  -6664.80020  2.37528
27.9231  -6664.78079  2.30692
28.3747  -6664.76107  2.24077
28.8337  -6664.74103  2.17677
29.3000  5.24089  2.11727
29.7739  5.22310  2.06091
30.2555  5.20214  2.00616
30.7449  5.17718  1.95298
31.2421  5.14765  1.90133
31.7475  5.11310  1.85142
32.2609  5.07294  1.80548
32.7827  5.03067  1.76225
33.3130  4.98476  1.72022
33.8518  4.93429  1.67935
34.3993  4.87870  1.63962
34.9557  4.81725  1.60062
35.5211  4.74842  1.56250
36.0956  4.67094  1.52545
36.6794  4.58238  1.48946
37.2727  4.47585  1.45448
37.8755  4.35550  1.44498
38.4882  4.23300  1.43922
39.1107  4.09941  1.44483
39.7432  3.95265  1.45350
40.3861  3.79210  1.49339
41.0393  3.62736  1.53899
41.7031  3.43287  1.59692
42.3776  3.22774  1.69570
43.0630  2.98525  1.80115
43.7595  2.70422  2.04418
44.4673  2.49656  2.36874
45.1865  2.34989  2.74867
45.9174  2.28841  3.19344
46.6600  2.41575  3.69154
47.4147  2.60219  3.92374
48.1816  2.73619  4.17115
48.9609  2.87498  4.43473
49.7528  3.08200  4.68168
50.5576  3.27301  4.85181
51.3753  3.45323  5.02831
52.2062  3.64853  5.21142
53.0506  3.89936  5.37033
53.9087  4.12705  5.46263
54.7806  4.34088  5.55654
55.6667  4.56032  5.65208
56.5670  4.81437  5.74927
57.4820  5.10042  5.75738
58.4117  5.33452  5.73455
59.3564  5.54495  5.71184
60.3165  5.76453  5.69144
61.2921  5.97303  5.60682
62.2834  6.14529  5.52073
63.2908  6.29531  5.43622
64.3145  6.43423  5.35326
65.3547  6.57353  5.27164
66.4118  6.70154  5.15594
67.4859  6.79779  5.03654
68.5775  6.87150  4.92008
69.6867  6.92115  4.80727
70.8138  6.96230  4.71670
71.9591  6.99778  4.62475
73.1230  7.02171  4.53460
74.3057  7.02799  4.44621
75.5076  7.02696  4.38328
76.7289  7.02872  4.32332
77.9699  7.02545  4.26448
79.2310  7.01540  4.20681
