Cr3Si
34.06
6
E     f1    f2
10.0000   9.5E+0232   9.5E+0232
10.1617  -2498.75166  0.37260
10.3261  -2498.73551  0.38633
10.4931  -2498.71911  0.40063
10.6628  -2498.70243  0.41551
10.8353  -2498.68549  0.43100
11.0106  -2498.66826  0.44713
11.1886  -2498.65078  0.46376
11.3696  -2498.63300  0.48016
11.5535  -2498.61493  0.49720
11.7404  -2498.59657  0.51489
11.9303  -2498.57791  0.53326
12.1232  -2498.55896  0.55234
12.3193  -2498.53969  0.57217
12.5186  -2498.52011  0.59276
12.7210  -2498.50023  0.61415
12.9268  -2498.48001  0.63610
13.1359  -2498.45947  0.65889
13.3483  -2498.43860  0.68255
13.5642  -2498.41739  0.70713
13.7836  -2498.39583  0.73265
14.0066  -2498.37392  0.76011
14.2331  -2498.35167  0.79058
14.4633  -2498.32905  0.82237
14.6973  -2498.30607  0.85552
14.9350  -2498.28271  0.89011
15.1765  -2498.25899  0.91529
15.4220  -2498.23487  0.93863
15.6714  -2498.21037  0.96258
15.9249  -2498.18546  0.98715
16.1825  -2498.16015  1.01237
16.4442  -2498.13444  1.03825
16.7102  -2498.10831  1.05779
16.9805  -2498.08175  1.07693
17.2551  -2498.05477  1.09641
17.5342  -2498.02735  1.11625
17.8178  -2497.99949  1.13644
18.1060  -2497.97118  1.15310
18.3989  -2497.94240  1.16488
18.6964  -2497.91317  1.17678
18.9988  -2497.88347  1.18881
19.3061  -2497.85327  1.20098
19.6184  -2497.82259  1.21089
19.9357  -2497.79142  1.21969
20.2582  -2497.75974  1.22857
20.5858  -2497.72755  1.23754
20.9188  -2497.69483  1.24658
21.2571  -2497.66160  1.25572
21.6009  -2497.62782  1.26104
21.9503  -2497.59350  1.26141
22.3053  -2497.55862  1.26185
22.6661  -2497.52317  1.26234
23.0327  -2497.48716  1.26290
23.4053  -2497.45055  1.26353
23.7838  -2497.41336  1.25054
24.1685  -2497.37557  1.23692
24.5594  -2497.33716  1.22366
24.9566  -2497.29814  1.21074
25.3603  -2497.25848  1.19817
25.7705  -2497.21818  1.18594
26.1873  -2497.17723  1.17404
26.6109  -2497.13562  1.15561
27.0413  -2497.09333  1.13165
27.4786  -2497.05037  1.10862
27.9231  -2497.00670  1.08651
28.3747  -2496.96233  1.06529
28.8337  -2496.91724  1.04493
29.3000  4.36415  1.02632
29.7739  4.34062  1.00587
30.2555  4.31649  0.98603
30.7449  4.29135  0.96678
31.2421  4.26439  0.94810
31.7475  4.23576  0.93058
32.2609  4.20562  0.91580
32.7827  4.17570  0.90206
33.3130  4.14504  0.88879
33.8518  4.11317  0.87598
34.3993  4.07981  0.86363
34.9557  4.04462  0.85158
35.5211  4.00700  0.83988
36.0956  3.96645  0.82861
36.6794  3.92201  0.81777
37.2727  3.87111  0.80733
37.8755  3.81529  0.80648
38.4882  3.75898  0.80705
39.1107  3.69898  0.81192
39.7432  3.63479  0.81728
40.3861  3.56520  0.83323
41.0393  3.49309  0.85134
41.7031  3.40962  0.87406
42.3776  3.32190  0.91212
43.0630  3.21993  0.95267
43.7595  3.10326  1.04483
44.4673  3.01387  1.16756
45.1865  2.94710  1.31106
45.9174  2.91212  1.47887
46.6600  2.94766  1.66632
47.4147  3.00483  1.75389
48.1816  3.04168  1.84715
48.9609  3.07977  1.94649
49.7528  3.14286  2.03958
50.5576  3.19929  2.10387
51.3753  3.25099  2.17055
52.2062  3.30707  2.23971
53.0506  3.38294  2.30031
53.9087  3.44977  2.33720
54.7806  3.51124  2.37471
55.6667  3.57426  2.41285
56.5670  3.64955  2.45163
57.4820  3.73596  2.45703
58.4117  3.80148  2.45084
59.3564  3.85560  2.44471
60.3165  3.91270  2.44363
61.2921  3.96671  2.41912
62.2834  4.00755  2.39423
63.2908  4.04026  2.37010
64.3145  4.06923  2.34674
65.3547  4.10057  2.32367
66.4118  4.12597  2.28283
67.4859  4.13717  2.24062
68.5775  4.13895  2.19953
69.6867  4.13209  2.15984
70.8138  4.12308  2.12300
71.9591  4.10535  2.07988
73.1230  4.07747  2.03763
74.3057  4.04033  1.99626
75.5076  3.99840  1.95920
76.7289  3.94679  1.91962
77.9699  3.88176  1.88138
79.2310  3.80509  1.84465
80.5125  3.71658  1.82271
81.8147  3.62022  1.80435
83.1380  3.52025  1.79213
84.4827  3.40864  1.78046
85.8491  3.28734  1.77679
87.2377  3.15829  1.77324
88.6487  3.01336  1.76983
90.0825  2.84786  1.76630
91.5395  2.65349  1.76368
93.0201  2.42154  1.76347
94.5246  2.13480  1.76354
96.0535  1.75363  1.76390
97.6071  1.17401  1.76455
99.1858  -0.16416  1.77391
100.7900  0.64872  4.67031
102.4200  1.47003  4.36877
104.0770  1.34328  4.14947
105.7600  1.14698  4.44493
107.4710  1.11600  4.84325
109.2090  1.11938  5.14294
110.9750  1.13868  5.49535
112.7700  1.19803  5.85252
114.5940  1.17876  6.19976
116.4480  1.27639  6.79627
118.3310  1.66403  7.31905
120.2450  2.11850  7.59560
122.1900  2.47859  7.84154
124.1660  2.83800  7.98327
126.1750  3.12285  8.12049
128.2150  3.38042  8.30203
130.2890  3.69174  8.54670
132.3970  4.22390  8.74369
134.5380  4.82583  8.62365
136.7140  5.02675  8.28101
138.9250  5.05584  8.22096
141.1720  5.10355  8.29661
143.4560  5.23332  8.33470
145.7760  5.37095  8.52663
148.1340  5.62547  8.65109
150.5300  5.79463  8.69457
152.9640  6.09198  8.92390
155.4390  6.34848  8.60309
157.9530  6.30474  8.76874
160.5070  6.44524  9.00359
163.1030  6.79356  9.30109
165.7420  7.20819  9.44342
168.4220  7.76759  9.54572
171.1460  8.38637  9.43073
173.9150  8.81754  8.99010
176.7270  8.93161  8.57529
179.5860  8.91050  8.37429
182.4910  8.97604  8.34798
185.4420  9.11567  8.27653
188.4420  9.24916  8.20525
191.4890  9.38244  8.13083
194.5870  9.51576  8.05849
197.7340  9.64614  7.98680
200.9320  9.77274  7.91576
204.1820  9.89255  7.85227
207.4850  10.01876  7.79654
210.8400  10.14896  7.74120
214.2510  10.28345  7.68625
217.7160  10.42551  7.63056
221.2370  10.57771  7.57156
224.8160  10.72622  7.47619
228.4520  10.86047  7.38204
232.1470  10.98280  7.28908
235.9020  11.09990  7.19731
239.7170  11.21295  7.10671
243.5950  11.32333  7.01725
247.5350  11.43480  6.92894
251.5380  11.54327  6.83096
255.6070  11.64518  6.72974
259.7410  11.73803  6.63002
263.9420  11.82620  6.53180
268.2110  11.91040  6.43507
272.5490  11.99100  6.33979
276.9570  12.06883  6.24596
281.4370  12.14467  6.15354
285.9890  12.21932  6.06016
290.6150  12.29012  5.96644
295.3150  12.35945  5.87416
300.0920  12.42645  5.78015
304.9450  12.48927  5.68324
309.8780  12.54697  5.58793
314.8900  12.60085  5.49365
319.9830  12.65140  5.40095
