Cr
51.996
7.19
(Energy (eV),f1,f2)
18 0.78427 3.98601
18.2 0.88839 4.05994
18.4 0.94786 4.1098
18.6 1.00929 4.15889
18.8 1.0727 4.22396
19 1.13813 4.31431
19.2 1.24499 4.36622
19.4 1.35963 4.39502
19.6 1.47822 4.3957
19.8 1.55831 4.43605
20 1.65714 4.45899
20.2 1.78648 4.45252
20.4 1.8628 4.46608
20.6 1.93696 4.4792
20.8 1.97695 4.46623
21 2.03262 4.46038
21.2 2.11118 4.46644
21.4 2.19162 4.4703
21.6 2.27395 4.47184
21.8 2.36471 4.45814
22 2.46525 4.42642
22.2 2.55417 4.41952
22.4 2.64468 4.41089
22.6 2.72835 4.41757
22.8 2.81355 4.42273
23 2.90507 4.39384
23.2 3.00332 4.32803
23.4 3.07948 4.29183
23.6 3.13234 4.2869
23.8 3.1862 4.27854
24 3.29081 4.14747
24.2 3.39576 4.01175
24.4 3.41009 3.95215
24.6 3.4235 3.88904
24.8 3.45898 3.82228
25 3.515 3.75182
25.2 3.5678 3.67939
25.4 3.53355 3.64697
25.6 3.49688 3.61203
25.8 3.48799 3.56176
26 3.5025 3.49791
26.2 3.51621 3.43081
26.4 3.52909 3.38344
26.6 3.54114 3.3517
26.8 3.55233 3.31772
27 3.56266 3.30644
27.2 3.5721 3.31204
27.4 3.58065 3.31673
27.6 3.56186 3.2941
27.8 3.52273 3.25114
28 3.48135 3.20577
28.2 3.43769 3.18632
28.4 3.39171 3.18419
28.6 3.3434 3.18119
28.8 3.32705 3.18123
29 3.33101 3.18314
29.2 3.33412 3.18419
29.4 3.37995 3.16872
29.6 3.42609 3.04521
29.8 5.84634 2.91747
30 5.92507 2.84873
30.2 5.91634 2.81487
30.4 5.90612 2.78162
30.6 5.89571 2.74857
30.8 5.88333 2.71692
31 5.87064 2.68544
31.2 5.85665 2.65451
31.4 5.84083 2.62419
31.6 5.82492 2.59402
31.8 5.80664 2.56618
32 5.78777 2.53863
32.2 5.76832 2.51142
32.4 5.74795 2.48552
32.6 5.72798 2.46008
32.8 5.70659 2.43515
33 5.68433 2.41039
33.2 5.66181 2.38564
33.4 5.63769 2.36213
33.6 5.61315 2.33871
33.8 5.58761 2.31524
34 5.56047 2.29254
34.2 5.53337 2.27025
34.4 5.5049 2.24801
34.6 5.47463 2.22604
34.8 5.44445 2.20439
35 5.41205 2.18308
35.2 5.37827 2.16193
35.4 5.34397 2.14098
35.6 5.30719 2.12092
35.8 5.26923 2.10066
36 5.2301 2.08047
36.2 5.18796 2.06127
36.4 5.14415 2.0422
36.6 5.09889 2.02279
36.8 5.04814 2.0045
37 4.99609 1.98785
37.2 4.94251 1.97292
37.4 4.88566 1.96764
37.6 4.82823 1.9624
37.8 4.77025 1.95722
38 4.71326 1.95387
38.2 4.65477 1.95116
38.4 4.59557 1.9491
38.6 4.53411 1.95086
38.8 4.47115 1.95287
39 4.40697 1.95541
39.2 4.34047 1.95878
39.4 4.2722 1.96326
39.6 4.20268 1.97222
39.8 4.13138 1.98635
40 4.05799 2.00495
40.2 3.98535 2.0242
40.4 3.91151 2.04411
40.6 3.83822 2.06498
40.8 3.76145 2.08713
41 3.68201 2.11
41.2 3.5969 2.1363
41.4 3.51051 2.16493
41.6 3.42316 2.19867
41.8 3.33486 2.2389
42 3.24501 2.28301
42.2 3.15017 2.32765
42.4 3.05182 2.37315
42.6 2.948 2.41919
42.8 2.8402 2.47963
43 2.72838 2.55452
43.2 2.61147 2.65181
43.4 2.4917 2.75753
43.6 2.39011 2.87888
43.8 2.29138 3.00482
44 2.20551 3.14257
44.2 2.12604 3.28588
44.4 2.05455 3.43556
44.6 1.99129 3.59104
44.8 1.93229 3.75065
45 1.89051 3.92052
45.2 1.85169 4.09441
45.4 1.82899 4.27671
45.6 1.81372 4.46284
45.8 1.83593 4.65618
46 1.86799 4.85349
46.2 1.92215 5.05559
46.4 1.98272 5.22887
46.6 2.05099 5.36487
46.8 2.12407 5.47723
47 2.20127 5.56996
47.2 2.26977 5.66445
47.4 2.33367 5.75994
47.6 2.39123 5.85683
47.8 2.44671 5.95434
48 2.50286 6.05367
48.2 2.55928 6.15444
48.4 2.61556 6.25544
48.6 2.67251 6.35789
48.8 2.74352 6.45469
49 2.81795 6.55159
49.2 2.89844 6.6456
49.4 2.98081 6.74005
49.6 3.05774 6.81463
49.8 3.13475 6.88757
50 3.20919 6.95223
50.2 3.28408 7.01593
50.4 3.35539 7.08043
50.6 3.42662 7.14528
50.8 3.4964 7.21004
51 3.56649 7.27515
51.2 3.63829 7.34108
51.4 3.71134 7.4069
51.6 3.7852 7.47308
51.8 3.8594 7.53961
52 3.94201 7.60174
52.2 4.03082 7.66081
52.4 4.12161 7.71866
52.6 4.2144 7.77526
52.8 4.3053 7.82568
53 4.3908 7.86286
53.2 4.47623 7.89894
53.4 4.55957 7.93088
53.6 4.64327 7.96313
53.8 4.72173 7.9952
54 4.80046 8.02708
54.2 4.87791 8.05929
54.4 4.95558 8.09131
54.6 5.03295 8.12314
54.8 5.11106 8.15532
55 5.18937 8.18784
55.2 5.26788 8.21965
55.4 5.34766 8.25181
55.6 5.43469 8.28379
55.8 5.52202 8.31613
56 5.61017 8.34829
56.2 5.69917 8.38028
56.4 5.79291 8.39642
56.6 5.88981 8.40146
56.8 5.98764 8.40594
57 6.08527 8.40871
57.2 6.18382 8.41032
57.4 6.26478 8.40381
57.6 6.34642 8.39658
57.8 6.42638 8.38923
58 6.50641 8.38117
58.2 6.5835 8.37359
58.4 6.6552 8.3659
58.6 6.72742 8.35812
58.8 6.79894 8.35086
59 6.87035 8.34292
59.2 6.94288 8.33552
59.4 7.01591 8.32806
59.6 7.08946 8.31994
59.8 7.16226 8.31302
60 7.23555 8.30482
60.2 7.30553 8.28321
60.4 7.37402 8.25627
60.6 7.4423 8.22907
60.8 7.51035 8.20161
61 7.57946 8.17391
61.2 7.6378 8.14729
61.4 7.69376 8.1198
61.6 7.74997 8.09209
61.8 7.80642 8.06484
62 7.86243 8.03741
62.2 7.91188 8.01115
62.4 7.96079 7.98405
62.6 8.00983 7.95749
62.8 8.05763 7.93148
63 8.10624 7.90465
63.2 8.15218 7.87911
63.4 8.19679 7.85346
63.6 8.24148 7.82702
63.8 8.28552 7.80193
64 8.33035 7.77605
64.2 8.37453 7.75084
64.4 8.41804 7.72632
64.6 8.46161 7.70104
64.8 8.50449 7.67574
65 8.54816 7.64968
65.2 8.59038 7.62137
65.4 8.63039 7.58852
65.6 8.6704 7.55483
65.8 8.70965 7.52107
66 8.74813 7.48801
