CrSi
40.04
5.5
E     f1    f2
10.0000  -4998.84521  0.59194
10.1617  -4997.58105  0.73768
10.3261  -4997.58105  0.76202
10.4931  -4997.58105  0.78743
10.6628  -4997.58105  0.81396
10.8353  -4997.58105  0.84166
11.0106  -4997.58105  0.87059
11.1886  -4997.58105  0.90045
11.3696  -4997.58105  0.92982
11.5535  -4997.58105  0.96039
11.7404  -4997.58105  0.99221
11.9303  -4997.58105  1.02535
12.1232  -4998.70605  0.95088
12.3193  -4997.58105  1.09576
12.5186  -4997.58105  1.13315
12.7210  -4997.58105  1.17207
12.9268  -4997.58105  1.21205
13.1359  -4997.58105  1.25366
13.3483  -4997.58105  1.29695
13.5642  -4997.58105  1.34199
13.7836  -4997.58105  1.38886
14.0066  -4997.58105  1.43954
14.2331  -4997.58105  1.49616
14.4633  -4997.58105  1.55535
14.6973  -4998.53760  1.52458
14.9350  -4997.58105  1.68187
15.1765  -4997.58105  1.72762
15.4220  -4997.58105  1.76963
15.6714  -4997.58105  1.81278
15.9249  -4997.58105  1.85711
16.1825  -4997.58105  1.90264
16.4442  -4997.58105  1.94942
16.7102  -4997.58105  1.98344
16.9805  -4997.58105  2.01657
17.2551  -4997.58105  2.05031
17.5342  -4997.58105  2.08467
17.8178  -4997.58105  2.11967
18.1060  -4997.58105  2.14749
18.3989  -4997.58105  2.16547
18.6964  -4997.58105  2.18362
18.9988  -4997.58105  2.20193
19.3061  -4997.58105  2.22041
19.6184  -4997.58105  2.23429
19.9357  -4997.58105  2.24585
20.2582  -4997.58105  2.25748
20.5858  -4997.58105  2.26917
20.9188  -4997.58105  2.28093
21.2571  -4997.58105  2.29276
21.6009  -4997.58105  2.29686
21.9503  -4997.58105  2.29095
22.3053  -4998.03906  2.28499
22.6661  -4997.58105  2.27920
23.0327  -4997.58105  2.27334
23.4053  -4997.96680  2.26744
23.7838  -4997.58105  2.23431
24.1685  -4997.58105  2.19977
24.5594  -4997.89160  2.16575
24.9566  -4997.86523  2.10485
25.3603  -4997.58105  2.09958
25.7705  -4997.58105  2.06731
26.1873  -4997.58105  2.03558
26.6109  -4997.58105  1.99066
27.0413  -4997.58105  1.93455
27.4786  -4997.58105  1.88017
27.9231  -4997.58105  1.82749
28.3747  -4997.64160  1.77058
28.8337  -4997.58105  1.72699
29.3000  4.89019  1.68089
29.7739  4.87011  1.63889
30.2555  4.84788  1.59810
30.7449  4.82285  1.55850
31.2421  4.79434  1.52004
31.7475  4.76217  1.48309
32.2609  4.72602  1.44961
32.7827  4.68868  1.41817
33.3130  4.64888  1.38765
33.8518  4.60584  1.35801
34.3993  4.55914  1.32922
34.9557  4.50820  1.30101
35.5211  4.45185  1.27345
36.0956  4.38914  1.24672
36.6794  4.31824  1.22078
37.2727  4.23395  1.19562
37.8755  4.13941  1.18958
38.4882  4.04339  1.18636
39.1107  3.93924  1.19167
39.7432  3.82551  1.19901
40.3861  3.70134  1.22932
41.0393  3.57365  1.26393
41.7031  3.42357  1.30778
42.3776  3.26541  1.38227
43.0630  3.07912  1.46176
43.7595  2.86383  1.64444
44.4673  2.70349  1.88826
45.1865  2.58877  2.17362
45.9174  2.53790  2.50762
46.6600  2.62851  2.88145
47.4147  2.76325  3.05580
48.1816  2.85839  3.24155
48.9609  2.95689  3.43943
49.7528  3.10634  3.62484
50.5576  3.24353  3.75264
51.3753  3.37233  3.88521
52.2062  3.51195  4.02274
53.0506  3.69279  4.14232
53.9087  3.85614  4.21246
54.7806  4.00902  4.28381
55.6667  4.16589  4.35639
56.5670  4.34844  4.43022
57.4820  4.55464  4.43724
58.4117  4.72130  4.42106
59.3564  4.86921  4.40499
60.3165  5.02380  4.39232
61.2921  5.17050  4.33174
62.2834  5.29019  4.27013
63.2908  5.39329  4.20977
64.3145  5.48823  4.15065
65.3547  5.58434  4.09245
66.4118  5.67131  4.00670
67.4859  5.73354  3.91817
68.5775  5.77848  3.83186
69.6867  5.80552  3.74830
70.8138  5.82661  3.67922
71.9591  5.84081  3.60680
73.1230  5.84402  3.53582
74.3057  5.83292  3.46623
75.5076  5.81554  3.41365
76.7289  5.79594  3.36184
77.9699  5.76797  3.31124
79.2310  5.73127  3.26195
80.5125  5.68407  3.22281
81.8147  5.62400  3.19077
83.1380  5.56681  3.17096
84.4827  5.50541  3.15159
85.8491  5.43857  3.13763
87.2377  5.36707  3.12381
88.6487  5.28522  3.11016
90.0825  5.18981  3.09615
91.5395  5.07433  3.08245
93.0201  4.93281  3.07042
94.5246  4.75351  3.05866
96.0535  4.50925  3.04717
97.6071  4.12787  3.03593
99.1858  3.24076  3.04178
100.7900  3.79158  4.97272
102.4200  4.35019  4.77170
104.0770  4.27732  4.62550
105.7600  4.15789  4.82248
107.4710  4.14606  5.08803
109.2090  4.15802  5.29695
110.9750  4.18532  5.54180
112.7700  4.24292  5.78988
114.5940  4.25070  6.03138
116.4480  4.33913  6.43912
118.3310  4.62446  6.79776
120.2450  4.96324  6.98863
122.1900  5.23502  7.14977
124.1660  5.50280  7.24146
126.1750  5.72003  7.33013
128.2150  5.91885  7.44836
130.2890  6.15386  7.60869
132.3970  6.53833  7.73722
134.5380  6.96845  7.64888
136.7140  7.12880  7.41216
138.9250  7.17336  7.36388
141.1720  7.22950  7.40610
143.4560  7.33965  7.42331
145.7760  7.45430  7.54312
148.1340  7.64548  7.61877
150.5300  7.78075  7.64192
152.9640  8.00216  7.78899
155.4390  8.19686  7.56933
157.9530  8.19206  7.67398
160.5070  8.31100  7.82479
163.1030  8.56994  8.01737
165.7420  8.87726  8.10654
168.4220  9.28456  8.16035
171.1460  9.72471  8.06376
173.9150  10.03573  7.75030
176.7270  10.13281  7.45427
179.5860  10.13764  7.30101
182.4910  10.19826  7.26441
185.4420  10.30608  7.19793
188.4420  10.40550  7.13177
191.4890  10.50339  7.07042
194.5870  10.60427  7.01238
197.7340  10.70449  6.95483
200.9320  10.80289  6.89777
204.1820  10.89723  6.84580
207.4850  10.99627  6.79907
210.8400  11.09854  6.75264
214.2510  11.20457  6.70654
217.7160  11.31850  6.65849
221.2370  11.43670  6.60411
224.8160  11.55055  6.52563
228.4520  11.65375  6.44811
232.1470  11.74810  6.37152
235.9020  11.83830  6.29586
239.7170  11.92520  6.22113
243.5950  12.00975  6.14728
247.5350  12.09460  6.07435
251.5380  12.17735  5.99510
255.6070  12.25515  5.91307
259.7410  12.32615  5.83216
263.9420  12.39350  5.75239
268.2110  12.45780  5.67376
272.5490  12.51940  5.59624
276.9570  12.57915  5.51983
281.4370  12.63825  5.44450
285.9890  12.69775  5.36553
290.6150  12.75185  5.28418
295.3150  12.80240  5.20407
300.0920  12.85000  5.12306
304.9450  12.89365  5.04038
309.8780  12.93305  4.95898
314.8900  12.96860  4.87774
319.9830  13.00060  4.79783
325.1580  13.02955  4.71924
330.4180  13.05590  4.64194
335.7620  13.08010  4.56591
341.1920  13.10325  4.49114
346.7110  13.12825  4.41346
352.3190  13.14665  4.33145
358.0170  13.15955  4.25097
363.8080  13.16995  4.17200
369.6920  13.17970  4.08625
375.6720  13.17785  3.99790
381.7480  13.16665  3.91188
387.9220  13.14975  3.82998
394.1970  13.12785  3.74980
400.5730  13.10020  3.67131
407.0520  13.06645  3.59447
413.6350  13.02520  3.51925
420.3260  12.97680  3.44990
427.1240  12.92450  3.38416
434.0320  12.86780  3.31972
441.0520  12.80475  3.25656
448.1860  12.73450  3.19465
455.4350  12.65670  3.13397
462.8020  12.57005  3.07429
470.2870  12.47210  3.01175
477.8940  12.35885  2.95036
485.6230  12.22885  2.89026
493.4780  12.07940  2.83145
501.4590  11.90660  2.77347
509.5700  11.70305  2.71550
517.8120  11.46000  2.65877
526.1870  11.16418  2.60327
534.6980  10.79420  2.54896
543.3460  10.30919  2.49310
552.1340  9.62424  2.43738
