CrSi2
36.06
4.982
E     f1    f2
10.0000  -3332.12744  0.43692
10.1617  -3330.44189  0.61570
10.3261  -3330.44189  0.63192
10.4931  -3330.44189  0.64886
10.6628  -3330.44189  0.66655
10.8353  -3330.44189  0.68502
11.0106  -3330.44189  0.70430
11.1886  -3330.44189  0.72421
11.3696  -3330.44189  0.74379
11.5535  -3330.44189  0.76417
11.7404  -3330.44189  0.78539
11.9303  -3330.44189  0.80748
12.1232  -3330.44189  0.83047
12.3193  -3330.44189  0.85442
12.5186  -3330.44189  0.87934
12.7210  -3330.44189  0.90529
12.9268  -3330.44189  0.93195
13.1359  -3330.44189  0.95968
13.3483  -3330.44189  0.98854
13.5642  -3330.44189  1.01857
13.7836  -3330.44189  1.04982
14.0066  -3330.44189  1.08360
14.2331  -3330.44189  1.12135
14.4633  -3330.44189  1.16081
14.6973  -3330.44189  1.20205
14.9350  -3330.44189  1.24516
15.1765  -3330.44189  1.27566
15.4220  -3330.44189  1.30366
15.6714  -3331.63208  1.21716
15.9249  -3330.44189  1.36199
16.1825  -3330.44189  1.39234
16.4442  -3330.44189  1.42353
16.7102  -3330.44189  1.44620
16.9805  -3330.44189  1.46829
17.2551  -3330.44189  1.49078
17.5342  -3330.44189  1.51370
17.8178  -3331.44482  1.43991
18.1060  -3330.44189  1.55557
18.3989  -3330.44189  1.56756
18.6964  -3330.44189  1.57966
18.9988  -3330.44189  1.59187
19.3061  -3330.44189  1.60419
19.6184  -3330.44189  1.61344
19.9357  -3330.44189  1.62115
20.2582  -3330.44189  1.62890
20.5858  -3330.44189  1.63670
20.9188  -3330.44189  1.64454
21.2571  -3330.44189  1.65242
21.6009  -3330.44189  1.65515
21.9503  -3330.44189  1.65121
22.3053  -3331.05273  1.64719
22.6661  -3330.44189  1.64338
23.0327  -3330.44189  1.63947
23.4053  -3330.95679  1.63550
23.7838  -3330.44189  1.61345
24.1685  -3330.44189  1.59043
24.5594  -3330.85596  1.56771
24.9566  -3330.44189  1.54552
25.3603  -3330.44189  1.52363
25.7705  -3330.44189  1.50212
26.1873  -3330.44189  1.48096
26.6109  -3330.44189  1.45102
27.0413  -3330.44189  1.41361
27.4786  -3330.44189  1.37736
27.9231  -3330.44189  1.34224
28.3747  -3330.44189  1.30821
28.8337  -3330.44189  1.27524
29.3000  4.53949  1.24451
