CrSi2IMDA
36.06
4.972
E     f1    f2
18.0000  3.67662  2.68264
18.2000  3.70884  2.65855
18.4000  3.72616  2.62644
18.6000  3.74072  2.59705
18.8000  3.75555  2.57333
19.0000  3.80512  2.23044
19.2000  3.83087  2.20144
19.4000  3.82789  2.45581
19.6000  3.87154  2.16334
19.8000  3.87549  2.23848
20.0000  3.87858  2.22851
20.2000  3.88232  2.10253
20.4000  3.87165  2.05414
20.6000  3.86329  2.02643
20.8000  3.85645  1.99833
21.0000  3.85484  1.97249
21.2000  3.86086  1.95046
21.4000  3.87046  1.93063
21.6000  3.88304  1.91237
21.8000  3.89477  1.89054
22.0000  3.90830  1.86331
22.2000  3.91598  1.84740
22.4000  3.92361  1.83181
22.6000  3.93209  1.82106
22.8000  3.94196  1.80972
23.0000  3.94867  1.78883
23.2000  3.95526  1.75642
23.4000  3.95646  1.73504
23.6000  3.95149  1.72502
23.8000  3.94639  1.71480
24.0000  3.95717  1.66579
24.2000  3.96807  1.61522
24.4000  3.95179  1.59024
24.6000  3.93531  1.56408
24.8000  3.92980  1.53698
25.0000  3.93432  1.50888
25.2000  3.93736  1.48022
25.4000  3.90157  1.46713
25.6000  3.86497  1.45319
25.8000  3.84265  1.43387
26.0000  3.83561  1.40960
26.2000  3.82830  1.38425
26.4000  3.81954  1.36661
26.6000  3.80991  1.35477
26.8000  3.80000  1.34218
27.0000  3.79301  1.33708
27.2000  3.78639  1.33758
27.4000  3.77948  1.33779
27.6000  3.76253  1.33044
27.8000  3.73862  1.31660
28.0000  3.71396  1.30195
28.2000  3.69059  1.29624
28.4000  3.66732  1.29641
28.6000  3.64326  1.29629
28.8000  3.62729  1.29718
29.0000  3.61513  1.29870
29.2000  3.60269  1.29993
29.4000  3.60490  1.29566
29.6000  3.61986  1.25582
29.8000  4.42619  1.21456
30.0000  4.45202  1.19298
30.2000  4.44401  1.18323
30.4000  4.42970  1.17396
30.6000  4.41533  1.16475
30.8000  4.40030  1.15601
31.0000  4.38721  1.14732
31.2000  4.37474  1.13882
31.4000  4.36167  1.13051
31.6000  4.34856  1.12226
31.8000  4.33407  1.11444
32.0000  4.31917  1.10659
32.2000  4.30407  1.09885
32.4000  4.28867  1.09155
32.6000  4.27258  1.08439
32.8000  4.25534  1.07739
33.0000  4.23780  1.07044
33.2000  4.22019  1.06350
33.4000  4.20347  1.05705
33.6000  4.19381  1.05103
33.8000  4.18381  1.04499
34.0000  4.17328  1.03921
34.2000  4.16276  1.03357
34.4000  4.14862  1.02768
34.6000  4.13112  1.02165
34.8000  4.11366  1.01573
35.0000  4.09546  1.00992
35.2000  4.07679  1.00416
35.4000  4.05743  0.99848
35.6000  4.03697  0.99309
35.8000  4.01612  0.98764
36.0000  3.99488  0.98221
36.2000  3.97263  0.97711
36.4000  3.95340  0.97011
36.6000  3.93842  0.96040
36.8000  3.92160  0.95108
37.0000  3.90435  0.94230
37.2000  3.88659  0.93409
37.4000  3.86774  0.92910
37.6000  3.83880  0.93191
37.8000  3.80917  0.93513
38.0000  3.77988  0.93895
38.2000  3.75009  0.94299
38.4000  3.72007  0.94725
38.6000  3.68994  0.95249
38.8000  3.66703  0.95435
39.0000  3.64372  0.95639
39.2000  3.61963  0.95871
39.4000  3.59496  0.96139
39.6000  3.56986  0.96557
