Mo5B4C
53.50
8.66
E     f1    f2
10.0000  -9999.00000  1.70371
10.1617  -9999.00000  1.72324
10.3261  -9999.00000  1.74338
10.4931  -9999.00000  1.76414
10.6628  -9999.00000  1.78553
10.8353  -9999.00000  1.80773
11.0106  -9999.00000  1.83103
11.1886  -9999.00000  1.85511
11.3696  -9999.00000  1.88130
11.5535  -9999.00000  1.93267
11.7404  -9999.00000  1.98637
11.9303  -9999.00000  2.04253
12.1232  -9999.00000  2.10052
12.3193  -9999.00000  2.16105
12.5186  -9999.00000  2.22427
12.7210  -9999.00000  2.29028
12.9268  -9999.00000  2.35920
13.1359  -9999.00000  2.43002
13.3483  -9999.00000  2.50134
13.5642  -9999.00000  2.57262
13.7836  -9999.00000  2.64620
14.0066  -9999.00000  2.72268
14.2331  -9999.00000  2.80217
14.4633  -9999.00000  2.88478
14.6973  -9999.00000  2.96952
14.9350  -9999.00000  3.05523
15.1765  -9999.00000  3.14112
15.4220  -9999.00000  3.22676
15.6714  -9999.00000  3.31556
15.9249  -9999.00000  3.40764
16.1825  -9999.00000  3.50212
16.4442  -9999.00000  3.59686
16.7102  -9999.00000  3.69507
16.9805  -9999.00000  3.79545
17.2551  -9999.00000  3.86388
17.5342  -9999.00000  3.93398
17.8178  -9999.00000  4.00524
18.1060  -9999.00000  4.07605
18.3989  -9999.00000  4.14859
18.6964  -9999.00000  4.22289
18.9988  -9999.00000  4.29898
19.3061  -9999.00000  4.35885
19.6184  -9999.00000  4.37274
19.9357  -9999.00000  4.38676
20.2582  -9999.00000  4.40089
20.5858  -9999.00000  4.41195
20.9188  -9999.00000  4.42168
21.2571  -9999.00000  4.43152
21.6009  -9999.00000  4.41253
21.9503  -9999.00000  4.37756
22.3053  -9999.00000  4.34287
22.6661  -9999.00000  4.30845
23.0327  -9999.00000  4.27384
23.4053  -9999.00000  4.23672
23.7838  -9999.00000  4.18841
24.1685  -9999.00000  4.09342
24.5594  -9999.00000  4.00069
24.9566  -9999.00000  3.91017
25.3603  -9999.00000  3.82181
25.7705  -9999.00000  3.72689
26.1873  -9999.00000  3.53065
26.6109  -9999.00000  3.34528
27.0413  -9999.00000  3.17097
27.4786  -9999.00000  3.00705
27.9231  -9999.00000  2.85264
28.3747  -9999.00000  2.70732
28.8337  -9999.00000  2.57062
29.3000  5.01432  2.44202
29.7739  4.81374  2.38253
30.2555  4.66342  2.37399
30.7449  4.52468  2.36583
31.2421  4.37924  2.35780
31.7475  4.20246  2.36376
32.2609  4.03448  2.43010
32.7827  3.88287  2.49962
33.3130  3.72872  2.57245
33.8518  3.54587  2.65041
34.3993  3.35963  2.81322
34.9557  3.19925  2.98991
35.5211  3.04311  3.18153
36.0956  2.88978  3.42661
36.6794  2.76825  3.70545
37.2727  2.67270  4.01252
37.8755  2.60464  4.35060
38.4882  2.56885  4.72426
39.1107  2.57867  5.13775
39.7432  2.65076  5.59261
40.3861  2.82049  6.09292
41.0393  3.19468  6.55514
41.7031  3.54726  6.80769
42.3776  3.86623  7.07151
43.0630  4.20096  7.34695
43.7595  4.60762  7.63461
44.4673  5.15461  7.80619
45.1865  5.61240  7.87402
45.9174  6.05656  7.94353
46.6600  6.57543  7.95516
47.4147  7.02415  7.84421
48.1816  7.43186  7.73488
48.9609  7.85612  7.62702
49.7528  8.25399  7.38162
50.5576  8.56284  7.13115
51.3753  8.82420  6.88929
52.2062  9.05404  6.65579
53.0506  9.26181  6.43037
53.9087  9.45589  6.21324
54.7806  9.65506  6.00390
55.6667  9.85870  5.73817
56.5670  9.99965  5.45953
57.4820  10.10172  5.19494
58.4117  10.18082  4.94373
59.3564  10.24190  4.70512
60.3165  10.28866  4.47841
61.2921  10.32410  4.26281
62.2834  10.34999  4.05728
63.2908  10.36865  3.86208
64.3145  10.38359  3.67668
65.3547  10.40204  3.50057
66.4118  10.43266  3.30422
67.4859  10.42519  3.09541
68.5775  10.39737  2.90063
69.6867  10.35701  2.71879
70.8138  10.30755  2.54908
71.9591  10.25121  2.39057
73.1230  10.18939  2.24262
74.3057  10.12326  2.10453
75.5076  10.05378  1.97564
76.7289  9.98159  1.85531
77.9699  9.90723  1.74297
79.2310  9.83108  1.63800
80.5125  9.75336  1.53996
81.8147  9.67410  1.44831
83.1380  9.59377  1.36373
84.4827  9.51306  1.28476
85.8491  9.43157  1.21088
87.2377  9.34900  1.14176
88.6487  9.26480  1.07707
90.0825  9.17767  1.01649
91.5395  9.08250  0.96120
93.0201  8.99185  0.92828
94.5246  8.90890  0.89657
96.0535  8.82988  0.86603
97.6071  8.75178  0.83660
99.1858  8.67127  0.80932
100.7900  8.59304  0.78866
102.4200  8.51668  0.76836
104.0770  8.43894  0.74861
105.7600  8.35434  0.72938
107.4710  8.26800  0.72708
109.2090  8.19004  0.72925
110.9750  8.11500  0.73170
112.7700  8.03625  0.73826
114.5940  7.96448  0.75177
116.4480  7.89768  0.76555
118.3310  7.83306  0.77984
120.2450  7.77012  0.79470
122.1900  7.70854  0.81018
124.1660  7.64813  0.82620
126.1750  7.58822  0.84230
128.2150  7.52835  0.85902
130.2890  7.46852  0.87636
132.3970  7.40844  0.89435
134.5380  7.34788  0.91280
136.7140  7.28630  0.93193
138.9250  7.22291  0.95175
141.1720  7.15864  0.97499
143.4560  7.09436  0.99938
145.7760  7.02974  1.02471
148.1340  6.96434  1.05117
150.5300  6.89845  1.07870
152.9640  6.83232  1.10692
155.4390  6.76994  1.13366
157.9530  6.70121  1.15285
160.5070  6.62528  1.17259
163.1030  6.54542  1.19089
165.7420  6.45526  1.20594
168.4220  6.35437  1.22136
171.1460  6.24182  1.23532
173.9150  6.11007  1.24767
176.7270  5.95274  1.26046
179.5860  5.75712  1.27348
182.4910  5.49285  1.28631
185.4420  5.04874  1.29737
188.4420  4.09663  2.94484
191.4890  5.12855  2.92491
194.5870  5.39049  2.90109
197.7340  5.50749  2.87899
200.9320  5.55299  2.85834
204.1820  5.54641  2.83823
207.4850  5.50176  2.83218
210.8400  5.42643  2.83482
214.2510  5.32206  2.84218
217.7160  5.19079  2.86316
221.2370  5.02524  2.88642
224.8160  4.78733  2.93400
228.4520  4.49998  3.05127
232.1470  4.30247  3.28296
235.9020  4.04360  3.42893
239.7170  3.64517  3.60780
243.5950  3.27381  4.16722
247.5350  3.12155  4.76230
251.5380  3.08663  5.33643
255.6070  3.12135  5.89129
259.7410  3.25680  6.43727
263.9420  3.54397  6.94015
268.2110  3.79575  7.26592
272.5490  4.01479  7.56189
276.9570  4.22852  7.83322
281.4370  4.35092  8.06668
285.9890  4.54626  8.71415
290.6150  4.99358  8.90596
295.3150  5.29121  9.04036
300.0920  5.51179  9.17902
304.9450  5.68776  9.40034
309.8780  5.96987  9.65789
314.8900  6.24329  9.79862
319.9830  6.48347  9.94331
325.1580  6.70566  10.09205
330.4180  6.90764  10.24493
335.7620  7.13056  10.45819
341.1920  7.41483  10.64378
346.7110  7.68023  10.77639
352.3190  7.93128  10.91214
358.0170  8.18003  11.05105
363.8080  8.43140  11.19306
369.6920  8.68908  11.33838
375.6720  8.95710  11.48688
381.7480  9.24079  11.63793
387.9220  9.55540  11.79199
394.1970  9.88799  11.90203
400.5730  10.21937  12.00254
407.0520  10.59134  12.10452
413.6350  10.95532  12.11875
420.3260  11.28472  12.12887
427.1240  11.60358  12.13955
434.0320  11.93585  12.15081
441.0520  12.27165  12.12141
448.1860  12.57624  12.06967
455.4350  12.86095  12.01823
462.8020  13.13285  11.96715
470.2870  13.39485  11.91654
477.8940  13.63607  11.86650
485.6230  13.87960  11.84833
493.4780  14.14087  11.83385
501.4590  14.41554  11.81974
509.5700  14.73627  11.80545
517.8120  15.05051  11.71903
526.1870  15.34068  11.63334
534.6980  15.62841  11.54829
543.3460  15.94284  11.46397
552.1340  16.28430  11.32034
561.0650  16.56789  11.11495
570.1390  16.80993  10.91351
579.3610  17.02744  10.71543
588.7320  17.22848  10.51910
598.2540  17.40923  10.32045
607.9300  17.57170  10.12558
617.7630  17.71788  9.93443
627.7550  17.84877  9.74687
637.9080  17.94071  9.56788
648.2260  18.03727  9.43457
658.7110  18.14862  9.30289
669.3650  18.26090  9.17316
680.1910  18.37257  9.04624
691.1930  18.48411  8.92186
702.3720  18.59582  8.79945
713.7330  18.70715  8.67789
725.2770  18.81745  8.55749
737.0080  18.92739  8.43881
748.9280  19.03805  8.32190
761.0420  19.15054  8.20660
773.3510  19.27374  8.09304
785.8590  19.40516  7.96288
798.5700  19.52381  7.81747
811.4860  19.64113  7.67474
824.6110  19.75403  7.50785
837.9490  19.84615  7.33298
851.5020  19.91806  7.16212
865.2740  19.97776  6.99516
879.2690  20.01356  6.83210
893.4910  20.04258  6.70125
907.9430  20.08922  6.58530
922.6280  20.16941  6.47136
937.5510  20.20181  6.29073
952.7150  20.21973  6.15615
968.1240  20.22217  6.02451
983.7830  20.23073  5.93894
999.6950  20.27852  5.85717
1015.8600  20.33040  5.74406
1032.2900  20.36971  5.62722
1048.9900  20.40371  5.51090
1065.9600  20.43201  5.39495
1083.2000  20.45592  5.28151
1100.7200  20.47652  5.17047
1118.5200  20.49426  5.06179
1136.6100  20.50950  4.95535
1155.0000  20.52238  4.85118
1173.6800  20.53318  4.74926
1192.6600  20.54208  4.64943
1211.9500  20.54921  4.55171
1231.5500  20.55509  4.45607
1251.4700  20.55971  4.36147
1271.7200  20.56275  4.26775
1292.2900  20.56288  4.17469
1313.1900  20.56042  4.08368
1334.4300  20.55581  3.99468
1356.0100  20.54928  3.90765
1377.9400  20.54091  3.82250
1400.2300  20.53077  3.73919
1422.8800  20.51895  3.65768
1445.8900  20.50570  3.57802
1469.2800  20.49128  3.49973
1493.0400  20.47579  3.42259
1517.1900  20.45778  3.34478
1541.7300  20.43677  3.26841
1566.6700  20.41292  3.19379
1592.0100  20.38665  3.12090
1617.7600  20.35799  3.04965
1643.9200  20.32681  2.97996
1670.5100  20.29310  2.91197
1697.5300  20.25691  2.84555
1724.9900  20.21856  2.78061
1752.8900  20.17724  2.71621
1781.2400  20.13233  2.65301
1810.0500  20.08378  2.59109
1839.3200  20.03116  2.53051
1869.0700  19.97436  2.47137
1899.3000  19.91297  2.41368
1930.0200  19.84666  2.35738
1961.2400  19.77482  2.30238
1992.9600  19.69655  2.24861
2025.2000  19.61197  2.19690
2057.9500  19.51949  2.14516
2091.2400  19.41711  2.09454
2125.0600  19.30349  2.04504
2159.4300  19.17650  1.99662
2194.3600  19.03323  1.94928
2229.8500  18.86973  1.90300
2265.9200  18.68051  1.85776
2302.5700  18.45730  1.81352
2339.8100  18.18716  1.77030
2377.6600  17.84809  1.72804
2416.1100  17.39715  1.68672
2455.1900  16.73072  1.64635
2494.9000  15.43481  1.60691
2520.1000  8.27250  1.58269
2520.3000  8.27334  5.63306
2535.2600  14.67023  5.58493
2576.2600  16.07391  5.45649
2617.9300  15.66006  5.33094
2625.0000  13.08786  5.31013
2625.2000  13.09100  7.27818
2660.2700  17.18133  7.14426
2703.3000  18.04302  6.98561
2747.0300  18.57693  6.83058
2791.4600  18.92916  6.67889
2836.6100  19.06845  6.53062
2865.4000  17.71673  6.43902
2865.6000  17.71837  7.31387
2882.4900  19.27311  7.25453
2929.1100  19.94244  7.09501
2976.4800  20.36094  6.93736
3024.6300  20.69490  6.78214
3073.5500  20.97853  6.62864
3123.2600  21.22628  6.47757
3173.7800  21.44644  6.32891
3225.1100  21.64417  6.18258
3277.2700  21.82321  6.03861
3330.2800  21.98597  5.89662
3384.1500  22.13440  5.75729
3438.8800  22.27034  5.62038
3494.5000  22.39509  5.48594
3551.0200  22.50996  5.35412
3608.4600  22.61574  5.22451
3666.8200  22.71334  5.09747
3726.1300  22.80320  4.97269
3786.4000  22.88627  4.85071
3847.6400  22.96300  4.73072
3909.8700  23.03370  4.61334
3973.1100  23.09896  4.49839
4037.3800  23.15923  4.38576
4102.6800  23.21472  4.27549
4169.0300  23.26581  4.16757
4236.4600  23.31282  4.06200
4304.9800  23.35604  3.95867
4374.6200  23.39567  3.85759
4445.3700  23.43186  3.75875
4517.2700  23.46501  3.66217
4590.3300  23.49523  3.56776
4664.5800  23.52265  3.47542
4740.0300  23.54748  3.38527
4816.6900  23.56988  3.29719
4894.6000  23.59008  3.21113
4973.7700  23.60804  3.12709
5054.2100  23.62406  3.04503
5135.9600  23.63814  2.96493
5219.0300  23.65048  2.88678
5303.4400  23.66113  2.81043
5389.2200  23.67024  2.73598
5476.3900  23.67785  2.66334
5564.9700  23.68408  2.59249
5654.9800  23.68906  2.52336
5746.4400  23.69280  2.45593
5839.3900  23.69540  2.39017
5933.8300  23.69690  2.32607
6029.8100  23.69742  2.26357
6127.3300  23.69693  2.20265
6226.4400  23.69561  2.14328
6327.1500  23.69349  2.08539
6429.4800  23.69053  2.02898
6533.4800  23.68683  1.97405
6639.1500  23.68253  1.92052
6746.5400  23.67759  1.86834
6855.6500  23.67201  1.81750
6966.5400  23.66583  1.76799
7079.2200  23.65920  1.71978
7193.7200  23.65204  1.67279
7310.0700  23.64443  1.62706
7428.3100  23.63637  1.58255
7548.4500  23.62797  1.53919
7670.5400  23.61917  1.49697
7794.6100  23.61003  1.45589
7920.6800  23.60054  1.41590
8048.7900  23.59081  1.37694
8178.9800  23.58079  1.33897
8311.2600  23.57041  1.30210
8445.6900  23.55990  1.26618
8582.2900  23.54908  1.23119
8721.1100  23.53802  1.19722
8862.1600  23.52682  1.16417
9005.5000  23.51547  1.13195
9151.1600  23.50387  1.10057
9299.1700  23.49208  1.07007
9449.5800  23.48014  1.04042
9602.4200  23.46800  1.01157
9757.7300  23.45577  0.98349
9915.5500  23.44339  0.95619
10075.9000  23.43082  0.92962
10238.9000  23.41814  0.90378
10404.5000  23.40527  0.87864
10572.8000  23.39226  0.85418
10743.8000  23.37915  0.83040
10917.6000  23.36584  0.80728
11094.2000  23.35238  0.78478
11273.6000  23.33873  0.76290
11455.9000  23.32493  0.74162
11641.2000  23.31093  0.72093
11829.5000  23.29668  0.70081
12020.8000  23.28229  0.68124
12215.3000  23.26760  0.66221
12412.8000  23.25271  0.64371
12613.6000  23.23753  0.62572
12817.6000  23.22199  0.60822
13025.0000  23.20616  0.59120
13235.6000  23.18993  0.57466
13449.7000  23.17330  0.55858
13667.2000  23.15623  0.54294
13888.3000  23.13861  0.52773
14112.9000  23.12044  0.51295
14341.2000  23.10162  0.49857
14573.1000  23.08205  0.48459
14808.9000  23.06163  0.47100
15048.4000  23.04027  0.45779
15291.8000  23.01786  0.44494
15539.1000  22.99420  0.43245
15790.4000  22.96904  0.42031
16045.8000  22.94223  0.40850
16305.4000  22.91343  0.39702
16569.1000  22.88223  0.38586
16837.1000  22.84822  0.37501
17109.4000  22.81067  0.36446
17386.1000  22.76877  0.35420
17667.4000  22.72132  0.34423
17953.1000  22.66668  0.33453
18243.5000  22.60228  0.32510
18538.6000  22.52409  0.31593
18838.4000  22.42505  0.30702
19143.1000  22.29131  0.29835
19452.7000  22.08902  0.28993
19767.4000  21.68823  0.28174
19999.4000  17.81870  0.27592
19999.6000  17.81880  1.85800
20087.1000  21.24889  1.84527
20412.0000  22.06425  1.79925
20742.1000  22.38367  1.75412
21077.6000  22.58853  1.70988
21418.5000  22.73970  1.66653
21765.0000  22.85921  1.62406
22117.0000  22.95758  1.58247
22474.7000  23.04070  1.54176
22838.2000  23.11222  1.50190
23207.6000  23.17464  1.46291
23583.0000  23.22966  1.42476
23964.4000  23.27859  1.38745
24352.0000  23.32226  1.35098
24745.9000  23.36148  1.31532
25146.2000  23.39686  1.28047
25552.9000  23.42878  1.24642
25966.2000  23.45776  1.21316
26386.1000  23.48409  1.18067
26812.9000  23.50801  1.14895
27246.6000  23.52979  1.11797
27687.3000  23.54957  1.08774
28135.1000  23.56765  1.05824
28590.2000  23.58408  1.02945
29052.6000  23.59906  1.00136
29522.5000  23.61269  0.97396
30000.0000  23.62502  0.94723
