MoB2
3975.42
9.100
E     f1    f2
10.0000  -999900.00000  168.15115
10.1617  -999900.00000  168.84679
10.3261  -999900.00000  169.56848
10.4931  -999900.00000  170.31625
10.6628  -999900.00000  171.09081
10.8353  -999900.00000  171.89244
11.0106  -999900.00000  172.72119
11.1886  -999900.00000  173.57774
11.3696  -999900.00000  174.55217
11.5535  -999900.00000  177.20984
11.7404  -999900.00000  179.99763
11.9303  -999900.00000  182.92032
12.1232  -999900.00000  185.98198
12.3193  -999900.00000  189.18906
12.5186  -999900.00000  192.54668
12.7210  -999900.00000  196.06094
12.9268  -999900.00000  199.73730
13.1359  -999900.00000  203.50539
13.3483  -999900.00000  207.26724
13.5642  -999900.00000  211.19151
13.7836  -999900.00000  215.28371
14.0066  -999900.00000  219.55089
14.2331  -999900.00000  223.99919
14.4633  -999900.00000  228.63507
14.6973  -999900.00000  233.46437
14.9350  -999900.00000  238.49654
15.1765  -999900.00000  243.50179
15.4220  -999900.00000  248.32961
15.6714  -999900.00000  253.36287
15.9249  -999900.00000  258.60812
16.1825  -999900.00000  264.07245
16.4442  -999900.00000  269.76334
16.7102  -999900.00000  275.68896
16.9805  -999900.00000  281.76227
17.2551  -999900.00000  285.66245
17.5342  -999900.00000  289.67596
17.8178  -999900.00000  293.80423
18.1060  -999900.00000  298.04922
18.3989  -999900.00000  302.41507
18.6964  -999900.00000  306.90381
18.9988  -999900.00000  311.51678
19.3061  -999900.00000  315.02933
19.6184  -999900.00000  315.41879
19.9357  -999900.00000  315.81857
20.2582  -999900.00000  316.22943
20.5858  -999900.00000  316.65063
20.9188  -999900.00000  317.08353
21.2571  -999900.00000  317.52646
21.6009  -999900.00000  316.01147
21.9503  -999900.00000  313.41205
22.3053  -999900.00000  310.83456
22.6661  -999900.00000  308.27765
23.0327  -999900.00000  305.74197
23.4053  -999900.00000  303.22733
23.7838  -999900.00000  299.95450
24.1685  -999900.00000  293.50961
24.5594  -999900.00000  287.21619
24.9566  -999900.00000  281.07092
25.3603  -999900.00000  275.06998
25.7705  -999900.00000  268.62054
26.1873  -999900.00000  255.28394
26.6109  -999900.00000  242.74417
27.0413  -999900.00000  230.95264
27.4786  -999900.00000  219.86327
27.9231  -999900.00000  209.41629
28.3747  -999900.00000  199.58366
28.8337  -999900.68750  190.33362
29.3000  421.07227  181.63046
29.7739  407.47104  177.62265
30.2555  397.27933  177.13255
30.7449  387.91229  176.68916
31.2421  378.12317  176.24889
31.7475  366.22083  176.75429
32.2609  354.93243  181.36101
32.7827  344.77014  186.17870
33.3130  334.44861  191.21669
33.8518  322.18832  196.59909
34.3993  309.71332  207.74629
34.9557  299.02432  219.83318
35.5211  288.63464  232.87532
36.0956  278.41083  249.54324
36.6794  270.33975  268.50424
37.2727  264.03021  289.38263
37.8755  259.58722  312.36737
38.4882  257.33365  337.76801
39.1107  258.16571  365.87509
39.7432  263.22479  396.82562
40.3861  274.96039  430.87445
41.0393  300.60983  462.31696
41.7031  324.79086  479.49753
42.3776  346.69357  497.44073
43.0630  369.67572  516.17047
43.7595  397.55859  535.72754
44.4673  435.00601  547.38721
45.1865  466.41568  551.97656
45.9174  496.89218  556.59448
46.6600  532.40912  557.27686
47.4147  563.13898  549.62402
48.1816  591.07141  542.08148
48.9609  620.12543  534.63879
49.7528  647.38940  517.84381
50.5576  668.60071  500.67694
51.3753  686.56470  484.08322
52.2062  702.37134  468.05991
53.0506  716.67639  452.58661
53.9087  730.06061  437.64914
54.7806  743.75604  423.22116
55.6667  757.73126  404.96036
56.5670  767.42773  385.82504
57.4820  774.46692  367.64713
58.4117  779.93414  350.38129
59.3564  784.16779  333.96680
60.3165  787.40558  318.35187
61.2921  789.83826  303.50687
62.2834  791.62274  289.37857
63.2908  792.91736  275.95404
64.3145  793.95819  263.19693
65.3547  795.23279  251.07379
66.4118  797.33142  237.57507
67.4859  796.83557  223.23093
68.5775  794.95483  209.84198
69.6867  792.21887  197.32504
70.8138  788.85779  185.62796
71.9591  785.01605  174.68050
73.1230  780.78558  164.45125
74.3057  776.24799  154.89470
75.5076  771.47168  145.96587
76.7289  766.50146  137.62198
77.9699  761.37549  129.82263
79.2310  756.11804  122.51923
80.5125  750.74298  115.68951
81.8147  745.25226  109.28728
83.1380  739.67206  103.36342
84.4827  734.04736  97.82265
85.8491  728.35406  92.63118
87.2377  722.57458  87.76585
88.6487  716.67072  83.20206
90.0825  710.55347  78.91833
91.5395  703.87402  74.99393
93.0201  697.48328  72.58722
94.5246  691.59546  70.26595
96.0535  685.95618  68.02660
97.6071  680.36218  65.86642
99.1858  674.59460  63.85480
100.7900  668.96661  62.27752
102.4200  663.42511  60.70857
104.0770  657.75299  59.18482
105.7600  651.57690  57.69911
107.4710  645.24384  57.37632
109.2090  639.44763  57.38258
110.9750  633.83130  57.42710
112.7700  627.95575  57.75840
114.5940  622.53802  58.55389
116.4480  617.42340  59.34343
118.3310  612.40533  60.16265
120.2450  607.45123  61.02482
122.1900  602.54047  61.93138
124.1660  597.65765  62.87770
126.1750  592.75195  63.83291
128.2150  587.78961  64.83246
130.2890  582.76404  65.87777
132.3970  577.64893  66.96861
134.5380  572.42383  68.09681
136.7140  567.04102  69.27043
138.9250  561.43634  70.49430
141.1720  555.66272  71.95351
143.4560  549.76520  73.49310
145.7760  543.69720  75.09901
148.1340  537.41858  76.79987
150.5300  530.95099  78.58195
152.9640  524.26349  80.38057
155.4390  517.56482  82.06367
157.9530  510.11765  83.22446
160.5070  501.80020  84.42688
163.1030  492.75598  85.53519
165.7420  482.43668  86.42635
168.4220  470.64429  87.34573
171.1460  457.06793  88.18153
173.9150  440.81601  88.92625
176.7270  420.80148  89.72122
179.5860  394.87714  90.53386
182.4910  357.95468  91.33194
185.4420  291.89017  91.99519
188.4420  142.59618  362.68954
191.4890  321.07993  358.43988
194.5870  373.63980  353.97668
197.7340  403.47046  349.79077
200.9320  422.83896  345.83688
204.1820  435.49783  341.96365
207.4850  443.53696  339.08752
210.8400  448.17737  336.84198
214.2510  449.81522  334.52472
217.7160  448.54730  333.09674
221.2370  444.12418  331.81082
224.8160  434.12109  332.23492
228.4520  420.23059  337.45685
232.1470  412.01682  350.51480
235.9020  399.27356  357.80136
239.7170  376.74506  367.38007
243.5950  355.81668  402.88971
247.5350  349.59018  440.87970
251.5380  351.21277  477.50900
255.6070  357.50027  512.87732
259.7410  370.63394  547.68964
263.9420  394.17523  579.61859
268.2110  415.55594  599.54980
272.5490  435.25842  617.50183
276.9570  455.84866  633.75366
281.4370  474.25381  647.39276
285.9890  492.53229  661.88000
290.6150  513.06207  673.23755
295.3150  529.78735  680.73145
300.0920  542.91736  688.55457
304.9450  553.76080  702.03625
309.8780  572.23340  718.01929
314.8900  590.36749  726.09680
319.9830  606.40723  734.47943
325.1580  621.33295  743.17120
330.4180  634.96082  752.18103
335.7620  650.06885  765.32916
341.1920  669.38446  776.62689
346.7110  687.44122  784.35590
352.3190  704.54114  792.32898
358.0170  721.49524  800.54633
363.8080  738.63123  809.00458
369.6920  756.19562  817.71643
375.6720  774.44598  826.67261
381.7480  793.75140  835.88068
387.9220  815.19153  845.35522
394.1970  837.94531  851.87207
400.5730  860.64844  857.66339
407.0520  886.04688  863.54193
413.6350  910.87488  863.47687
420.3260  933.33423  863.16028
427.1240  955.06641  862.90790
434.0320  977.70258  862.71893
441.0520  1000.57385  859.78851
448.1860  1021.32904  855.35876
455.4350  1040.72864  850.94696
462.8020  1059.23682  846.56506
470.2870  1077.04822  842.22955
477.8940  1093.42542  837.95758
485.6230  1109.94470  835.87775
493.4780  1127.66113  834.08112
501.4590  1146.28699  832.33209
509.5700  1168.04370  830.59167
517.8120  1189.35901  823.96344
