MoSi2
50.70
6.24
E     f1    f2
10.0000  -3332.12638  0.76944
10.1617  -3332.11226  0.78312
10.3261  -3332.09790  0.79705
10.4931  -3332.08332  0.81122
10.6628  -3332.06850  0.82565
10.8353  -3332.05343  0.84033
11.0106  -3332.03812  0.85527
11.1886  -3332.02258  0.87048
11.3696  -3332.00677  0.88684
11.5535  -3331.99071  0.91970
11.7404  -3331.97439  0.95383
11.9303  -3331.95781  0.98927
12.1232  -3331.94096  1.02607
12.3193  -3331.92384  1.06430
12.5186  -3331.90643  1.10400
12.7210  -3331.88876  1.14523
12.9268  -3331.87078  1.18806
13.1359  -3331.85252  1.23178
13.3483  -3331.83398  1.27544
13.5642  -3331.81512  1.32069
13.7836  -3331.79596  1.36760
14.0066  -3331.77649  1.41622
14.2331  -3331.75671  1.46661
14.4633  -3331.73660  1.51885
14.6973  -3331.71617  1.57299
14.9350  -3331.69541  1.62912
15.1765  -3331.67432  1.68544
15.4220  -3331.65288  1.74249
15.6714  -3331.63110  1.80151
15.9249  -3331.60896  1.86257
16.1825  -3331.58647  1.92575
16.4442  -3331.56361  1.99112
16.7102  -3331.54039  2.05876
16.9805  -3331.51678  2.12782
17.2551  -3331.49280  2.17554
17.5342  -3331.46843  2.22434
17.8178  -3331.44366  2.27424
18.1060  -3331.41849  2.32526
18.3989  -3331.39291  2.37744
18.6964  -3331.36693  2.43080
18.9988  -3331.34052  2.48535
19.3061  -3331.31369  2.52911
19.6184  -3331.28642  2.54221
19.9357  -3331.25871  2.55540
20.2582  -3331.23054  2.56869
20.5858  -3331.20193  2.58206
20.9188  -3331.17285  2.59552
21.2571  -3331.14331  2.60908
21.6009  -3331.11329  2.60343
21.9503  -3331.08277  2.58713
22.3053  -3331.05177  2.57103
22.6661  -3331.02026  2.55514
23.0327  -3330.98825  2.53944
23.4053  -3330.95571  2.52395
23.7838  -3330.92266  2.50092
24.1685  -3330.88906  2.44671
24.5594  -3330.85492  2.39399
24.9566  -3330.82024  2.34272
25.3603  -3330.78498  2.29287
25.7705  -3330.74916  2.23863
26.1873  -3330.71276  2.11688
26.6109  -3330.67577  2.00294
27.0413  -3330.63818  1.89635
27.4786  -3330.59999  1.79666
27.9231  -3330.56118  1.70327
28.3747  -3330.52174  1.61593
28.8337  -3330.48165  1.53431
29.3000  4.93910  1.45806
29.7739  4.78253  1.42460
30.2555  4.66034  1.42510
30.7449  4.54661  1.42560
31.2421  4.42835  1.42610
31.7475  4.28956  1.43638
32.2609  4.15741  1.48818
32.7827  4.03736  1.54204
33.3130  3.91639  1.59805
33.8518  3.77692  1.65744
34.3993  3.63575  1.77335
34.9557  3.51226  1.89847
35.5211  3.39210  2.03356
36.0956  3.27420  2.20423
36.6794  3.17787  2.39737
37.2727  3.09922  2.60930
37.8755  3.03924  2.84188
38.4882  3.00111  3.09813
39.1107  2.99379  3.38091
39.7432  3.02864  3.69083
40.3861  3.12868  4.03019
41.0393  3.36433  4.34416
41.7031  3.58561  4.51827
42.3776  3.78440  4.69981
43.0630  3.99362  4.88903
43.7595  4.25070  5.08631
44.4673  4.60131  5.20613
45.1865  4.89244  5.25669
45.9174  5.17441  5.30775
46.6600  5.50569  5.31979
47.4147  5.78961  5.24988
48.1816  6.04548  5.18100
48.9609  6.31180  5.11306
49.7528  6.55985  4.95338
50.5576  6.74787  4.79047
51.3753  6.90366  4.63333
52.2062  7.03726  4.48173
53.0506  7.15523  4.33600
53.9087  7.26393  4.19683
54.7806  7.37567  4.06261
55.6667  7.48969  3.89078
56.5670  7.56111  3.71033
57.4820  7.60562  3.53924
58.4117  7.63327  3.37706
59.3564  7.64613  3.22331
60.3165  7.64887  3.08201
61.2921  7.64501  2.94899
62.2834  7.63547  2.82336
63.2908  7.62169  2.70473
64.3145  7.60605  2.59277
65.3547  7.59526  2.48675
66.4118  7.59088  2.36184
67.4859  7.55877  2.22861
68.5775  7.51211  2.10469
69.6867  7.45757  1.98945
70.8138  7.39817  1.87645
71.9591  7.32726  1.76478
73.1230  7.24665  1.66036
74.3057  7.16049  1.56267
75.5076  7.07001  1.46548
76.7289  6.96639  1.37007
77.9699  6.84910  1.28092
79.2310  6.72100  1.19784
80.5125  6.58319  1.13227
81.8147  6.44256  1.07101
83.1380  6.29463  1.01449
84.4827  6.13388  0.96211
85.8491  5.96343  0.92013
87.2377  5.78517  0.88134
88.6487  5.59167  0.84554
90.0825  5.37795  0.81253
91.5395  5.13387  0.78404
93.0201  4.86022  0.77254
94.5246  4.54399  0.76200
96.0535  4.14794  0.75240
97.6071  3.57947  0.74371
99.1858  2.33521  0.73661
100.7900  3.00207  3.30003
102.4200  3.67652  3.02115
104.0770  3.50723  2.81567
105.7600  3.27195  3.06805
107.4710  3.18449  3.42303
109.2090  3.13283  3.68707
110.9750  3.09426  3.99747
112.7700  3.08649  4.31473
114.5940  3.01191  4.62779
116.4480  3.04300  5.16272
118.3310  3.33134  5.63243
120.2450  3.67465  5.88602
122.1900  3.93803  6.11897
124.1660  4.20437  6.25961
126.1750  4.40571  6.39626
128.2150  4.58343  6.57266
130.2890  4.80918  6.80556
132.3970  5.23004  6.99647
134.5380  5.71377  6.90965
136.7140  5.84270  6.62537
138.9250  5.81925  6.59269
141.1720  5.81313  6.68284
143.4560  5.88133  6.74030
145.7760  5.95783  6.93508
148.1340  6.13981  7.06994
150.5300  6.24603  7.13246
152.9640  6.46707  7.36081
155.4390  6.65584  7.09925
157.9530  6.57528  7.26508
160.5070  6.65579  7.49273
163.1030  6.92065  7.77505
165.7420  7.23885  7.91722
168.4220  7.68145  8.02979
171.1460  8.18045  7.95181
173.9150  8.51211  7.58301
176.7270  8.56051  7.23714
179.5860  8.48748  7.08131
182.4910  8.49061  7.08048
185.4420  8.55741  7.03829
188.4420  8.61776  6.99621
191.4890  8.67630  6.94552
194.5870  8.72541  6.89239
197.7340  8.76313  6.83984
200.9320  8.78807  6.78784
204.1820  8.79398  6.74255
207.4850  8.79415  6.71318
210.8400  8.78636  6.68962
214.2510  8.76983  6.67219
217.7160  8.74797  6.66438
221.2370  8.72005  6.65794
224.8160  8.64688  6.63484
228.4520  8.53296  6.65876
232.1470  8.47254  6.75953
235.9020  8.37021  6.80371
239.7170  8.17457  6.87037
243.5950  7.99771  7.19127
247.5350  7.97074  7.53654
251.5380  8.02214  7.85891
255.6070  8.11736  8.16559
