MoSi4
41.66
4
E     f1    f2
10.0000   8.8E+0268  0.51241
10.1617  -1998.73511  0.52144
10.3261  -1998.71788  0.53063
10.4931  -1998.70038  0.53998
10.6628  -1998.68260  0.54950
10.8353  -1998.66452  0.55919
11.0106  -1998.64615  0.56904
11.1886  -1998.62750  0.57907
11.3696  -1998.60853  0.58980
11.5535  -1998.58926  0.61045
11.7404  -1998.56967  0.63188
11.9303  -1998.54977  0.65411
12.1232  -1998.52955  0.67717
12.3193  -1998.50900  0.70110
12.5186  -1998.48812  0.72593
12.7210  -1998.46691  0.75170
12.9268  -1998.44534  0.77844
13.1359  -1998.42343  0.80573
13.3483  -1998.40117  0.83301
13.5642  -1998.37855  0.86125
13.7836  -1998.35555  0.89051
14.0066  -1998.33218  0.92081
14.2331  -1998.30845  0.95220
14.4633  -1998.28433  0.98471
14.6973  -1998.25980  1.01838
14.9350  -1998.23489  1.05327
15.1765  -1998.20959  1.08828
15.4220  -1998.18386  1.12376
15.6714  -1998.15772  1.16044
15.9249  -1998.13116  1.19836
16.1825  -1998.10416  1.23758
16.4442  -1998.07674  1.27813
16.7102  -1998.04886  1.32006
16.9805  -1998.02054  1.36287
17.2551  -1997.99176  1.39289
17.5342  -1997.96251  1.42359
17.8178  -1997.93279  1.45497
18.1060  -1997.90259  1.48705
18.3989  -1997.87190  1.51984
18.6964  -1997.84072  1.55336
18.9988  -1997.80903  1.58763
19.3061  -1997.77683  1.61544
19.6184  -1997.74410  1.62489
19.9357  -1997.71085  1.63441
20.2582  -1997.67705  1.64402
20.5858  -1997.64272  1.65371
20.9188  -1997.60782  1.66348
21.2571  -1997.57237  1.67333
21.6009  -1997.53634  1.67168
21.9503  -1997.49973  1.66367
22.3053  -1997.46253  1.65582
22.6661  -1997.42472  1.64811
23.0327  -1997.38630  1.64056
23.4053  -1997.34725  1.63315
23.7838  -1997.30759  1.62125
24.1685  -1997.26727  1.59068
24.5594  -1997.22631  1.56103
24.9566  -1997.18468  1.53229
25.3603  -1997.14238  1.50443
25.7705  -1997.09939  1.47396
26.1873  -1997.05571  1.40303
26.6109  -1997.01132  1.33682
27.0413  -1996.96622  1.27505
27.4786  -1996.92039  1.21745
27.9231  -1996.87381  1.16367
28.3747  -1996.82649  1.11356
28.8337  -1996.77839  1.06691
29.3000  4.49870  1.02354
29.7739  4.39397  1.00390
30.2555  4.31024  1.00464
30.7449  4.23191  1.00538
31.2421  4.15078  1.00613
31.7475  4.05748  1.01306
32.2609  3.96854  1.04570
32.7827  3.88750  1.07960
33.3130  3.80632  1.11480
33.8518  3.71435  1.15205
34.3993  3.62164  1.22323
34.9557  3.53978  1.29994
35.5211  3.46012  1.38266
36.0956  3.38202  1.48674
36.6794  3.31704  1.60432
37.2727  3.26284  1.73320
37.8755  3.22001  1.87448
38.4882  3.19049  2.02998
39.1107  3.17976  2.20142
39.7432  3.19481  2.38871
40.3861  3.24883  2.59297
41.0393  3.38361  2.78200
41.7031  3.50963  2.88710
42.3776  3.62200  2.99667
43.0630  3.74047  3.11085
43.7595  3.88750  3.22987
44.4673  4.09049  3.30242
45.1865  4.25764  3.33341
45.9174  4.41918  3.36471
46.6600  4.61014  3.37235
47.4147  4.77234  3.33072
48.1816  4.91728  3.28970
48.9609  5.06814  3.24925
49.7528  5.20766  3.15376
50.5576  5.31075  3.05633
51.3753  5.39405  2.96236
52.2062  5.46323  2.87171
53.0506  5.52237  2.78492
53.9087  5.57572  2.70287
54.7806  5.63078  2.62381
55.6667  5.68686  2.52220
56.5670  5.71693  2.41542
57.4820  5.73028  2.31427
58.4117  5.73263  2.21848
59.3564  5.72447  2.12776
60.3165  5.70996  2.04718
61.2921  5.69217  1.97199
62.2834  5.67124  1.90134
63.2908  5.64790  1.83501
64.3145  5.62372  1.77279
65.3547  5.60387  1.71400
66.4118  5.58678  1.64069
67.4859  5.55158  1.56239
68.5775  5.50703  1.48970
69.6867  5.45800  1.42222
70.8138  5.40672  1.35258
71.9591  5.34431  1.28005
73.1230  5.27236  1.21199
74.3057  5.19539  1.14811
75.5076  5.11452  1.08119
76.7289  5.01888  1.01300
77.9699  4.90768  0.94916
79.2310  4.78416  0.88965
80.5125  4.64955  0.84841
81.8147  4.51211  0.80978
83.1380  4.36626  0.77401
84.4827  4.20508  0.74099
85.8491  4.03250  0.71845
87.2377  3.85090  0.69787
88.6487  3.65161  0.67913
90.0825  3.42914  0.66210
91.5395  3.17338  0.64839
93.0201  2.88024  0.64613
94.5246  2.53283  0.64457
96.0535  2.08797  0.64370
97.6071  1.43574  0.64349
99.1858  -0.02650  0.64438
100.7900  0.80359  3.72718
102.4200  1.64186  3.39902
104.0770  1.46803  3.15878
105.7600  1.21760  3.46778
107.4710  1.14506  3.89320
109.2090  1.11199  4.20782
110.9750  1.09337  4.57805
112.7700  1.11315  4.95490
114.5940  1.04987  5.32393
116.4480  1.11126  5.95899
118.3310  1.48025  6.51559
120.2450  1.91430  6.81265
122.1900  2.25168  7.08470
124.1660  2.59190  7.24580
126.1750  2.85369  7.40210
128.2150  3.08685  7.60587
130.2890  3.37736  7.87723
132.3970  3.90181  8.09794
134.5380  4.50154  7.98516
136.7140  4.67550  7.63516
138.9250  4.66688  7.58683
141.1720  4.67892  7.68456
143.4560  4.77959  7.74262
145.7760  4.88974  7.96510
148.1340  5.12607  8.11532
150.5300  5.27102  8.17836
152.9640  5.55297  8.44001
155.4390  5.79355  8.11429
157.9530  5.71214  8.30445
160.5070  5.82527  8.56860
163.1030  6.15926  8.89895
165.7420  6.55896  9.06245
168.4220  7.10912  9.19032
171.1460  7.72748  9.09017
173.9150  8.14701  8.64177
176.7270  8.22848  8.22080
179.5860  8.16584  8.02782
182.4910  8.19589  8.02091
185.4420  8.30455  7.96503
188.4420  8.40778  7.90922
191.4890  8.51037  7.84381
194.5870  8.60615  7.77728
197.7340  8.69299  7.71141
200.9320  8.76988  7.64621
204.1820  8.83154  7.58903
207.4850  8.89299  7.54551
210.8400  8.95157  7.50567
214.2510  9.00683  7.46970
217.7160  9.06179  7.43968
221.2370  9.11951  7.41036
224.8160  9.14889  7.35160
228.4520  9.14666  7.32164
232.1470  9.17052  7.33837
235.9020  9.16673  7.32172
239.7170  9.10502  7.31914
243.5950  9.05338  7.46964
247.5350  9.09244  7.63534
251.5380  9.17696  7.78208
255.6070  9.28450  7.91792
259.7410  9.42516  8.05150
263.9420  9.62418  8.16913
268.2110  9.80805  8.21716
272.5490  9.97957  8.25451
276.9570  10.15421  8.28351
281.4370  10.31482  8.29890
285.9890  10.47427  8.32069
290.6150  10.64674  8.32497
295.3150  10.79863  8.30735
300.0920  10.92919  8.28909
304.9450  11.04382  8.30034
309.8780  11.19950  8.32736
314.8900  11.35103  8.30892
319.9830  11.48857  8.29329
325.1580  11.61823  8.28050
330.4180  11.73920  8.27056
335.7620  11.86791  8.28595
341.1920  12.02093  8.29144
346.7110  12.16624  8.27687
352.3190  12.30602  8.26468
358.0170  12.44694  8.25486
363.8080  12.59194  8.24737
369.6920  12.74522  8.22904
375.6720  12.89074  8.20656
381.7480  13.03642  8.18721
387.9220  13.19070  8.17098
394.1970  13.34906  8.13881
400.5730  13.50440  8.10491
407.0520  13.67428  8.07338
413.6350  13.83922  8.00834
420.3260  13.98884  7.94320
427.1240  14.13286  7.87980
434.0320  14.28114  7.81810
441.0520  14.42978  7.74159
448.1860  14.56498  7.65759
455.4350  14.69266  7.57518
462.8020  14.81514  7.49403
470.2870  14.93286  7.40940
477.8940  15.03896  7.32652
485.6230  15.14414  7.25790
493.4780  15.25490  7.19226
501.4590  15.36984  7.12820
509.5700  15.50214  7.06545
517.8120  15.63092  6.97522
526.1870  15.74920  6.88665
534.6980  15.86592  6.79971
543.3460  15.99272  6.71435
552.1340  16.12996  6.60649
561.0650  16.24370  6.47495
570.1390  16.34038  6.34611
579.3610  16.42860  6.21989
588.7320  16.51010  6.09313
598.2540  16.58150  5.96405
607.9300  16.64342  5.83779
617.7630  16.69742  5.71428
627.7550  16.74428  5.59347
637.9080  16.77448  5.47742
648.2260  16.80576  5.38100
658.7110  16.84244  5.28648
669.3650  16.87890  5.19382
680.1910  16.91440  5.10298
691.1930  16.94832  5.01392
702.3720  16.98046  4.92880
713.7330  17.01332  4.84719
725.2770  17.04712  4.76704
737.0080  17.08140  4.68834
748.9280  17.11628  4.61105
761.0420  17.15226  4.53512
773.3510  17.19272  4.46058
