N
14.0067
1 
E(eV)  f1  f2
       10.000000       -9999.0000       0.67784700
       10.161700       -9999.0000       0.68963100
       10.326100       -9999.0000       0.70162000
       10.493100       -9999.0000       0.71381700
       10.662800       -9999.0000       0.72622700
       10.835300       -9999.0000       0.73885200
       11.010600       -9999.0000       0.75169700
       11.188600       -9999.0000       0.76583900
       11.369600       -9999.0000       0.78602600
       11.553500       -9999.0000       0.80674300
       11.740400       -9999.0000       0.82800800
       11.930300       -9999.0000       0.84983300
       12.123200       -9999.0000       0.87223300
       12.319300       -9999.0000       0.89522300
       12.518600       -9999.0000       0.91928000
       12.721000       -9999.0000       0.95462200
       12.926800       -9999.0000       0.99132300
       13.135900       -9999.0000        1.0294300
       13.348300       -9999.0000        1.0690100
       13.564200       -9999.0000        1.1101100
       13.783600       -9999.0000        1.1527900
       14.006600       -9999.0000        1.2243200
       14.233100       -9999.0000        1.3042400
       14.463300       -9999.0000        1.3893800
       14.697300       -9999.0000        1.4800800
       14.935000       -9999.0000        1.5767000
       15.176500       -9999.0000        1.6865500
       15.422000       -9999.0000        1.8062500
       15.671400       -9999.0000        1.9344500
       15.924900       -9999.0000        2.0717500
       16.182500       -9999.0000        2.2187900
       16.444200       -9999.0000        2.3762700
       16.710200       -9999.0000        2.5449200
       16.980500       -9999.0000        2.6809100
       17.255100       -9999.0000        2.8204400
       17.534200       -9999.0000        2.9672400
       17.817800       -9999.0000        3.1216900
       18.106000       -9999.0000        3.2841700
       18.398900       -9999.0000        3.4551100
       18.696400       -9999.0000        3.6349400
       18.998800       -9999.0000        3.7919600
       19.306100       -9999.0000        3.9406900
       19.618400       -9999.0000        4.0952600
       19.935700       -9999.0000        4.2558800
       20.258200       -9999.0000        4.4228100
       20.585800       -9999.0000        4.5419200
       20.918800       -9999.0000        4.6217200
       21.257100       -9999.0000        4.7029200
       21.600900       -9999.0000        4.7855400
       21.950300       -9999.0000        4.8696300
       22.305300       -9999.0000        4.9231500
       22.666100       -9999.0000        4.9475700
       23.032700       -9999.0000        4.9721100
       23.405300       -9999.0000        4.9967800
       23.783800       -9999.0000        5.0215600
       24.168500       -9999.0000        5.0213800
       24.559400       -9999.0000        4.9921500
       24.956600       -9999.0000        4.9630900
       25.360300       -9999.0000        4.9342000
       25.770500       -9999.0000        4.9054700
       26.187300       -9999.0000        4.8769200
       26.610900       -9999.0000        4.8485300
       27.041300       -9999.0000        4.8203000
       27.478600       -9999.0000        4.7725200
       27.923100       -9999.0000        4.6968700
       28.374700       -9999.0000        4.6224100
       28.833700       -9999.0000        4.5491300
       29.300000        3.0967000        4.4770100
       29.773900        3.1857400        4.4060400
       30.255500        3.2686100        4.3361900
       30.744900        3.3458900        4.2674500
       31.242100        3.4179300        4.1998000
       31.747500        3.4849700        4.1332200
       32.260900        3.5452100        4.0677000
       32.782700        3.6000400        4.0071100
       33.313000        3.6540600        3.9522300
       33.851800        3.7076600        3.8981000
       34.399300        3.7594200        3.8447100
       34.955700        3.8088700        3.7920500
       35.521100        3.8555100        3.7401200
       36.095600        3.8983400        3.6888900
       36.679400        3.9342800        3.6383700
       37.200000        3.9398800        3.5945700
       37.400000        3.9559400        3.6410400
       37.875500        4.0277300        3.6015000
       38.488200        4.0871000        3.5519100
       39.110700        4.1388100        3.5030000
       39.743200        4.1866300        3.4547600
       40.386100        4.2317900        3.4071900
       41.039300        4.2748600        3.3602700
       41.703100        4.3161900        3.3140000
       42.377600        4.3560100        3.2683600
       43.063000        4.3945100        3.2233600
       43.759500        4.4318800        3.1789700
       44.467300        4.4683200        3.1352000
       45.186500        4.5040000        3.0920300
       45.917400        4.5412400        3.0494500
       46.660000        4.5780600        3.0028300
       47.414700        4.6102200        2.9544200
       48.181600        4.6391000        2.9067800
       48.960900        4.6653100        2.8599200
       49.752800        4.6889100        2.8138100
       50.557600        4.7096300        2.7684400
       51.375300        4.7267200        2.7238100
       52.206200        4.7374300        2.6798900
       53.050600        4.7287300        2.6366800
       53.908700        4.7438100        2.6584100
