Ni2O3
33.07
5.32
E     f1    f2
10.0000  -9999.00000  0.97288
10.1617  -9999.00000  0.97659
10.3261  -9999.00000  0.97803
10.4931  -9999.00000  0.97948
10.6628  -9999.00000  0.98092
10.8353  -9999.00000  0.98237
11.0106  -9999.00000  0.98472
11.1886  -9999.00000  1.00129
11.3696  -9999.00000  1.01836
11.5535  -9999.00000  1.03592
11.7404  -9999.00000  1.05400
11.9303  -9999.00000  1.07347
12.1232  -9999.00000  1.09410
12.3193  -9999.00000  1.11546
12.5186  -9999.00000  1.13741
12.7210  -9999.00000  1.15998
12.9268  -9999.00000  1.18320
13.1359  -9999.00000  1.20684
13.3483  -9999.00000  1.23102
13.5642  -9999.00000  1.25902
13.7836  -9999.00000  1.29065
14.0066  -9999.00000  1.32311
14.2331  -9999.00000  1.35575
14.4633  -9999.00000  1.38510
14.6973  -9999.00000  1.41721
14.9350  -9999.00000  1.45868
15.1765  -9999.00000  1.50143
15.4220  -9999.00000  1.54552
15.6714  -9999.00000  1.61266
15.9249  -9999.00000  1.69456
16.1825  -9999.00000  1.78343
16.4442  -9999.00000  1.87999
16.7102  -9999.00000  1.98502
16.9805  -9999.00000  2.09937
17.2551  -9999.00000  2.22401
17.5342  -9999.00000  2.35618
17.8178  -9999.00000  2.50294
18.1060  -9999.00000  2.67262
18.3989  -9999.00000  2.86035
18.6964  -9999.00000  3.06821
18.9988  -9999.00000  3.24567
19.3061  -9999.00000  3.33359
19.6184  -9999.00000  3.42782
19.9357  -9999.00000  3.50723
20.2582  -9999.00000  3.54506
20.5858  -9999.00000  3.58342
20.9188  -9999.00000  3.62271
21.2571  -9999.00000  3.67688
21.6009  -9999.00000  3.72855
21.9503  -9999.00000  3.77285
22.3053  -9999.00000  3.83314
22.6661  -9999.00000  3.89854
23.0327  -9999.00000  3.96537
23.4053  -9999.00000  4.03363
23.7838  -9999.00000  4.10340
24.1685  -9999.00000  4.14502
24.5594  -9999.00000  4.16844
24.9566  -9999.00000  4.19199
25.3603  -9999.00000  4.21568
25.7705  -9999.00000  4.23951
26.1873  -9999.00000  4.24868
26.6109  -9999.00000  4.25265
27.0413  -9999.00000  4.25674
27.4786  -9999.00000  4.26093
27.9231  -9999.00000  4.26333
28.3747  -9999.00000  4.26222
28.8337  -9999.00000  4.26131
29.3000  2.40460  4.26059
29.7739  2.47269  4.26006
30.2555  2.53816  4.25973
30.7449  2.60220  4.26094
31.2421  2.66591  4.26258
31.7475  2.72897  4.26440
32.2609  2.79144  4.26638
32.7827  2.85351  4.26851
33.3130  2.91536  4.27081
33.8518  2.97718  4.27326
34.3993  3.03905  4.27588
34.9557  3.10197  4.27963
35.5211  3.16857  4.28478
36.0956  3.24289  4.29005
36.6794  3.32556  4.27166
37.2727  3.39034  4.24693
37.8755  3.44681  4.22234
38.4882  3.49559  4.19790
39.1107  3.53982  4.18155
39.7432  3.58383  4.16572
40.3861  3.62692  4.14998
41.0393  3.66774  4.13433
41.7031  3.70532  4.11875
42.3776  3.73833  4.10326
43.0630  3.76859  4.09442
43.7595  3.80043  4.08911
44.4673  3.83333  4.08395
45.1865  3.86615  4.07896
45.9174  3.89850  4.07412
46.6600  3.93039  4.06944
47.4147  3.95933  4.06492
48.1816  3.98774  4.06313
48.9609  4.02385  4.06387
49.7528  4.05698  4.05274
50.5576  4.08346  4.04232
51.3753  4.10591  4.03261
52.2062  4.12481  4.02362
53.0506  4.14044  4.01662
53.9087  4.15353  4.01080
54.7806  4.16378  4.00576
55.6667  4.17073  4.00148
56.5670  4.17420  3.99798
57.4820  4.17589  3.99480
58.4117  4.16910  3.98450
59.3564  4.14966  3.97474
60.3165  4.11305  3.96554
61.2921  4.04034  3.96812
62.2834  3.96234  4.00692
63.2908  3.87443  4.04860
64.3145  3.74730  4.09322
65.3547  3.56289  4.28110
66.4118  3.47168  4.57887
67.4859  3.48747  4.92587
68.5775  3.67528  5.32945
69.6867  3.95694  5.43547
70.8138  4.17993  5.52968
71.9591  4.38187  5.61990
73.1230  4.57986  5.64484
74.3057  4.73559  5.67070
75.5076  4.88269  5.69750
76.7289  5.03309  5.72523
77.9699  5.18062  5.73247
79.2310  5.31761  5.73296
80.5125  5.44655  5.73384
81.8147  5.57330  5.73511
83.1380  5.70562  5.73676
84.4827  5.84193  5.71213
85.8491  5.95840  5.68127
87.2377  6.06485  5.65068
88.6487  6.16391  5.62037
90.0825  6.25700  5.59032
91.5395  6.34200  5.56053
93.0201  6.41746  5.53577
94.5246  6.49538  5.52156
96.0535  6.57767  5.50760
97.6071  6.66156  5.49387
99.1858  6.75007  5.47737
100.7900  6.83392  5.45335
102.4200  6.91385  5.42987
104.0770  6.99146  5.40695
105.7600  7.06784  5.38455
107.4710  7.14452  5.36269
109.2090  7.21982  5.33654
110.9750  7.29258  5.30978
112.7700  7.36186  5.28350
114.5940  7.42949  5.25769
116.4480  7.49563  5.23236
118.3310  7.56081  5.20750
120.2450  7.62555  5.18308
122.1900  7.69041  5.15478
124.1660  7.75021  5.12560
126.1750  7.80664  5.09686
128.2150  7.85983  5.06854
130.2890  7.90942  5.04065
132.3970  7.95253  5.01317
134.5380  7.97954  4.98612
136.7140  8.00898  4.99097
138.9250  8.05248  4.99877
141.1720  8.10275  5.00707
143.4560  8.15797  5.01589
145.7760  8.21759  5.02519
148.1340  8.28152  5.03502
150.5300  8.35018  5.04531
152.9640  8.42444  5.05607
155.4390  8.50569  5.06736
157.9530  8.60994  5.07506
160.5070  8.71466  5.04665
163.1030  8.79717  5.01856
165.7420  8.87564  4.99078
168.4220  8.95133  4.96331
171.1460  9.02517  4.93615
173.9150  9.09780  4.90929
176.7270  9.17005  4.88272
179.5860  9.24307  4.85641
182.4910  9.31973  4.82757
185.4420  9.39196  4.79275
188.4420  9.46110  4.75868
191.4890  9.52898  4.72524
194.5870  9.59649  4.69248
197.7340  9.66442  4.66037
200.9320  9.73679  4.62888
204.1820  9.81574  4.59799
207.4850  9.89462  4.54511
210.8400  9.96253  4.48888
214.2510  10.02349  4.43355
217.7160  10.07994  4.37910
221.2370  10.13293  4.32551
224.8160  10.18296  4.27276
228.4520  10.23047  4.22083
232.1470  10.27564  4.16971
235.9020  10.31862  4.11938
239.7170  10.35821  4.07046
243.5950  10.39732  4.02455
247.5350  10.43657  3.97922
251.5380  10.47512  3.93448
255.6070  10.51302  3.89032
259.7410  10.55036  3.84672
263.9420  10.58734  3.80368
268.2110  10.62406  3.76118
272.5490  10.66100  3.71922
276.9570  10.69808  3.67770
281.4370  10.74100  3.63658
285.9890  10.78530  3.59173
290.6150  10.82674  3.53249
295.3150  10.85954  3.47425
300.0920  10.88774  3.41699
304.9450  10.91245  3.36070
309.8780  10.93431  3.30536
314.8900  10.95360  3.25095
319.9830  10.97055  3.19745
325.1580  10.98535  3.14484
330.4180  10.99814  3.09313
335.7620  11.00899  3.04229
341.1920  11.01800  2.99230
346.7110  11.02529  2.94314
352.3190  11.03088  2.89481
358.0170  11.03500  2.84729
363.8080  11.03786  2.80057
369.6920  11.04103  2.75462
375.6720  11.04178  2.70464
381.7480  11.03880  2.65411
387.9220  11.03161  2.60448
394.1970  11.02109  2.55566
400.5730  11.00727  2.50774
407.0520  10.99023  2.46072
413.6350  10.96987  2.41459
420.3260  10.94595  2.36934
427.1240  10.91829  2.32494
434.0320  10.88652  2.28138
441.0520  10.85030  2.23864
448.1860  10.80901  2.19671
455.4350  10.76204  2.15559
462.8020  10.70849  2.11525
470.2870  10.64713  2.07568
477.8940  10.57638  2.03685
485.6230  10.49411  1.99875
493.4780  10.39750  1.96137
501.4590  10.28181  1.92217
509.5700  10.13364  1.87655
517.8120  9.93034  1.83201
526.1870  9.63278  1.78854
534.6980  9.10334  1.74610
543.3460  6.33556  4.21356
552.1340  9.25752  4.11503
561.0650  9.82145  4.01879
570.1390  10.14860  3.92505
579.3610  10.37309  3.83506
588.7320  10.53882  3.74757
598.2540  10.66480  3.66233
607.9300  10.75975  3.57901
617.7630  10.83301  3.50290
627.7550  10.88978  3.42963
637.9080  10.93403  3.35581
648.2260  10.96382  3.28058
658.7110  10.97698  3.20511
669.3650  10.97412  3.13141
680.1910  10.95576  3.06471
691.1930  10.92814  3.00344
702.3720  10.89338  2.94423
713.7330  10.85075  2.88241
725.2770  10.79295  2.80773
737.0080  10.70322  2.71806
748.9280  10.56658  2.63150
761.0420  10.40731  2.58028
773.3510  10.21513  2.52187
785.8590  9.97387  2.46563
798.5700  9.66229  2.41135
811.4860  9.23920  2.35853
824.6110  8.61384  2.30693
837.9490  7.50648  2.25652
851.5020  2.86873  2.20834
852.6000  -1.85229  2.20466
852.8000  -1.84591  8.21434
865.2740  7.55519  8.04829
879.2690  9.09555  7.86974
893.4910  9.99434  7.69516
907.9430  10.63056  7.52444
922.6280  11.11663  7.35754
937.5510  11.50510  7.19819
952.7150  11.81331  7.03749
968.1240  12.02325  6.87633
983.7830  12.15332  6.79102
999.6950  12.18306  6.87113
1015.8600  12.62014  7.13945
1032.2900  13.11943  6.98463
1048.9900  13.39202  6.82722
1065.9600  13.63448  6.67077
1083.2000  13.84769  6.51782
1100.7200  14.03778  6.36837
1118.5200  14.20934  6.22231
1136.6100  14.36539  6.07965
1155.0000  14.50818  5.94027
1173.6800  14.63948  5.80411
1192.6600  14.76071  5.67108
1211.9500  14.87313  5.54110
1231.5500  14.97792  5.41410
1251.4700  15.07594  5.28905
1271.7200  15.16723  5.16581
1292.2900  15.25146  5.04417
1313.1900  15.32916  4.92542
1334.4300  15.40129  4.80944
1356.0100  15.46837  4.69619
1377.9400  15.53092  4.58566
1400.2300  15.58937  4.47772
1422.8800  15.64418  4.37230
1445.8900  15.69577  4.26941
1469.2800  15.74522  4.16837
1493.0400  15.79193  4.06883
1517.1900  15.83563  3.96812
1541.7300  15.87425  3.86946
1566.6700  15.90921  3.77330
1592.0100  15.94121  3.67949
1617.7600  15.97040  3.58800
1643.9200  15.99714  3.49878
1670.5100  16.02167  3.41179
1697.5300  16.04421  3.32698
1724.9900  16.06543  3.24433
1752.8900  16.08513  3.16229
1781.2400  16.10250  3.08186
1810.0500  16.11747  3.00314
1839.3200  16.13061  2.92645
1869.0700  16.14211  2.85171
1899.3000  16.15207  2.77887
1930.0200  16.16072  2.70794
1961.2400  16.16802  2.63881
1992.9600  16.17422  2.57141
2025.2000  16.17971  2.50669
2057.9500  16.18467  2.44209
2091.2400  16.18855  2.37900
2125.0600  16.19106  2.31743
2159.4300  16.19269  2.25738
2194.3600  16.19339  2.19871
2229.8500  16.19335  2.14158
2265.9200  16.19259  2.08578
2302.5700  16.19104  2.03131
2339.8100  16.18881  1.97827
2377.6600  16.18594  1.92650
2416.1100  16.18259  1.87609
2455.1900  16.17864  1.82684
2494.9000  16.17417  1.77884
2535.2600  16.16931  1.73211
2576.2600  16.16394  1.68645
2617.9300  16.15813  1.64200
2660.2700  16.15198  1.59864
2703.3000  16.14544  1.55639
2747.0300  16.13860  1.51520
2791.4600  16.13145  1.47506
2836.6100  16.12396  1.43593
2882.4900  16.11625  1.39780
2929.1100  16.10829  1.36063
2976.4800  16.10005  1.32442
3024.6300  16.09164  1.28914
3073.5500  16.08302  1.25476
3123.2600  16.07421  1.22124
3173.7800  16.06523  1.18858
3225.1100  16.05608  1.15676
3277.2700  16.04674  1.12578
3330.2800  16.03731  1.09558
3384.1500  16.02775  1.06615
3438.8800  16.01805  1.03748
3494.5000  16.00823  1.00956
3551.0200  15.99834  0.98235
3608.4600  15.98832  0.95585
3666.8200  15.97821  0.93002
3726.1300  15.96799  0.90486
3786.4000  15.95769  0.88036
3847.6400  15.94729  0.85649
3909.8700  15.93685  0.83324
3973.1100  15.92630  0.81059
4037.3800  15.91564  0.78851
4102.6800  15.90489  0.76703
4169.0300  15.89405  0.74610
4236.4600  15.88315  0.72573
4304.9800  15.87215  0.70589
4374.6200  15.86106  0.68656
4445.3700  15.84989  0.66776
4517.2700  15.83862  0.64942
4590.3300  15.82721  0.63159
4664.5800  15.81568  0.61422
4740.0300  15.80401  0.59730
4816.6900  15.79225  0.58082
4894.6000  15.78032  0.56479
4973.7700  15.76822  0.54916
5054.2100  15.75590  0.53394
5135.9600  15.74341  0.51914
5219.0300  15.73072  0.50471
5303.4400  15.71776  0.49066
5389.2200  15.70456  0.47698
5476.3900  15.69102  0.46365
5564.9700  15.67715  0.45070
5654.9800  15.66291  0.43804
5746.4400  15.64825  0.42575
5839.3900  15.63310  0.41377
5933.8300  15.61745  0.40210
6029.8100  15.60119  0.39073
6127.3300  15.58424  0.37967
6226.4400  15.56654  0.36888
6327.1500  15.54792  0.35838
6429.4800  15.52831  0.34815
6533.4800  15.50753  0.33818
6639.1500  15.48538  0.32848
6746.5400  15.46164  0.31902
6855.6500  15.43602  0.30982
6966.5400  15.40809  0.30085
7079.2200  15.37747  0.29211
7193.7200  15.34338  0.28359
7310.0700  15.30508  0.27530
7428.3100  15.26128  0.26722
7548.4500  15.21022  0.25935
7670.5400  15.14906  0.25168
7794.6100  15.07317  0.24421
7920.6800  14.97396  0.23693
8048.7900  14.83259  0.22983
8178.9800  14.59447  0.22291
8311.2600  13.78400  0.21619
8332.7000  11.51072  0.21513
8332.9000  11.51091  1.55439
8445.6900  14.53000  1.52395
8582.2900  14.88977  1.48839
8721.1100  15.09437  1.45337
8862.1600  15.23874  1.41889
9005.5000  15.35036  1.38497
9151.1600  15.44112  1.35159
9299.1700  15.51730  1.31874
9449.5800  15.58262  1.28647
9602.4200  15.63951  1.25479
9757.7300  15.68962  1.22365
9915.5500  15.73414  1.19316
10075.9000  15.77400  1.16319
10238.9000  15.80991  1.13380
10404.5000  15.84232  1.10498
10572.8000  15.87170  1.07674
10743.8000  15.89841  1.04906
10917.6000  15.92273  1.02196
11094.2000  15.94496  0.99542
11273.6000  15.96523  0.96944
11455.9000  15.98376  0.94402
11641.2000  16.00074  0.91915
11829.5000  16.01625  0.89483
12020.8000  16.03045  0.87105
12215.3000  16.04342  0.84780
12412.8000  16.05529  0.82508
12613.6000  16.06612  0.80288
12817.6000  16.07601  0.78120
13025.0000  16.08503  0.76002
13235.6000  16.09318  0.73934
13449.7000  16.10062  0.71915
13667.2000  16.10735  0.69944
13888.3000  16.11340  0.68021
14112.9000  16.11883  0.66145
14341.2000  16.12375  0.64315
14573.1000  16.12808  0.62529
14808.9000  16.13193  0.60788
15048.4000  16.13531  0.59091
15291.8000  16.13830  0.57436
15539.1000  16.14086  0.55823
15790.4000  16.14303  0.54251
16045.8000  16.14489  0.52719
16305.4000  16.14639  0.51227
16569.1000  16.14758  0.49773
16837.1000  16.14850  0.48357
17109.4000  16.14915  0.46978
17386.1000  16.14956  0.45635
17667.4000  16.14974  0.44328
17953.1000  16.14973  0.43055
18243.5000  16.14949  0.41816
18538.6000  16.14909  0.40610
18838.4000  16.14849  0.39436
19143.1000  16.14774  0.38294
19452.7000  16.14688  0.37182
19767.4000  16.14583  0.36101
20087.1000  16.14470  0.35049
20412.0000  16.14341  0.34026
20742.1000  16.14205  0.33031
21077.6000  16.14058  0.32064
21418.5000  16.13904  0.31123
21765.0000  16.13737  0.30208
22117.0000  16.13568  0.29318
22474.7000  16.13386  0.28453
22838.2000  16.13205  0.27612
23207.6000  16.13013  0.26795
23583.0000  16.12817  0.26001
23964.4000  16.12617  0.25229
24352.0000  16.12414  0.24479
24745.9000  16.12207  0.23750
25146.2000  16.11998  0.23042
25552.9000  16.11788  0.22353
25966.2000  16.11574  0.21685
26386.1000  16.11357  0.21035
26812.9000  16.11140  0.20404
27246.6000  16.10920  0.19792
27687.3000  16.10700  0.19196
28135.1000  16.10484  0.18618
28590.2000  16.10265  0.18057
29052.6000  16.10058  0.17512
29522.5000  16.09871  0.16982
30000.0000  16.09464  0.16468
