NiO
37.34
6.8
E     f1    f2
10.0000  -9999.00000  1.04028
10.1617  -9999.00000  1.04393
10.3261  -9999.00000  1.04569
10.4931  -9999.00000  1.04746
10.6628  -9999.00000  1.04923
10.8353  -9999.00000  1.05101
11.0106  -9999.00000  1.05390
11.1886  -9999.00000  1.07459
11.3696  -9999.00000  1.09588
11.5535  -9999.00000  1.11780
11.7404  -9999.00000  1.14035
11.9303  -9999.00000  1.16429
12.1232  -9999.00000  1.18953
12.3193  -9999.00000  1.21565
12.5186  -9999.00000  1.24252
12.7210  -9999.00000  1.27018
12.9268  -9999.00000  1.29863
13.1359  -9999.00000  1.32761
13.3483  -9999.00000  1.35725
13.5642  -9999.00000  1.39037
13.7836  -9999.00000  1.42679
14.0066  -9999.00000  1.46421
14.2331  -9999.00000  1.50180
14.4633  -9999.00000  1.53522
14.6973  -9999.00000  1.57116
14.9350  -9999.00000  1.61512
15.1765  -9999.00000  1.66038
15.4220  -9999.00000  1.70697
15.6714  -9999.00000  1.77245
15.9249  -9999.00000  1.84897
16.1825  -9999.00000  1.93146
16.4442  -9999.00000  2.02052
16.7102  -9999.00000  2.11680
16.9805  -9999.00000  2.22103
17.2551  -9999.00000  2.33399
17.5342  -9999.00000  2.45183
17.8178  -9999.00000  2.58097
18.1060  -9999.00000  2.72930
18.3989  -9999.00000  2.89278
18.6964  -9999.00000  3.07313
18.9988  -9999.00000  3.22824
19.3061  -9999.00000  3.29711
19.6184  -9999.00000  3.37184
19.9357  -9999.00000  3.43935
20.2582  -9999.00000  3.47220
20.5858  -9999.00000  3.50551
20.9188  -9999.00000  3.53974
21.2571  -9999.00000  3.59236
21.6009  -9999.00000  3.64300
21.9503  -9999.00000  3.68760
22.3053  -9999.00000  3.75208
22.6661  -9999.00000  3.82284
23.0327  -9999.00000  3.89525
23.4053  -9999.00000  3.96935
23.7838  -9999.00000  4.04520
24.1685  -9999.00000  4.08850
24.5594  -9999.00000  4.11256
24.9566  -9999.00000  4.13674
25.3603  -9999.00000  4.16108
25.7705  -9999.00000  4.18557
26.1873  -9999.00000  4.19171
26.6109  -9999.00000  4.19133
27.0413  -9999.00000  4.19105
27.4786  -9999.00000  4.19089
27.9231  -9999.00000  4.18846
28.3747  -9999.00000  4.18162
28.8337  -9999.00000  4.17500
29.3000  2.68299  4.16860
29.7739  2.74704  4.16241
30.2555  2.80773  4.15643
30.7449  2.86650  4.15236
31.2421  2.92467  4.14880
31.7475  2.98176  4.14544
32.2609  3.03779  4.14225
32.7827  3.09291  4.13922
33.3130  3.14725  4.13637
33.8518  3.20088  4.13369
34.3993  3.25372  4.13119
34.9557  3.30671  4.13008
35.5211  3.36232  4.13068
36.0956  3.42402  4.13141
36.6794  3.49210  4.11245
37.2727  3.54453  4.08822
37.8755  3.58904  4.06414
38.4882  3.62544  4.04020
39.1107  3.65723  4.02635
39.7432  3.68957  4.01311
40.3861  3.72144  3.99994
41.0393  3.75102  3.98685
41.7031  3.77701  3.97382
42.3776  3.79764  3.96087
43.0630  3.81511  3.95618
43.7595  3.83478  3.95588
44.4673  3.85592  3.95573
45.1865  3.87700  3.95576
45.9174  3.89742  3.95595
46.6600  3.91705  3.95630
47.4147  3.93250  3.95681
48.1816  3.94609  3.96070
48.9609  3.96655  3.97003
49.7528  3.98553  3.96960
50.5576  3.99916  3.96990
51.3753  4.00924  3.97092
52.2062  4.01593  3.97269
53.0506  4.01940  3.97677
53.9087  4.02044  3.98218
54.7806  4.01857  3.98841
55.6667  4.01316  3.99545
56.5670  4.00392  4.00331
57.4820  3.99295  4.01141
58.4117  3.97181  4.01046
59.3564  3.93528  4.01005
60.3165  3.87767  4.01020
61.2921  3.77530  4.02492
62.2834  3.66667  4.08480
63.2908  3.54596  4.14811
64.3145  3.37655  4.21499
65.3547  3.13582  4.46078
66.4118  3.01188  4.84383
67.4859  3.02197  5.28826
68.5775  3.24735  5.80330
69.6867  3.59037  5.94625
70.8138  3.86033  6.07409
71.9591  4.10401  6.19676
73.1230  4.34288  6.23771
74.3057  4.52907  6.27971
75.5076  4.70460  6.32275
76.7289  4.88439  6.36685
77.9699  5.06072  6.38523
79.2310  5.22400  6.39505
80.5125  5.37733  6.40525
81.8147  5.52800  6.41584
83.1380  5.68573  6.42680
84.4827  5.84852  6.40480
85.8491  5.98656  6.37491
87.2377  6.11211  6.34526
88.6487  6.22846  6.31584
90.0825  6.33732  6.28666
91.5395  6.43603  6.25770
93.0201  6.52271  6.23493
94.5246  6.61229  6.22527
96.0535  6.70700  6.21581
97.6071  6.80301  6.20654
99.1858  6.90279  6.19497
100.7900  6.99859  6.17713
102.4200  7.09101  6.15975
104.0770  7.18148  6.14284
105.7600  7.27105  6.12637
107.4710  7.36152  6.11034
109.2090  7.45067  6.08876
110.9750  7.53704  6.06618
112.7700  7.61939  6.04402
114.5940  7.69998  6.02224
116.4480  7.77898  6.00086
118.3310  7.85703  5.97988
120.2450  7.93477  5.95927
122.1900  8.01288  5.93361
124.1660  8.08487  5.90668
126.1750  8.15287  5.88011
128.2150  8.21700  5.85389
130.2890  8.27681  5.82805
132.3970  8.32875  5.80254
134.5380  8.36099  5.77740
136.7140  8.39627  5.79142
138.9250  8.44900  5.80899
141.1720  8.51020  5.82705
143.4560  8.57760  5.84562
145.7760  8.65053  5.86466
148.1340  8.72889  5.88423
150.5300  8.81318  5.90426
152.9640  8.90452  5.92474
155.4390  9.00461  5.94577
157.9530  9.13346  5.96219
160.5070  9.26292  5.93334
163.1030  9.36460  5.90478
165.7420  9.46119  5.87650
168.4220  9.55424  5.84850
171.1460  9.64489  5.82076
173.9150  9.73387  5.79329
176.7270  9.82209  5.76609
179.5860  9.91063  5.73909
182.4910  10.00201  5.71003
185.4420  10.08963  5.67598
188.4420  10.17473  5.64258
191.4890  10.25900  5.60972
194.5870  10.34334  5.57743
197.7340  10.42863  5.54571
200.9320  10.51985  5.51451
204.1820  10.61959  5.48384
207.4850  10.71952  5.42544
210.8400  10.80599  5.36263
214.2510  10.88401  5.30072
217.7160  10.95662  5.23971
221.2370  11.02511  5.17955
224.8160  11.09012  5.12025
228.4520  11.15219  5.06179
232.1470  11.21158  5.00414
235.9020  11.26850  4.94731
239.7170  11.32205  4.89179
243.5950  11.37470  4.83892
247.5350  11.42705  4.78668
251.5380  11.47844  4.73508
255.6070  11.52898  4.68409
259.7410  11.57884  4.63371
263.9420  11.62825  4.58393
268.2110  11.67739  4.53474
272.5490  11.72682  4.48613
276.9570  11.77646  4.43803
281.4370  11.83351  4.39038
285.9890  11.89242  4.33802
290.6150  11.94787  4.26758
295.3150  11.99265  4.19832
300.0920  12.03181  4.13019
304.9450  12.06676  4.06319
309.8780  12.09830  3.99729
314.8900  12.12677  3.93248
319.9830  12.15250  3.86873
325.1580  12.17571  3.80603
330.4180  12.19662  3.74437
335.7620  12.21531  3.68373
341.1920  12.23194  3.62408
346.7110  12.24666  3.56541
352.3190  12.25954  3.50770
358.0170  12.27087  3.45095
363.8080  12.28095  3.39512
369.6920  12.29178  3.34021
375.6720  12.29997  3.28019
381.7480  12.30392  3.21942
387.9220  12.30306  3.15974
394.1970  12.29859  3.10108
400.5730  12.29064  3.04349
407.0520  12.27936  2.98697
413.6350  12.26471  2.93151
420.3260  12.24649  2.87709
427.1240  12.22461  2.82368
434.0320  12.19875  2.77127
441.0520  12.16869  2.71984
448.1860  12.13388  2.66937
455.4350  12.09387  2.61986
462.8020  12.04793  2.57127
470.2870  11.99504  2.52360
477.8940  11.93397  2.47681
485.6230  11.86306  2.43089
493.4780  11.78032  2.38583
501.4590  11.68220  2.33845
509.5700  11.55597  2.28301
517.8120  11.38103  2.22888
526.1870  11.12603  2.17604
534.6980  10.67653  2.12446
543.3460  8.36052  4.16484
552.1340  10.78472  4.06728
561.0650  11.24268  3.97198
570.1390  11.50202  3.87913
579.3610  11.67444  3.78975
588.7320  11.79643  3.70279
598.2540  11.88358  3.61805
607.9300  11.94243  3.53522
617.7630  11.98186  3.46095
627.7550  12.00655  3.38984
637.9080  12.01996  3.31847
648.2260  12.01972  3.24610
658.7110  12.00369  3.17371
669.3650  11.97207  3.10297
680.1910  11.92495  3.03824
691.1930  11.86723  2.97820
702.3720  11.80039  2.92004
713.7330  11.72436  2.85987
725.2770  11.63188  2.78432
737.0080  11.50128  2.68955
748.9280  11.31341  2.59828
761.0420  11.09844  2.55079
773.3510  10.84316  2.49409
785.8590  10.52746  2.44026
798.5700  10.12536  2.38895
811.4860  9.58510  2.33903
824.6110  8.79309  2.29021
837.9490  7.39961  2.24248
851.5020  1.59420  2.19670
852.6000  -4.30769  2.19319
852.8000  -4.29982  9.70549
865.2740  7.44468  9.51024
879.2690  9.36259  9.29992
893.4910  10.47873  9.09425
907.9430  11.26683  8.89312
922.6280  11.86733  8.69647
937.5510  12.34597  8.50993
952.7150  12.72505  8.32161
968.1240  12.98201  8.13260
983.7830  13.13972  8.03807
999.6950  13.17252  8.14998
1015.8600  13.71490  8.49681
1032.2900  14.33531  8.31423
1048.9900  14.67249  8.12827
1065.9600  14.97238  7.94338
1083.2000  15.23606  7.76259
1100.7200  15.47112  7.58589
1118.5200  15.68327  7.41318
1136.6100  15.87626  7.24444
1155.0000  16.05289  7.07956
1173.6800  16.21533  6.91846
1192.6600  16.36538  6.76104
1211.9500  16.50456  6.60718
1231.5500  16.63433  6.45683
1251.4700  16.75575  6.30876
1271.7200  16.86888  6.16280
1292.2900  16.97339  6.01869
1313.1900  17.06990  5.87798
1334.4300  17.15960  5.74054
1356.0100  17.24310  5.60630
1377.9400  17.32103  5.47525
1400.2300  17.39395  5.34725
1422.8800  17.46238  5.22222
1445.8900  17.52688  5.10017
1469.2800  17.58872  4.98027
1493.0400  17.64719  4.86212
1517.1900  17.70198  4.74245
1541.7300  17.75056  4.62518
1566.6700  17.79466  4.51088
1592.0100  17.83513  4.39935
1617.7600  17.87215  4.29055
1643.9200  17.90617  4.18445
1670.5100  17.93746  4.08097
1697.5300  17.96631  3.98009
1724.9900  17.99353  3.88176
1752.8900  18.01886  3.78410
1781.2400  18.04135  3.68834
1810.0500  18.06089  3.59461
1839.3200  18.07819  3.50327
1869.0700  18.09348  3.41425
1899.3000  18.10686  3.32747
1930.0200  18.11864  3.24296
1961.2400  18.12873  3.16059
1992.9600  18.13748  3.08026
2025.2000  18.14535  3.00312
2057.9500  18.15251  2.92610
2091.2400  18.15836  2.85087
2125.0600  18.16252  2.77744
2159.4300  18.16560  2.70582
2194.3600  18.16751  2.63582
2229.8500  18.16851  2.56767
2265.9200  18.16861  2.50108
2302.5700  18.16774  2.43608
2339.8100  18.16601  2.37277
2377.6600  18.16348  2.31098
2416.1100  18.16036  2.25079
2455.1900  18.15648  2.19199
2494.9000  18.15196  2.13467
2535.2600  18.14694  2.07886
2576.2600  18.14128  2.02433
2617.9300  18.13508  1.97122
2660.2700  18.12844  1.91943
2703.3000  18.12130  1.86895
2747.0300  18.11378  1.81973
2791.4600  18.10588  1.77176
2836.6100  18.09754  1.72499
2882.4900  18.08891  1.67942
2929.1100  18.07996  1.63498
2976.4800  18.07066  1.59169
3024.6300  18.06114  1.54950
3073.5500  18.05133  1.50839
3123.2600  18.04129  1.46830
3173.7800  18.03103  1.42925
3225.1100  18.02053  1.39118
3277.2700  18.00980  1.35412
3330.2800  17.99895  1.31799
3384.1500  17.98790  1.28278
3438.8800  17.97670  1.24847
3494.5000  17.96531  1.21506
3551.0200  17.95383  1.18249
3608.4600  17.94219  1.15077
3666.8200  17.93041  1.11986
3726.1300  17.91850  1.08973
3786.4000  17.90646  1.06040
