NiSi2
38.29
4.803
E     f1    f2
10.0000   1.7E+0174   1.7E+0174
10.1617  -3332.17926  0.54617
10.3261  -3332.16490  0.54869
10.4931  -3332.15032  0.55123
10.6628  -3332.13550  0.55379
10.8353  -3332.12044  0.55639
11.0106  -3332.10513  0.55975
11.1886  -3332.08958  0.57499
11.3696  -3332.07378  0.59067
11.5535  -3332.05772  0.60679
11.7404  -3332.04140  0.62335
11.9303  -3332.02481  0.64039
12.1232  -3332.00797  0.65810
12.3193  -3331.99084  0.67642
12.5186  -3331.97344  0.69526
12.7210  -3331.95576  0.71465
12.9268  -3331.93779  0.73460
13.1359  -3331.91953  0.75493
13.3483  -3331.90098  0.77572
13.5642  -3331.88213  0.79711
13.7836  -3331.86297  0.81911
14.0066  -3331.84349  0.84172
14.2331  -3331.82371  0.86441
14.4633  -3331.80361  0.88429
14.6973  -3331.78318  0.90463
14.9350  -3331.76242  0.92545
15.1765  -3331.74133  0.94675
15.4220  -3331.71989  0.96854
15.6714  -3331.69811  0.98970
15.9249  -3331.67597  1.00839
16.1825  -3331.65348  1.02743
16.4442  -3331.63062  1.04683
16.7102  -3331.60739  1.06660
16.9805  -3331.58379  1.08675
17.2551  -3331.55981  1.10727
17.5342  -3331.53543  1.12502
17.8178  -3331.51067  1.14109
18.1060  -3331.48550  1.15740
18.3989  -3331.45992  1.17395
18.6964  -3331.43394  1.19072
18.9988  -3331.40753  1.20774
19.3061  -3331.38070  1.20155
19.6184  -3331.35343  1.19660
19.9357  -3331.32572  1.20194
20.2582  -3331.29755  1.20734
20.5858  -3331.26895  1.21278
20.9188  -3331.23986  1.21859
21.2571  -3331.21032  1.23640
21.6009  -3331.18030  1.25446
21.9503  -3331.14979  1.27279
22.3053  -3331.11878  1.30428
22.6661  -3331.08728  1.33983
23.0327  -3331.05526  1.37639
23.4053  -3331.02272  1.41397
23.7838  -3330.98967  1.45260
24.1685  -3330.95608  1.47309
24.5594  -3330.92194  1.48546
24.9566  -3330.88725  1.49795
25.3603  -3330.85200  1.51056
25.7705  -3330.81618  1.52329
26.1873  -3330.77978  1.52381
26.6109  -3330.74279  1.52000
27.0413  -3330.70520  1.51629
27.4786  -3330.66701  1.51268
27.9231  -3330.62819  1.50758
28.3747  -3330.58876  1.49957
28.8337  -3330.54867  1.49173
29.3000  3.91703  1.48406
29.7739  3.91368  1.47329
30.2555  3.90860  1.46263
30.7449  3.90257  1.45321
31.2421  3.89577  1.44410
31.7475  3.88813  1.43562
32.2609  3.88000  1.42854
32.7827  3.87179  1.42156
33.3130  3.86303  1.41470
33.8518  3.85346  1.40793
34.3993  3.84267  1.40128
34.9557  3.83083  1.39555
35.5211  3.81845  1.39095
36.0956  3.80572  1.38642
36.6794  3.79213  1.38198
37.2727  3.77735  1.37760
37.8755  3.76085  1.37331
38.4882  3.74127  1.36909
39.1107  3.72057  1.37158
39.7432  3.70215  1.37373
40.3861  3.68407  1.37470
41.0393  3.66417  1.37567
41.7031  3.64225  1.37665
42.3776  3.61698  1.37762
43.0630  3.58973  1.38407
43.7595  3.56398  1.39340
44.4673  3.53913  1.40280
45.1865  3.51403  1.41226
45.9174  3.48824  1.42179
46.6600  3.46132  1.43100
47.4147  3.43039  1.44008
48.1816  3.39592  1.45137
48.9609  3.36179  1.46932
49.7528  3.32902  1.48753
50.5576  3.29593  1.50602
51.3753  3.26172  1.52478
52.2062  3.22531  1.54382
53.0506  3.18680  1.56473
53.9087  3.14726  1.58768
54.7806  3.10647  1.61099
55.6667  3.06351  1.63466
56.5670  3.01794  1.65870
57.4820  2.97092  1.68271
58.4117  2.91622  1.70052
59.3564  2.84911  1.71852
60.3165  2.76799  1.74114
61.2921  2.65864  1.77400
62.2834  2.54603  1.83696
63.2908  2.42602  1.90221
64.3145  2.27441  1.96984
