Quarts
19.50
2.651
E     f1    f2
10.0000  -6398.09343  0.57277
10.1617  -6398.10233  0.57566
10.3261  -6398.11092  0.57612
10.4931  -6398.11925  0.57659
10.6628  -6398.12764  0.57705
10.8353  -6398.13591  0.57778
11.0106  -6398.14387  0.57916
11.1886  -6398.15130  0.58056
11.3696  -6398.15840  0.58198
11.5535  -6398.16524  0.58340
11.7404  -6398.17184  0.58485
11.9303  -6398.17825  0.58722
12.1232  -6398.18449  0.59003
12.3193  -6398.19056  0.59286
12.5186  -6398.19649  0.59571
12.7210  -6398.20227  0.59859
12.9268  -6398.20791  0.60148
13.1359  -6398.21340  0.60438
13.3483  -6398.21862  0.60731
13.5642  -6398.22346  0.61326
13.7836  -6398.22841  0.62174
14.0066  -6398.23387  0.63035
14.2331  -6398.23943  0.63911
14.4633  -6398.24513  0.64801
14.6973  -6398.25096  0.65928
14.9350  -6398.25691  0.67999
15.1765  -6398.26299  0.70148
15.4220  -6398.26921  0.72381
15.6714  -6398.27551  0.77158
15.9249  -6398.28196  0.83812
16.1825  -6398.28868  0.91159
16.4442  -6398.29576  0.99285
16.7102  -6398.30313  1.08271
16.9805  -6398.31080  1.18208
17.2551  -6398.31883  1.29199
17.5342  -6398.32722  1.41354
17.8178  -6398.33628  1.55285
18.1060  -6398.34588  1.71661
18.3989  -6398.35568  1.90006
18.6964  -6398.36556  2.10473
18.9988  -6398.37573  2.27674
19.3061  -6398.38628  2.38300
19.6184  -6398.39730  2.49447
19.9357  -6398.40905  2.57703
20.2582  -6398.42214  2.61522
20.5858  -6398.43547  2.65619
20.9188  -6398.44824  2.69807
21.2571  -6398.46078  2.74063
21.6009  -6398.47321  2.78034
21.9503  -6398.48542  2.81200
22.3053  -6398.49646  2.84384
22.6661  -6398.50840  2.87334
23.0327  -6398.52154  2.90316
23.4053  -6398.53519  2.93327
23.7838  -6398.54865  2.96371
24.1685  -6398.56155  2.98453
24.5594  -6398.57794  2.99334
24.9566  -6398.59739  3.00232
25.3603  -6398.61825  3.01148
25.7705  -6398.64018  3.01794
26.1873  -6398.66778  3.02254
26.6109  -6398.70147  3.02770
27.0413  -6398.73996  3.03350
27.4786  -6398.78280  3.04575
27.9231  -6398.82657  3.05811
28.3747  -6398.87368  3.07054
28.8337  -6398.92708  3.08325
29.3000  1.20120  3.09953
29.7739  1.19353  3.11592
30.2555  1.17902  3.13241
30.7449  1.15575  3.14900
31.2421  1.12054  3.16615
31.7475  1.06980  3.18442
32.2609  0.99617  3.20285
32.7827  0.88273  3.22145
33.3130  0.68487  3.24023
33.8518  0.15494  3.25919
34.3993  -0.64397  3.27537
34.9557  -0.53825  4.64229
35.5211  0.70884  4.57817
36.0956  1.14642  4.46048
36.6794  1.17707  4.35369
37.2727  1.15998  4.46657
37.8755  1.21021  4.62479
38.4882  1.27141  4.73671
39.1107  1.33530  4.87164
39.7432  1.41348  5.00875
40.3861  1.45449  5.14156
41.0393  1.54465  5.38413
41.7031  1.76010  5.59433
42.3776  2.00107  5.69748
43.0630  2.20112  5.79031
43.7595  2.40149  5.83738
44.4673  2.56898  5.88255
45.1865  2.72443  5.94730
45.9174  2.90357  6.03993
46.6600  3.17972  6.11166
47.4147  3.48813  6.04580
48.1816  3.62394  5.88208
48.9609  3.69158  5.83687
49.7528  3.76199  5.83834
50.5576  3.86113  5.82370
51.3753  3.96017  5.87714
52.2062  4.10841  5.90104
53.0506  4.21655  5.88923
53.9087  4.37898  5.95957
54.7806  4.52161  5.78825
55.6667  4.53041  5.83135
56.5670  4.61864  5.90528
57.4820  4.79659  6.00715
58.4117  5.00120  6.04112
59.3564  5.26731  6.06070
60.3165  5.56077  5.98686
61.2921  5.77210  5.77004
62.2834  5.84386  5.56486
63.2908  5.85602  5.45405
64.3145  5.90616  5.42037
65.3547  5.98887  5.36710
66.4118  6.06958  5.31418
67.4859  6.14995  5.25795
68.5775  6.22866  5.20233
69.6867  6.30483  5.14730
70.8138  6.37841  5.09346
71.9591  6.44872  5.04337
73.1230  6.52140  4.99697
74.3057  6.59528  4.95103
75.5076  6.67040  4.90553
76.7289  6.74757  4.86048
77.9699  6.82970  4.81560
79.2310  6.91054  4.75497
80.5125  6.98520  4.69510
81.8147  7.05466  4.63599
83.1380  7.12182  4.57762
84.4827  7.18721  4.51999
85.8491  7.25146  4.46309
87.2377  7.31624  4.40690
88.6487  7.37970  4.34668
90.0825  7.44046  4.28549
91.5395  7.49763  4.22518
93.0201  7.55317  4.16573
94.5246  7.60756  4.10713
96.0535  7.66130  4.04937
