Sc3Si5
34.41
3.3
E     f1    f2
10.0000  -3747.22619  0.50174
10.1617  -3747.24304  0.50341
10.3261  -3747.25931  0.50510
10.4931  -3747.27509  0.50679
10.6628  -3747.29098  0.50848
10.8353  -3747.30666  0.51068
11.0106  -3747.32173  0.51413
11.1886  -3747.33580  0.51761
11.3696  -3747.34924  0.52112
11.5535  -3747.36219  0.52466
11.7404  -3747.37471  0.52822
11.9303  -3747.38684  0.53182
12.1232  -3747.39866  0.53545
12.3193  -3747.41016  0.53911
12.5186  -3747.42138  0.54312
12.7210  -3747.43234  0.54854
12.9268  -3747.44302  0.55401
13.1359  -3747.45340  0.55954
13.3483  -3747.46330  0.56512
13.5642  -3747.47246  0.57007
13.7836  -3747.48184  0.57395
14.0066  -3747.49217  0.57756
14.2331  -3747.50271  0.58062
14.4633  -3747.51351  0.58371
14.6973  -3747.52454  0.58681
14.9350  -3747.53582  0.58993
15.1765  -3747.54734  0.59307
15.4220  -3747.55911  0.59471
15.6714  -3747.57104  0.59556
15.9249  -3747.58325  0.59605
16.1825  -3747.59599  0.59636
16.4442  -3747.60939  0.59667
16.7102  -3747.62334  0.59682
16.9805  -3747.63789  0.59696
17.2551  -3747.65309  0.59710
17.5342  -3747.66898  0.59725
17.8178  -3747.68613  0.59761
18.1060  -3747.70432  0.59883
18.3989  -3747.72287  0.60133
18.6964  -3747.74159  0.60385
18.9988  -3747.76086  0.60639
19.3061  -3747.78084  0.60782
19.6184  -3747.80170  0.60905
19.9357  -3747.82396  0.61031
20.2582  -3747.84876  0.61159
20.5858  -3747.87400  0.61648
20.9188  -3747.89818  0.62193
21.2571  -3747.92194  0.62756
21.6009  -3747.94548  0.63297
21.9503  -3747.96861  0.63743
22.3053  -3747.98951  0.64172
22.6661  -3748.01211  0.64105
23.0327  -3748.03700  0.64044
23.4053  -3748.06287  0.63989
23.7838  -3748.08834  0.64119
24.1685  -3748.11278  0.63757
24.5594  -3748.14382  0.62816
24.9566  -3748.18067  0.61896
25.3603  -3748.22016  0.60801
25.7705  -3748.26171  0.59052
26.1873  -3748.31398  0.56945
26.6109  -3748.37778  0.54936
27.0413  -3748.45069  0.53040
27.4786  -3748.53182  0.52364
27.9231  -3748.61472  0.51696
28.3747  -3748.70394  0.50988
28.8337  -3748.80508  0.50316
29.3000  0.32130  0.50312
29.7739  0.06167  0.50412
30.2555  -0.23162  0.50677
30.7449  -0.56901  0.50991
31.2421  -0.96230  0.51821
31.7475  -1.42916  0.52852
32.2609  -2.00369  0.54210
32.7827  -2.74220  0.56029
33.3130  -3.78300  0.59091
33.8518  -5.73104  0.63836
34.3993  -8.89722  0.74085
34.9557  -11.42812  3.73238
35.5211  -6.47981  8.99450
36.0956  -4.37734  9.37869
36.6794  -3.50021  9.51345
37.2727  -2.87763  10.02565
37.8755  -2.16113  10.63335
38.4882  -1.30655  11.03869
39.1107  -0.57398  11.33911
39.7432  0.17165  11.64349
40.3861  0.96168  11.81054
41.0393  1.65784  12.01986
41.7031  2.48888  12.17780
42.3776  3.32813  12.13184
43.0630  4.08934  12.07592
43.7595  4.95798  11.94304
44.4673  5.50223  11.24562
45.1865  5.82672  11.00219
45.9174  6.20335  10.83906
46.6600  6.76494  10.66195
47.4147  7.40291  10.18263
48.1816  7.61051  9.50383
48.9609  7.61846  9.09915
49.7528  7.61605  8.84700
50.5576  7.66798  8.59349
51.3753  7.72655  8.47455
52.2062  7.83360  8.30554
53.0506  7.83518  8.12021
53.9087  7.95431  8.12805
54.7806  8.03748  7.69574
55.6667  7.86160  7.68530
56.5670  7.83914  7.77860
57.4820  8.01805  7.94043
58.4117  8.28029  7.96889
59.3564  8.62796  7.91132
60.3165  8.96209  7.73284
61.2921  9.18427  7.34110
62.2834  9.16145  6.97211
63.2908  9.02532  6.79215
64.3145  8.98303  6.77343
65.3547  9.01735  6.71705
66.4118  9.05569  6.66077
67.4859  9.09699  6.59791
68.5775  9.14089  6.54304
69.6867  9.18423  6.48867
70.8138  9.22938  6.44590
71.9591  9.27787  6.41030
73.1230  9.33817  6.38128
74.3057  9.40602  6.35009
75.5076  9.47927  6.31901
76.7289  9.55869  6.28847
77.9699  9.65143  6.26020
79.2310  9.74665  6.20169
80.5125  9.83423  6.14102
81.8147  9.90958  6.07952
83.1380  9.98285  6.02474
84.4827  10.05686  5.97103
85.8491  10.13167  5.91835
87.2377  10.21010  5.86672
88.6487  10.28848  5.80722
90.0825  10.36453  5.74569
91.5395  10.43760  5.68554
93.0201  10.51806  5.62357
94.5246  10.58109  5.54687
96.0535  10.64206  5.48435
97.6071  10.70380  5.42302
99.1858  10.76642  5.36282
100.7900  10.83124  5.30021
102.4200  10.89185  5.23503
104.0770  10.95173  5.17107
105.7600  11.01014  5.10550
107.4710  11.06544  5.03749
109.2090  11.11715  4.97107
110.9750  11.16668  4.90616
112.7700  11.21522  4.84243
114.5940  11.26254  4.77953
116.4480  11.30875  4.71691
118.3310  11.35347  4.65515
120.2450  11.39728  4.59448
122.1900  11.44047  4.53485
124.1660  11.48342  4.47626
126.1750  11.52766  4.41873
128.2150  11.57405  4.36219
130.2890  11.62477  4.29631
132.3970  11.66612  4.22634
134.5380  11.70265  4.15804
136.7140  11.73618  4.09129
138.9250  11.76738  4.02602
141.1720  11.79672  3.96222
143.4560  11.82468  3.89986
145.7760  11.85156  3.83890
148.1340  11.87797  3.77931
150.5300  11.90623  3.71994
152.9640  11.93214  3.65790
155.4390  11.95577  3.59605
157.9530  11.97685  3.53468
160.5070  11.99681  3.47453
163.1030  12.01567  3.41536
165.7420  12.03300  3.35351
168.4220  12.04683  3.29297
171.1460  12.05800  3.23418
173.9150  12.06769  3.17726
176.7270  12.07643  3.12223
179.5860  12.08446  3.06844
182.4910  12.09280  3.01548
185.4420  12.09958  2.96187
188.4420  12.10495  2.90909
191.4890  12.10878  2.85699
194.5870  12.11119  2.80579
197.7340  12.11246  2.75561
200.9320  12.11265  2.70645
204.1820  12.11322  2.65832
207.4850  12.11305  2.60937
210.8400  12.11125  2.55949
214.2510  12.10686  2.50896
217.7160  12.09998  2.45922
221.2370  12.09061  2.41035
224.8160  12.07909  2.36264
228.4520  12.06562  2.31599
232.1470  12.05022  2.27039
235.9020  12.03281  2.22585
239.7170  12.01332  2.18235
243.5950  11.99137  2.13983
247.5350  11.96685  2.10002
251.5380  11.94163  2.06255
255.6070  11.91567  2.02584
259.7410  11.88838  1.98989
263.9420  11.85950  1.95467
268.2110  11.82898  1.92017
272.5490  11.79672  1.88636
276.9570  11.76341  1.85249
281.4370  11.72846  1.81793
285.9890  11.68922  1.78093
290.6150  11.64448  1.74470
295.3150  11.59526  1.70929
300.0920  11.54146  1.67469
304.9450  11.48263  1.64086
309.8780  11.41833  1.60779
314.8900  11.34900  1.57547
319.9830  11.27286  1.54239
325.1580  11.18733  1.50858
330.4180  11.09128  1.47565
335.7620  10.98357  1.44354
341.1920  10.86194  1.41225
346.7110  10.72360  1.38175
352.3190  10.56446  1.35200
358.0170  10.37864  1.32295
363.8080  10.15730  1.29463
369.6920  9.88652  1.26701
375.6720  9.54190  1.24008
381.7480  9.07527  1.21383
387.9220  8.36941  1.18919
394.1970  6.97412  1.16619
398.6000  0.65293  1.14621
398.8000  0.64221  6.40141
400.5730  5.57773  6.36397
407.0520  8.16152  6.26493
413.6350  9.18783  6.16743
420.3260  9.84651  6.07154
427.1240  10.33298  5.97719
434.0320  10.71779  5.88428
441.0520  11.03487  5.79288
448.1860  11.30571  5.70123
455.4350  11.53337  5.60309
462.8020  11.72246  5.50428
470.2870  11.87225  5.40598
477.8940  11.96528  5.30951
485.6230  12.02906  5.30253
493.4780  12.12589  5.32938
501.4590  12.25721  5.35680
509.5700  12.40629  5.38473
517.8120  12.64917  5.38122
526.1870  12.83541  5.26638
534.6980  12.95026  5.16259
543.3460  13.04349  5.06506
552.1340  13.11955  4.96943
