ScSi
36.52
3.363
E     f1    f2
10.0000  -4998.84503  0.42263
10.1617  -4998.83444  0.42498
10.3261  -4998.82368  0.42734
10.4931  -4998.81274  0.42973
10.6628  -4998.80162  0.43214
10.8353  -4998.79032  0.43457
11.0106  -4998.77884  0.43703
11.1886  -4998.76718  0.43951
11.3696  -4998.75533  0.44201
11.5535  -4998.74329  0.44453
11.7404  -4998.73104  0.44708
11.9303  -4998.71861  0.44965
12.1232  -4998.70597  0.45225
12.3193  -4998.69313  0.45487
12.5186  -4998.68007  0.45795
12.7210  -4998.66682  0.46289
12.9268  -4998.65334  0.46788
13.1359  -4998.63964  0.47293
13.3483  -4998.62573  0.47803
13.5642  -4998.61159  0.48320
13.7836  -4998.59722  0.48842
14.0066  -4998.58262  0.49331
14.2331  -4998.56778  0.49750
14.4633  -4998.55270  0.50172
14.6973  -4998.53738  0.50600
14.9350  -4998.52181  0.51031
15.1765  -4998.50599  0.51467
15.4220  -4998.48991  0.51704
15.6714  -4998.47358  0.51838
15.9249  -4998.45697  0.51976
16.1825  -4998.44010  0.52116
16.4442  -4998.42296  0.52258
16.7102  -4998.40554  0.52381
16.9805  -4998.38784  0.52506
17.2551  -4998.36985  0.52634
17.5342  -4998.35157  0.52764
17.8178  -4998.33299  0.52927
18.1060  -4998.31412  0.53139
18.3989  -4998.29493  0.53354
18.6964  -4998.27545  0.53573
18.9988  -4998.25564  0.53794
19.3061  -4998.23552  0.53869
19.6184  -4998.21506  0.53918
19.9357  -4998.19428  0.53971
20.2582  -4998.17316  0.54027
20.5858  -4998.15170  0.54011
20.9188  -4998.12989  0.53986
21.2571  -4998.10773  0.53966
21.6009  -4998.08521  0.53896
21.9503  -4998.06233  0.53680
22.3053  -4998.03908  0.53472
22.6661  -4998.01545  0.53272
23.0327  -4997.99144  0.53081
23.4053  -4997.96703  0.52899
23.7838  -4997.94224  0.52966
24.1685  -4997.91705  0.53108
24.5594  -4997.89144  0.53255
24.9566  -4997.86543  0.53406
25.3603  -4997.83899  0.53298
25.7705  -4997.81212  0.53021
26.1873  -4997.78482  0.52756
26.6109  -4997.75708  0.52503
27.0413  -4997.72889  0.52262
27.4786  -4997.70025  0.52032
27.9231  -4997.67113  0.51815
28.3747  -4997.64155  0.51544
28.8337  -4997.61149  0.51269
29.3000  1.40070  0.51009
29.7739  1.19654  0.50636
30.2555  0.96579  0.50474
30.7449  0.69965  0.50370
31.2421  0.39027  0.50827
31.7475  0.02391  0.51329
32.2609  -0.42571  0.52344
32.7827  -0.98991  0.53948
33.3130  -1.74018  0.57186
33.8518  -2.85691  0.62644
34.3993  -4.91272  0.76160
34.9557  -8.39802  1.33807
35.5211  -4.78023  8.55590
36.0956  -2.88947  9.40530
36.6794  -1.57842  9.83078
37.2727  -0.52943  10.18757
37.8755  0.45913  10.55744
38.4882  1.59459  10.77468
39.1107  2.55401  10.79414
39.7432  3.48995  10.81312
40.3861  4.57443  10.65917
41.0393  5.40534  10.28467
41.7031  6.09666  9.92363
42.3776  6.73190  9.56128
43.0630  7.36437  9.21194
43.7595  8.13765  8.87576
44.4673  8.56038  7.79187
45.1865  8.72002  7.26409
45.9174  8.88962  6.77322
46.6600  9.06210  6.31640
47.4147  9.25776  5.80414
48.1816  9.32259  5.27328
48.9609  9.31068  4.79393
49.7528  9.26309  4.36722
50.5576  9.19568  3.98047
51.3753  9.12722  3.60224
52.2062  8.99134  3.23290
53.0506  8.80970  2.93342
53.9087  8.64260  2.68603
54.7806  8.47327  2.46308
55.6667  8.29227  2.26214
56.5670  8.11128  2.12266
57.4820  7.96839  2.00499
58.4117  7.86528  1.88191
59.3564  7.71609  1.68139
60.3165  7.47690  1.55983
61.2921  7.29436  1.51646
62.2834  7.13570  1.47505
63.2908  6.97457  1.44843
64.3145  6.84097  1.44303
65.3547  6.72715  1.43757
66.4118  6.62056  1.42824
67.4859  6.51515  1.41937
68.5775  6.41486  1.42048
69.6867  6.31848  1.42160
70.8138  6.23013  1.43313
71.9591  6.14888  1.44127
73.1230  6.07198  1.44976
74.3057  5.99909  1.45513
75.5076  5.92773  1.45609
76.7289  5.84998  1.45446
77.9699  5.76742  1.45686
79.2310  5.68340  1.46032
80.5125  5.59752  1.46936
81.8147  5.50641  1.47612
83.1380  5.41274  1.49067
84.4827  5.31450  1.50579
85.8491  5.21287  1.52643
87.2377  5.10905  1.54735
88.6487  4.99773  1.56868
90.0825  4.87633  1.59047
91.5395  4.74154  1.61327
93.0201  4.59680  1.63369
94.5246  4.39700  1.63306
96.0535  4.13625  1.65001
97.6071  3.74973  1.66720
99.1858  2.86144  1.68463
100.7900  3.41050  3.62190
102.4200  3.96040  3.42239
104.0770  3.87650  3.27793
105.7600  3.74581  3.47665
107.4710  3.72614  3.74414
109.2090  3.72915  3.94183
110.9750  3.74068  4.17471
112.7700  3.77836  4.41078
114.5940  3.76287  4.63977
116.4480  3.82433  5.03380
118.3310  4.07701  5.37836
120.2450  4.36968  5.56058
122.1900  4.60154  5.72701
124.1660  4.83482  5.82396
126.1750  5.01896  5.91794
128.2150  5.18523  6.04145
130.2890  5.38734  6.20704
132.3970  5.73572  6.34085
134.5380  6.13130  6.26619
136.7140  6.26118  6.04315
138.9250  6.27750  6.00846
141.1720  6.30709  6.06423
143.4560  6.39233  6.09494
145.7760  6.48397  6.22821
148.1340  6.65552  6.31608
150.5300  6.77389  6.34772
152.9640  6.97567  6.49795
155.4390  7.14825  6.27997
157.9530  7.11809  6.38523
160.5070  7.20858  6.53663
163.1030  7.43573  6.72984
165.7420  7.70406  6.81967
168.4220  8.06617  6.88712
171.1460  8.46977  6.81305
173.9150  8.75010  6.52260
176.7270  8.82045  6.25008
179.5860  8.80205  6.12005
182.4910  8.84390  6.10590
185.4420  8.93515  6.05914
188.4420  9.02334  6.01197
191.4890  9.11087  5.95873
194.5870  9.19563  5.90566
197.7340  9.27675  5.85296
200.9320  9.35399  5.80066
204.1820  9.42556  5.75339
207.4850  9.50044  5.71136
210.8400  9.57769  5.66966
214.2510  9.65623  5.62584
217.7160  9.73656  5.58184
221.2370  9.82268  5.53742
224.8160  9.90548  5.46885
228.4520  9.97768  5.40110
232.1470  10.04062  5.33415
235.9020  10.09866  5.26807
239.7170  10.15252  5.20284
243.5950  10.20303  5.13841
247.5350  10.25256  5.07480
251.5380  10.29811  5.00480
255.6070  10.33741  4.93305
259.7410  10.36880  4.86236
263.9420  10.39495  4.79272
268.2110  10.41615  4.72410
272.5490  10.43260  4.65649
276.9570  10.44514  4.58887
281.4370  10.45183  4.52098
285.9890  10.45233  4.45332
290.6150  10.44667  4.38658
295.3150  10.43601  4.32084
300.0920  10.41881  4.25397
304.9450  10.39312  4.18523
309.8780  10.35740  4.11759
314.8900  10.31181  4.05108
319.9830  10.25558  3.98565
325.1580  10.18755  3.92130
330.4180  10.10613  3.85801
335.7620  10.00916  3.79574
341.1920  9.89398  3.73449
346.7110  9.75673  3.67425
352.3190  9.59224  3.61500
358.0170  9.39389  3.55672
363.8080  9.15060  3.49940
369.6920  8.84550  3.43473
375.6720  8.43526  3.36694
381.7480  7.85975  3.30055
387.9220  6.96478  3.23534
394.1970  5.14740  3.17108
398.6000  -3.24562  3.12758
398.8000  -3.23602  10.15128
400.5730  3.37338  10.10488
407.0520  6.85873  9.93965
413.6350  8.26685  9.77719
420.3260  9.18437  9.61757
427.1240  9.87217  9.46064
434.0320  10.42457  9.30624
441.0520  10.88703  9.15447
448.1860  11.28837  9.00311
455.4350  11.63389  8.84367
462.8020  11.92945  8.68373
470.2870  12.17395  8.52190
477.8940  12.34265  8.36324
485.6230  12.47370  8.32463
493.4780  12.65075  8.33183
501.4590  12.87620  8.34043
509.5700  13.12840  8.35034
517.8120  13.50970  8.31947
526.1870  13.82070  8.14081
534.6980  14.04315  7.97751
543.3460  14.24485  7.82308
552.1340  14.43390  7.67172
561.0650  14.60895  7.51794
570.1390  14.76800  7.36485
579.3610  14.91545  7.21515
588.7320  15.05270  7.06748
598.2540  15.18030  6.92142
607.9300  15.29930  6.77836
617.7630  15.41105  6.63832
