ScSiUA
36.52
3.363
E     f1    f2
18.0000  3.77382  1.54777
18.2000  3.76779  1.50063
18.4000  3.74782  1.45545
18.6000  3.72518  1.41555
18.8000  3.70295  1.37411
19.0000  3.70395  1.08569
19.2000  3.67589  1.04409
19.4000  3.62363  1.21880
19.6000  3.60366  0.99184
19.8000  3.56222  1.03006
20.0000  3.51534  1.01163
20.2000  3.46094  0.91095
20.4000  3.40749  0.86595
20.6000  3.35604  0.83547
20.8000  3.31318  0.81280
21.0000  3.26986  0.78967
21.2000  3.22595  0.76746
21.4000  3.18262  0.74643
21.6000  3.13990  0.73046
21.8000  3.09544  0.71576
22.0000  3.04954  0.70166
22.2000  3.00189  0.69027
22.4000  2.95415  0.67976
22.6000  2.90796  0.66767
22.8000  2.86171  0.65644
23.0000  2.81046  0.64488
23.2000  2.75591  0.63515
23.4000  2.70180  0.62548
23.6000  2.64800  0.61743
23.8000  2.59080  0.60781
24.0000  2.53059  0.60476
24.2000  2.47164  0.60161
24.4000  2.41423  0.59852
24.6000  2.35592  0.59531
24.8000  2.29913  0.59219
25.0000  2.24334  0.58913
25.2000  2.18567  0.58601
25.4000  2.11887  0.58444
25.6000  2.05011  0.58273
25.8000  1.98293  0.58068
26.0000  1.91897  0.57818
26.2000  1.85239  0.57556
26.4000  1.78252  0.57339
26.6000  1.70812  0.56951
26.8000  1.62763  0.56556
27.0000  1.54436  0.56252
27.2000  1.45522  0.55831
27.4000  1.35646  0.55384
27.6000  1.24359  0.55154
27.8000  1.11237  0.55472
28.0000  0.94736  0.57112
28.2000  0.75711  0.65154
28.4000  0.64672  0.82470
28.6000  0.61357  0.91400
28.8000  0.54517  0.95811
29.0000  0.43891  1.01060
29.2000  0.30903  1.08452
29.4000  0.20353  1.21666
29.6000  0.14207  1.32213
29.8000  0.07813  1.43112
30.0000  0.02581  1.54283
30.2000  -0.01530  1.65140
30.4000  -0.05107  1.74611
30.6000  -0.08514  1.82815
30.8000  -0.12216  1.89636
31.0000  -0.16732  1.95258
31.2000  -0.22552  2.00257
31.4000  -0.29965  2.04995
31.6000  -0.39211  2.10041
31.8000  -0.50475  2.16061
32.0000  -0.62927  2.24288
32.2000  -0.76119  2.33979
32.4000  -0.89288  2.46562
32.6000  -1.01762  2.60060
32.8000  -1.14499  2.75085
33.0000  -1.26411  2.92398
33.2000  -1.37541  3.10301
33.4000  -1.47601  3.30593
33.6000  -1.56463  3.50780
33.8000  -1.64487  3.74770
34.0000  -1.68772  3.99756
34.2000  -1.68617  4.24325
34.4000  -1.73528  4.41290
34.6000  -1.74070  4.76865
34.8000  -1.65199  4.92031
35.0000  -1.64698  5.12170
35.2000  -1.64843  5.27250
35.4000  -1.70069  5.48800
35.6000  -1.72009  5.74833
35.8000  -1.70337  6.01155
36.0000  -1.67261  6.27048
36.2000  -1.63514  6.53726
36.4000  -1.57105  6.82142
36.6000  -1.47277  7.09138
36.8000  -1.37215  7.34993
37.0000  -1.24772  7.63856
37.2000  -1.09399  7.88428
37.4000  -0.94078  8.15057
37.6000  -0.75687  8.40849
37.8000  -0.54826  8.64634
38.0000  -0.34050  8.83429
38.2000  -0.15333  9.03319
38.4000  0.04861  9.22807
38.6000  0.26379  9.41446
38.8000  0.48308  9.56934
39.0000  0.69234  9.73518
39.2000  0.89069  9.88058
39.4000  1.09617  10.09823
39.6000  1.36279  10.27201
39.8000  1.62554  10.44204
40.0000  1.90921  10.60482
40.2000  2.21085  10.73269
40.4000  2.51041  10.84093
40.6000  2.81374  10.93309
40.8000  3.11590  11.00537
41.0000  3.41708  11.07442
41.2000  3.72801  11.12749
41.4000  4.04157  11.17014
41.6000  4.38644  11.22569
41.8000  4.74555  11.18304
42.0000  5.04196  11.15541
42.2000  5.36637  11.14406
42.4000  5.68166  11.05429
42.6000  5.96120  11.03621
42.8000  6.30978  10.97654
43.0000  6.61893  10.84024
43.2000  6.89869  10.77288
43.4000  7.23740  10.64503
43.6000  7.52154  10.45367
43.8000  7.76344  10.31087
44.0000  8.02467  10.14344
44.2000  8.26096  9.97482
44.4000  8.52857  9.82949
44.6000  8.79175  9.56258
44.8000  8.96729  9.34287
45.0000  9.16158  9.12764
45.2000  9.33787  8.88379
45.4000  9.49260  8.66158
45.6000  9.65720  8.41854
45.8000  9.79312  8.13977
46.0000  9.86449  7.85506
46.2000  9.91367  7.63765
46.4000  9.93365  7.38390
46.6000  9.94116  7.27679
46.8000  10.03993  7.12838
47.0000  10.14299  6.97140
47.2000  10.25936  6.78057
47.4000  10.36069  6.56053
47.6000  10.43328  6.32278
47.8000  10.47577  6.08805
48.0000  10.50339  5.86633
48.2000  10.52683  5.64669
48.4000  10.52557  5.41577
48.6000  10.50792  5.22187
48.8000  10.50003  5.02581
49.0000  10.47455  4.82713
49.2000  10.44243  4.65618
49.4000  10.42092  4.48681
49.6000  10.39895  4.32102
49.8000  10.45215  4.16900
50.0000  10.39377  3.78306
50.2000  10.18138  3.64358
50.4000  10.06960  3.54135
50.6000  9.98268  3.43793
50.8000  9.91000  3.33841
51.0000  9.83941  3.22421
51.2000  9.75057  3.11751
51.4000  9.67557  3.04453
51.6000  9.61426  2.94781
51.8000  9.54267  2.85929
52.0000  9.46616  2.77065
52.2000  9.38873  2.70202
52.4000  9.32709  2.63795
52.6000  9.26363  2.56157
52.8000  9.19623  2.50112
53.0000  9.14309  2.44168
53.2000  9.08177  2.36549
53.4000  9.01176  2.31207
53.6000  8.95538  2.26313
53.8000  8.90591  2.20892
54.0000  8.84999  2.14551
54.2000  8.78520  2.09129
54.4000  8.72442  2.04658
54.6000  8.66662  2.00138
54.8000  8.61376  1.96320
55.0000  8.56107  1.91685
55.2000  8.51350  1.88251
55.4000  8.46345  1.82815
55.6000  8.40391  1.79207
55.8000  8.35299  1.75731
56.0000  8.30069  1.72089
56.2000  8.25462  1.69351
56.4000  8.20637  1.65012
56.6000  8.15241  1.62153
56.8000  8.10360  1.59068
57.0000  8.05767  1.56416
57.2000  8.01037  1.52998
57.4000  7.95900  1.50466
57.6000  7.91257  1.48276
57.8000  7.87258  1.46094
58.0000  7.83144  1.43054
58.2000  7.78333  1.40406
58.4000  7.74169  1.38545
58.6000  7.69538  1.35366
58.8000  7.64909  1.34220
59.0000  7.61535  1.31926
59.2000  7.57887  1.30390
59.4000  7.54640  1.28641
59.6000  7.51443  1.26892
59.8000  7.48141  1.24949
60.0000  7.44602  1.23263
60.2000  7.41357  1.21968
60.4000  7.37923  1.20229
60.6000  7.34604  1.19554
60.8000  7.32050  1.18439
61.0000  7.29211  1.16830
61.2000  7.26111  1.15633
61.4000  7.23312  1.14586
61.6000  7.20249  1.13207
61.8000  7.17149  1.12775
62.0000  7.13894  1.11525
62.2000  7.10391  1.10580
62.4000  7.06697  1.09463
62.6000  7.03167  1.09160
62.8000  7.00159  1.08485
63.0000  6.96859  1.07611
63.2000  6.93888  1.07339
63.4000  6.91004  1.06191
63.6000  6.87680  1.05498
63.8000  6.84614  1.05008
64.0000  6.81617  1.04379
64.2000  6.78632  1.03944
64.4000  6.75979  1.03515
64.6000  6.73071  1.02553
64.8000  6.69986  1.02238
65.0000  6.67125  1.01805
65.2000  6.64584  1.01629
65.4000  6.62235  1.01345
65.6000  6.59899  1.01046
65.8000  6.57631  1.00778
66.0000  6.55428  1.00479
66.2000  6.53252  1.00171
66.4000  6.51093  0.99882
66.6000  6.49101  0.99667
66.8000  6.47152  0.99162
67.0000  6.45014  0.98659
67.2000  6.42768  0.98291
67.4000  6.40690  0.98160
67.6000  6.38807  0.97870
67.8000  6.36869  0.97447
68.0000  6.34846  0.97039
68.2000  6.32749  0.96671
68.4000  6.30742  0.96480
68.6000  6.28791  0.96120
68.8000  6.26649  0.95801
69.0000  6.24482  0.95566
69.2000  6.22337  0.95404
69.4000  6.20170  0.95288
69.6000  6.18040  0.95351
69.8000  6.16091  0.95494
70.0000  6.14263  0.95559
