ScSiUIMD
36.52
3.363
E     f1    f2
18.0000  2.66333  1.37976
18.2000  2.65461  1.36028
18.4000  2.63196  1.34277
18.6000  2.60921  1.32830
18.8000  2.58715  1.31202
19.0000  2.56254  1.29478
19.2000  2.53678  1.27976
19.4000  2.51030  1.26275
19.6000  2.48215  1.24718
19.8000  2.45265  1.23097
20.0000  2.42276  1.21849
20.2000  2.39211  1.20461
20.4000  2.35996  1.19322
20.6000  2.32753  1.18072
20.8000  2.29400  1.16980
21.0000  2.26016  1.15885
21.2000  2.22588  1.14933
21.4000  2.18996  1.13881
21.6000  2.15288  1.13158
21.8000  2.11681  1.12450
22.0000  2.08033  1.11854
22.2000  2.04350  1.11410
22.4000  2.00701  1.10988
22.6000  1.96973  1.10428
22.8000  1.93172  1.09959
23.0000  1.89217  1.09339
23.2000  1.85058  1.08860
23.4000  1.80795  1.08301
23.6000  1.76444  1.07834
23.8000  1.71786  1.07139
24.0000  1.66881  1.06985
24.2000  1.62078  1.06863
24.4000  1.57201  1.06731
24.6000  1.52226  1.06588
24.8000  1.47132  1.06433
25.0000  1.41903  1.06309
25.2000  1.36521  1.06210
25.4000  1.30962  1.06098
25.6000  1.25207  1.05973
25.8000  1.19234  1.05835
26.0000  1.13062  1.05718
26.2000  1.06660  1.05618
26.4000  1.00019  1.05478
26.6000  0.92967  1.05122
26.8000  0.85308  1.04760
27.0000  0.77081  1.04526
27.2000  0.68181  1.04200
27.4000  0.58319  1.03848
27.6000  0.47116  1.03597
27.8000  0.34090  1.03872
28.0000  0.17654  1.05492
28.2000  -0.01484  1.13507
28.4000  -0.12700  1.30787
28.6000  -0.16192  1.39682
28.8000  -0.23015  1.44057
29.0000  -0.33418  1.49292
29.2000  -0.46191  1.56683
29.4000  -0.56557  1.69894
29.6000  -0.63468  1.80406
29.8000  -0.70627  1.91272
30.0000  -0.38921  1.76671
30.2000  -0.09424  1.64326
30.4000  -0.12669  1.73686
30.6000  -0.15741  1.81776
30.8000  -0.19111  1.88481
31.0000  -0.23445  1.93991
31.2000  -0.29157  1.98886
31.4000  -0.36457  2.03524
31.6000  -0.45580  2.08466
31.8000  -0.56657  2.14448
32.0000  -0.68907  2.22649
32.2000  -0.81883  2.32313
32.4000  -0.94813  2.44867
32.6000  -1.06983  2.58337
32.8000  -1.19348  2.73332
33.0000  -1.30881  2.90619
33.2000  -1.41638  3.08501
33.4000  -1.51414  3.28754
33.6000  -1.60528  3.48878
33.8000  -1.68796  3.72808
34.0000  -1.73310  3.97732
34.2000  -1.73391  4.22227
34.4000  -1.78285  4.39148
34.6000  -1.78596  4.74705
34.8000  -1.69495  4.89841
