Sc 
44.9559
2.999
E(eV)    f1       f2
18 2.42486 1.06456
18.2 2.41654 1.04338
18.4 2.38034 1.02613
18.6 2.34395 1.01495
18.8 2.30895 1.00018
19 2.26929 0.98287
19.2 2.22798 0.96911
19.4 2.18525 0.95138
19.6 2.13915 0.93652
19.8 2.09037 0.9204
20 2.0414 0.90997
20.2 1.99166 0.89434
20.4 1.93893 0.88372
20.6 1.88565 0.87088
20.8 1.83016 0.86119
21 1.77379 0.85078
21.2 1.71623 0.84242
21.4 1.65538 0.83203
21.6 1.59223 0.82826
21.8 1.53108 0.82476
22 1.46927 0.82156
22.2 1.40691 0.81918
22.4 1.34523 0.81724
22.6 1.28198 0.81253
22.8 1.21727 0.80965
23 1.15047 0.80343
23.2 1.0806 0.79965
23.4 1.00866 0.79429
23.6 0.93495 0.79075
23.8 0.85511 0.78268
24 0.77083 0.78454
24.2 0.68906 0.78624
24.4 0.60583 0.78773
24.6 0.52063 0.789
24.8 0.43306 0.79004
25 0.3427 0.79083
25.2 0.2492 0.79137
25.4 0.15217 0.79165
25.6 0.05121 0.79167
25.8 -0.05412 0.79142
26 -0.16423 0.7909
26.2 -0.27957 0.79014
26.4 -0.39973 0.78858
26.6 -0.52807 0.7827
26.8 -0.66858 0.77671
27 -0.81945 0.77263
27.2 -0.9831 0.76625
27.4 -1.16597 0.75934
27.6 -1.37568 0.75445
27.8 -1.62183 0.76009
28 -1.93553 0.79219
28.2 -2.30282 0.95187
28.4 -2.51167 1.29687
28.6 -2.56605 1.47416
28.8 -2.68706 1.56105
29 -2.87938 1.66471
29.2 -3.11891 1.81123
29.4 -3.31031 2.07416
29.6 -3.43262 2.28311
29.8 -3.55987 2.49913
30 -3.66388 2.72055
30.2 -3.73846 2.93538
30.4 -3.79363 3.12208
30.6 -3.84543 3.28344
30.8 -3.90311 3.41716
31 -3.98014 3.52689
31.2 -4.08484 3.62417
31.4 -4.22141 3.71623
31.6 -4.39461 3.81444
31.8 -4.60728 3.93264
32 -4.84342 4.09518
32.2 -5.09433 4.287
32.4 -5.34481 4.53665
32.6 -5.58013 4.80464
32.8 -5.81971 5.10318
33 -6.04277 5.44748
33.2 -6.25022 5.80357
33.4 -6.43839 6.20734
33.6 -6.61342 6.6084
33.8 -6.77166 7.08552
34 -6.85513 7.58256
34.2 -6.84982 8.07126
34.4 -6.94105 8.40829
34.6 -6.94078 9.11784
34.8 -6.75225 9.41921
35 -6.73113 9.82006
35.2 -6.72293 10.11971
35.4 -6.81554 10.54876
35.6 -6.84206 11.06746
35.8 -6.79633 11.59197
36 -6.7225 12.10786
36.2 -6.63526 12.63948
36.4 -6.50013 13.20877
36.6 -6.30372 13.75354
36.8 -6.10265 14.27548
37 -5.85393 14.85759
37.2 -5.54662 15.35387
37.4 -5.24036 15.8913
37.6 -4.85783 16.4003
37.8 -4.42515 16.86858
38 -3.99421 17.23708
38.2 -3.60442 17.62747
38.4 -3.18509 18.00981
38.6 -2.74029 18.37561
38.8 -2.29881 18.68357
39 -1.87743 19.01347
39.2 -1.47784 19.30249
39.4 -1.06399 19.73599
39.6 -0.52788 20.08176
39.8 5.05524E-4 20.42002
40 0.5847 20.74448
40.2 1.20719 20.99921
40.4 1.82554 21.2147
40.6 2.45141 21.39802
40.8 3.07496 21.5416
41 3.69653 21.67869
41.2 4.33468 21.78386
41.4 4.96843 21.86826
41.6 5.6648 21.97844
41.8 6.38966 21.89225
42 6.98911 21.83607
42.2 7.64455 21.81246
42.4 8.28178 21.63202
42.6 8.8477 21.5951
42.8 9.55279 21.47568
43 10.17901 21.20299
43.2 10.74646 21.06818
