Si 
28.0855
2.332
E(eV)    f1       f2
18 5.12278 2.03097
18.2 5.11904 1.95787
18.4 5.11529 1.88477
18.6 5.10642 1.81614
18.8 5.09695 1.74803
19 5.1386 1.18852
19.2 5.12379 1.11907
19.4 5.062 1.48622
19.6 5.06818 1.04717
19.8 5.03406 1.13971
20 4.98928 1.11329
20.2 4.93022 0.92756
20.4 4.87606 0.84819
20.6 4.82644 0.80007
20.8 4.79619 0.7644
21 4.76594 0.72856
21.2 4.73568 0.69249
21.4 4.70986 0.66082
21.6 4.68757 0.63265
21.8 4.65979 0.60676
22 4.62981 0.58177
22.2 4.59687 0.56136
22.4 4.56306 0.54229
22.6 4.53395 0.52282
22.8 4.50615 0.50323
23 4.47046 0.48634
23.2 4.43123 0.47064
23.4 4.39494 0.45667
23.6 4.36106 0.4441
23.8 4.32648 0.43295
24 4.29035 0.42497
24.2 4.25422 0.41698
24.4 4.22264 0.4093
24.6 4.19121 0.40162
24.8 4.1652 0.39434
25 4.14398 0.38743
25.2 4.12213 0.38065
25.4 4.08557 0.37722
25.6 4.04901 0.37379
25.8 4.01998 0.36994
26 4.00216 0.36546
26.2 3.98434 0.36098
26.4 3.96477 0.35821
26.6 3.9443 0.35632
26.8 3.92384 0.35442
27 3.90818 0.35241
27.2 3.89354 0.35037
27.4 3.87889 0.34834
27.6 3.86286 0.34862
27.8 3.84656 0.34934
28 3.83026 0.35006
28.2 3.81704 0.35121
28.4 3.80512 0.35253
28.6 3.79319 0.35385
28.8 3.77741 0.35517
29 3.75719 0.35649
29.2 3.73698 0.35781
29.4 3.71737 0.35915
29.6 3.71675 0.36114
29.8 3.71613 0.36312
30 3.7155 0.36511
30.2 3.70786 0.36742
30.4 3.6915 0.37014
30.6 3.67515 0.37285
30.8 3.65879 0.37556
31 3.64551 0.37827
31.2 3.6338 0.38098
31.4 3.6221 0.38368
31.6 3.61039 0.38639
31.8 3.59779 0.38858
32 3.58488 0.39058
32.2 3.57196 0.39258
32.4 3.55904 0.39458
32.6 3.54489 0.39656
32.8 3.52972 0.39852
33 3.51455 0.40048
33.2 3.49939 0.40244
33.4 3.48637 0.40452
33.6 3.48415 0.4072
33.8 3.48192 0.40988
34 3.4797 0.41256
34.2 3.47747 0.41524
34.4 3.47049 0.41752
34.6 3.45938 0.41946
34.8 3.44827 0.42141
35 3.43717 0.42335
35.2 3.42606 0.42529
35.4 3.41417 0.42724
35.6 3.40187 0.42919
35.8 3.38958 0.43114
36 3.37728 0.43309
36.2 3.36498 0.43504
36.4 3.35804 0.43407
36.6 3.35819 0.42922
36.8 3.35834 0.42438
37 3.35849 0.41953
37.2 3.35864 0.41468
37.4 3.35879 0.40984
37.6 3.34409 0.41668
37.8 3.32864 0.42409
38 3.3132 0.4315
38.2 3.29776 0.43892
38.4 3.28232 0.44633
38.6 3.26786 0.45331
38.8 3.26498 0.4551
39 3.2621 0.45689
39.2 3.25922 0.45868
39.4 3.25634 0.46047
39.6 3.25346 0.46226
39.8 3.25058 0.46405
