SiC
20.05
3
E     f1    f2
29.3000  3.73564  1.55599
29.7739  3.74245  1.53131
30.2555  3.74890  1.50506
30.7449  3.75370  1.47933
31.2421  3.75708  1.45411
31.7475  3.75952  1.42982
32.2609  3.76143  1.40702
32.7827  3.76323  1.38474
33.3130  3.76464  1.36296
33.8518  3.76560  1.34168
34.3993  3.76602  1.32088
34.9557  3.76565  1.30057
35.5211  3.76462  1.28215
36.0956  3.76431  1.26439
36.6794  3.76416  1.24702
37.2727  3.76409  1.23003
37.8755  3.76415  1.21341
38.4882  3.76444  1.19716
39.1107  3.76616  1.18127
39.7432  3.76928  1.16283
40.3861  3.76958  1.14182
41.0393  3.76741  1.12132
41.7031  3.76389  1.10132
42.3776  3.75912  1.08180
43.0630  3.75317  1.06275
43.7595  3.74597  1.04416
44.4673  3.73691  1.02602
45.1865  3.72563  1.00883
45.9174  3.71405  0.99695
46.6600  3.70427  0.98498
47.4147  3.69471  0.97307
48.1816  3.68492  0.96137
48.9609  3.67482  0.94986
49.7528  3.66426  0.93854
50.5576  3.65310  0.92742
51.3753  3.64121  0.91648
52.2062  3.62795  0.90572
53.0506  3.61308  0.89556
53.9087  3.59650  0.88870
54.7806  3.58171  0.88365
55.6667  3.56766  0.87868
56.5670  3.55374  0.87380
57.4820  3.53968  0.86900
58.4117  3.52509  0.86429
59.3564  3.50912  0.85966
60.3165  3.49380  0.85844
61.2921  3.48120  0.85652
62.2834  3.46793  0.85165
63.2908  3.45317  0.84712
64.3145  3.43802  0.84292
65.3547  3.42420  0.83873
66.4118  3.40864  0.83074
67.4859  3.39095  0.82294
68.5775  3.37223  0.81534
69.6867  3.35358  0.80792
70.8138  3.33557  0.79629
71.9591  3.31209  0.78021
73.1230  3.28380  0.76446
74.3057  3.25323  0.74904
75.5076  3.22087  0.72959
76.7289  3.17978  0.70738
77.9699  3.12934  0.68607
79.2310  3.07149  0.66576
80.5125  3.00693  0.65531
81.8147  2.94084  0.64503
83.1380  2.86958  0.63492
84.4827  2.78867  0.62528
85.8491  2.70067  0.62108
87.2377  2.60715  0.61706
88.6487  2.50284  0.61323
90.0825  2.38462  0.60958
91.5395  2.24745  0.60682
93.0201  2.08564  0.60575
94.5246  1.88781  0.60496
96.0535  1.62794  0.60444
97.6071  1.23808  0.60420
99.1858  0.34243  0.60424
99.7000  -0.96340  0.60434
99.9000  -0.90291  2.65214
100.7900  0.87876  2.52890
102.4200  1.41953  2.32171
104.0770  1.32787  2.16945
105.7600  1.18985  2.36048
107.4710  1.16324  2.62018
109.2090  1.15899  2.80968
110.9750  1.16289  3.03403
112.7700  1.19157  3.26163
114.5940  1.16644  3.48268
116.4480  1.21777  3.86998
118.3310  1.46056  4.20821
120.2450  1.74333  4.38418
122.1900  1.96510  4.54448
124.1660  2.18809  4.63541
126.1750  2.36169  4.72342
128.2150  2.51712  4.84105
130.2890  2.70814  5.00086
132.3970  3.04534  5.12896
134.5380  3.42927  5.04794
136.7140  3.54665  4.81861
138.9250  3.54977  4.77775
141.1720  3.56544  4.82745
143.4560  3.63592  4.85219
145.7760  3.71174  4.97956
148.1340  3.86592  5.06163
150.5300  3.96243  5.08908
152.9640  4.14379  5.24050
155.4390  4.29738  5.02524
157.9530  4.25016  5.13436
160.5070  4.32502  5.28970
163.1030  4.53736  5.48687
165.7420  4.79148  5.58068
168.4220  5.14003  5.65221
171.1460  5.53116  5.58172
173.9150  5.79885  5.29411
176.7270  5.85600  5.02367
179.5860  5.82367  4.89575
182.4910  5.84970  4.88424
185.4420  5.92621  4.84262
188.4420  5.99993  4.79986
191.4890  6.07296  4.75167
194.5870  6.14351  4.70403
197.7340  6.21043  4.65691
200.9320  6.27343  4.61031
204.1820  6.33055  4.56882
207.4850  6.39048  4.53259
210.8400  6.45144  4.49670
214.2510  6.51331  4.46115
217.7160  6.57708  4.42593
221.2370  6.64685  4.39076
224.8160  6.71312  4.33156
228.4520  6.76811  4.27318
232.1470  6.81281  4.21561
235.9020  6.85105  4.15882
239.7170  6.88296  4.10282
