Si 
28.0855
2.332
E(eV)    f1       f2
18 2.90179 1.69497
18.2 2.89268 1.67719
18.4 2.88357 1.65941
18.6 2.87446 1.64164
18.8 2.86535 1.62386
19 2.85579 1.60669
19.2 2.84557 1.5904
19.4 2.83536 1.57412
19.6 2.82514 1.55783
19.8 2.81492 1.54154
20 2.80412 1.52702
20.2 2.79255 1.51487
20.4 2.78098 1.50272
20.6 2.76941 1.49056
20.8 2.75784 1.47841
21 2.74652 1.46692
21.2 2.73553 1.45625
21.4 2.72453 1.44558
21.6 2.71353 1.43491
21.8 2.70254 1.42423
22 2.69139 1.41552
22.2 2.68009 1.40902
22.4 2.66878 1.40252
22.6 2.65747 1.39602
22.8 2.64616 1.38953
23 2.63387 1.38336
23.2 2.62055 1.37755
23.4 2.60724 1.37173
23.6 2.59393 1.36592
23.8 2.58061 1.3601
24 2.56679 1.35515
24.2 2.55249 1.35102
24.4 2.53818 1.34689
24.6 2.52388 1.34276
24.8 2.50957 1.33862
25 2.49535 1.33535
25.2 2.48121 1.33283
25.4 2.46707 1.33031
25.6 2.45293 1.32779
25.8 2.43879 1.32527
26 2.42546 1.32346
26.2 2.41278 1.32222
26.4 2.4001 1.32097
26.6 2.38742 1.31973
26.8 2.37473 1.31849
27 2.36108 1.31788
27.2 2.34672 1.31775
27.4 2.33235 1.31761
27.6 2.31799 1.31748
27.8 2.30363 1.31734
28 2.28861 1.31765
28.2 2.27314 1.31826
28.4 2.25768 1.31887
28.6 2.24222 1.31948
28.8 2.22676 1.32009
29 2.21101 1.32112
29.2 2.19509 1.32242
29.4 2.17917 1.32371
29.6 2.16325 1.325
29.8 2.14733 1.3263
30 2.88547 0.81286
30.2 3.54998 0.35113
30.4 3.54026 0.35163
30.6 3.53061 0.35207
30.8 3.52088 0.35245
31 3.51123 0.35294
31.2 3.50169 0.35355
31.4 3.49228 0.35424
31.6 3.48301 0.35488
31.8 3.47413 0.35631
32 3.46528 0.3578
32.2 3.45667 0.35926
32.4 3.44855 0.36069
32.6 3.44046 0.36209
32.8 3.43275 0.36346
33 3.42516 0.36489
33.2 3.41746 0.36645
33.4 3.41012 0.36773
33.6 3.40286 0.36915
33.8 3.39575 0.37063
34 3.38892 0.37208
34.2 3.38201 0.37327
34.4 3.37534 0.37468
34.6 3.36886 0.37627
34.8 3.36234 0.37761
35 3.35598 0.37893
35.2 3.34967 0.38029
35.4 3.34336 0.38182
35.6 3.33728 0.38308
35.8 3.33123 0.3844
36 3.3252 0.38585
36.2 3.31945 0.38727
36.4 3.31374 0.38867
36.6 3.30806 0.39004
36.8 3.30244 0.39138
37 3.29686 0.39271
37.2 3.29133 0.39401
37.4 3.28588 0.39528
37.6 3.28063 0.39667
37.8 3.27558 0.39818
38 3.27038 0.39938
38.2 3.26524 0.40068
38.4 3.26018 0.40211
38.6 3.25551 0.40351
38.8 3.25086 0.40481
39 3.24614 0.4059
39.2 3.24157 0.40695
39.4 3.23707 0.40794
39.6 3.23275 0.40866
39.8 3.2284 0.40934
40 3.22402 0.41
40.2 3.21958 0.41035
40.4 3.21504 0.41074
40.6 3.21027 0.4113
40.8 3.20546 0.41182
41 3.20065 0.41232
41.2 3.1958 0.41277
41.4 3.19094 0.4132
41.6 3.18606 0.41359
41.8 3.18118 0.41395
42 3.17628 0.41429
42.2 3.17168 0.41486
42.4 3.16703 0.41543
42.6 3.16214 0.41597
42.8 3.15726 0.41649
43 3.1524 0.41697
43.2 3.14755 0.41742
43.4 3.14271 0.41786
43.6 3.13759 0.41824
43.8 3.13256 0.41861
44 3.1278 0.41894
44.2 3.12292 0.41939
44.4 3.1179 0.41999
44.6 3.11292 0.42035
44.8 3.10797 0.42057
45 3.10307 0.42103
45.2 3.09819 0.42152
45.4 3.09341 0.42197
45.6 3.08858 0.42241
45.8 3.08355 0.42281
46 3.07856 0.42308
46.2 3.07365 0.42309
46.4 3.06863 0.42323
46.6 3.0635 0.42351
46.8 3.05843 0.42377
47 3.05342 0.42402
47.2 3.04827 0.42422
47.4 3.04305 0.4244
47.6 3.03768 0.42454
47.8 3.03226 0.42467
48 3.02696 0.42504
48.2 3.02168 0.42546
48.4 3.01625 0.42554
48.6 3.01078 0.42557
48.8 3.00546 0.42586
49 3.00016 0.42618
49.2 2.99439 0.42645
49.4 2.98856 0.42672
49.6 2.98289 0.42663
49.8 2.97724 0.42649
50 2.97176 0.42662
50.2 2.96631 0.42679
50.4 2.96041 0.42722
50.6 2.95443 0.42771
50.8 2.94862 0.42785
51 2.94285 0.42791
51.2 2.93669 0.42794
51.4 2.9304 0.42796
51.6 2.92426 0.42818
51.8 2.91819 0.42852
52 2.91183 0.42883
52.2 2.90524 0.42912
52.4 2.89876 0.42939
52.6 2.89241 0.42963
52.8 2.88601 0.4301
53 2.87953 0.43107
53.2 2.87302 0.43196
53.4 2.86642 0.43251
53.6 2.85981 0.43305
53.8 2.85347 0.43395
54 2.84712 0.43485
54.2 2.84069 0.43572
54.4 2.83424 0.43659
54.6 2.82772 0.43743
54.8 2.82117 0.43827
55 2.81457 0.4391
55.2 2.80792 0.4399
55.4 2.80126 0.4407
55.6 2.79452 0.44147
55.8 2.78777 0.44224
56 2.78095 0.44298
56.2 2.77411 0.44372
56.4 2.76723 0.44444
56.6 2.76032 0.44515
56.8 2.75351 0.44584
57 2.74694 0.44651
57.2 2.74035 0.44719
57.4 2.73288 0.44824
57.6 2.7254 0.44929
57.8 2.71817 0.45004
58 2.71105 0.45064
58.2 2.70377 0.45138
58.4 2.69616 0.45238
58.6 2.68856 0.45337
58.8 2.68048 0.45393
59 2.67239 0.45447
59.2 2.66426 0.45598
59.4 2.65609 0.45821
59.6 2.64799 0.46037
59.8 2.64021 0.46216
60 2.63243 0.46396
60.2 2.62494 0.46607
60.4 2.61755 0.4683
60.6 2.61016 0.47054
60.8 2.60275 0.47277
61 2.59534 0.475
61.2 2.58791 0.47724
61.4 2.58048 0.47948
61.6 2.57319 0.48172
61.8 2.5662 0.48396
62 2.55922 0.4862
62.2 2.55223 0.48844
62.4 2.54525 0.49069
62.6 2.53815 0.49294
62.8 2.53073 0.49518
63 2.52331 0.49743
63.2 2.51659 0.49968
63.4 2.5101 0.50193
63.6 2.50354 0.50419
63.8 2.49664 0.50644
64 2.48973 0.50869
64.2 2.4834 0.51095
64.4 2.47748 0.51322
64.6 2.47155 0.51548
64.8 2.46524 0.51774
65 2.45892 0.52
65.2 2.45262 0.52161
65.4 2.44637 0.52198
65.6 2.44012 0.52234
65.8 2.43359 0.52301
66 2.42694 0.52381
66.2 2.42029 0.52461
66.4 2.41323 0.52537
66.6 2.40618 0.52614
66.8 2.39915 0.5269
67 2.39217 0.52763
67.2 2.38519 0.52837
67.4 2.37827 0.52908
67.6 2.37138 0.52978
67.8 2.36448 0.53048
68 2.35725 0.53115
68.2 2.34996 0.53182
68.4 2.34267 0.53248
68.6 2.33548 0.53311
68.8 2.32828 0.53374
69 2.32126 0.53437
69.2 2.31467 0.53496
69.4 2.30808 0.53556
69.6 2.30155 0.53541
69.8 2.29509 0.53445
70 2.28863 0.53349
