SiO2
20.02
2.65
E     f1    f2
29.3000  2.13924  3.21103
29.7739  2.18643  3.22616
30.2555  2.23417  3.24136
30.7449  2.28255  3.25663
31.2421  2.33137  3.27197
31.7475  2.38100  3.28765
32.2609  2.43181  3.30407
32.7827  2.48426  3.32057
33.3130  2.53841  3.33716
33.8518  2.59459  3.35384
34.3993  2.65326  3.37060
34.9557  2.71527  3.38746
35.5211  2.78273  3.40439
36.0956  2.85983  3.42142
36.6794  2.94791  3.41210
37.2727  3.01822  3.39568
37.8755  3.08211  3.37937
38.4882  3.14215  3.36317
39.1107  3.19958  3.34708
39.7432  3.25516  3.33074
40.3861  3.30884  3.31390
41.0393  3.36056  3.29716
41.7031  3.41096  3.28051
42.3776  3.46026  3.26397
43.0630  3.50866  3.24751
43.7595  3.55635  3.23115
44.4673  3.60355  3.21489
45.1865  3.65050  3.19871
45.9174  3.69753  3.18263
46.6600  3.74501  3.16645
47.4147  3.79353  3.15026
48.1816  3.84487  3.13417
48.9609  3.90325  3.11200
49.7528  3.95537  3.07629
50.5576  3.99922  3.04100
51.3753  4.03873  3.00615
52.2062  4.07477  2.97173
53.0506  4.10795  2.93801
53.9087  4.13895  2.90537
54.7806  4.16815  2.87317
55.6667  4.19550  2.84137
56.5670  4.22107  2.80999
57.4820  4.24488  2.77901
58.4117  4.26676  2.74844
59.3564  4.28619  2.71825
60.3165  4.30433  2.69068
61.2921  4.32208  2.66384
62.2834  4.33913  2.63746
63.2908  4.35544  2.61154
64.3145  4.37114  2.58608
65.3547  4.38725  2.56087
66.4118  4.40169  2.53335
67.4859  4.41418  2.50620
68.5775  4.42542  2.47940
69.6867  4.43602  2.45296
70.8138  4.44644  2.42456
71.9591  4.45322  2.39356
73.1230  4.45658  2.36297
74.3057  4.45815  2.33280
75.5076  4.45826  2.30015
76.7289  4.45231  2.26587
77.9699  4.43987  2.23237
79.2310  4.42227  2.19974
80.5125  4.40000  2.17387
81.8147  4.37653  2.14829
83.1380  4.34946  2.12302
84.4827  4.31585  2.09826
