Ta2O5
63.17
8.35
E     f1    f2
10.0000  -9999.00000  1.39938
10.1617  -9999.00000  1.43511
10.3261  -9999.00000  1.46934
10.4931  -9999.00000  1.50479
10.6628  -9999.00000  1.54117
10.8353  -9999.00000  1.57887
11.0106  -9999.00000  1.61793
11.1886  -9999.00000  1.65840
11.3696  -9999.00000  1.70034
11.5535  -9999.00000  1.74268
11.7404  -9999.00000  1.78431
11.9303  -9999.00000  1.82837
12.1232  -9999.00000  1.87434
12.3193  -9999.00000  1.92180
12.5186  -9999.00000  1.97081
12.7210  -9999.00000  2.01224
12.9268  -9999.00000  2.05301
13.1359  -9999.00000  2.09482
13.3483  -9999.00000  2.13767
13.5642  -9999.00000  2.18536
13.7836  -9999.00000  2.23764
14.0066  -9999.00000  2.27870
14.2331  -9999.00000  2.31081
14.4633  -9999.00000  2.34338
14.6973  -9999.00000  2.37891
14.9350  -9999.00000  2.42527
15.1765  -9999.00000  2.47216
15.4220  -9999.00000  2.51852
15.6714  -9999.00000  2.59353
15.9249  -9999.00000  2.68995
16.1825  -9999.00000  2.79448
16.4442  -9999.00000  2.90336
16.7102  -9999.00000  2.99912
16.9805  -9999.00000  3.10551
17.2551  -9999.00000  3.22366
17.5342  -9999.00000  3.35481
17.8178  -9999.00000  3.49128
18.1060  -9999.00000  3.65215
18.3989  -9999.00000  3.83446
18.6964  -9999.00000  4.04068
18.9988  -9999.00000  4.21067
19.3061  -9999.00000  4.30639
19.6184  -9999.00000  4.40787
19.9357  -9999.00000  4.47734
20.2582  -9999.00000  4.49755
20.5858  -9999.00000  4.51865
20.9188  -9999.00000  4.54062
21.2571  -9999.00000  4.56349
21.6009  -9999.00000  4.58333
21.9503  -9999.00000  4.59431
22.3053  -9999.00000  4.60584
22.6661  -9999.00000  4.61434
23.0327  -9999.00000  4.61599
23.4053  -9999.00000  4.61852
23.7838  -9999.00000  4.62195
24.1685  -9999.00000  4.61842
24.5594  -9999.00000  4.60941
24.9566  -9999.00000  4.60285
25.3603  -9999.00000  4.59670
25.7705  -9999.00000  4.59092
26.1873  -9999.00000  4.58552
26.6109  -9999.00000  4.58049
27.0413  -9999.00000  4.57679
27.4786  -9999.00000  4.58041
27.9231  -9999.00000  4.58423
28.3747  -9999.00000  4.58821
28.8337  -9999.00000  4.59205
29.3000  1.48761  4.59461
29.7739  1.46166  4.59738
30.2555  1.42482  4.63880
30.7449  1.39365  4.68308
31.2421  1.34957  4.72806
31.7475  1.28786  4.82030
32.2609  1.25546  4.93590
32.7827  1.23781  5.05845
33.3130  1.23071  5.18845
33.8518  1.23298  5.32639
34.3993  1.24447  5.47308
34.9557  1.26763  5.63078
35.5211  1.30629  5.79848
36.0956  1.36633  5.97689
36.6794  1.45178  6.13844
37.2727  1.54083  6.30455
37.8755  1.66301  6.45900
38.4882  1.77019  6.59865
39.1107  1.87770  6.74679
39.7432  1.99677  6.90388
40.3861  2.13797  7.07038
41.0393  2.30430  7.21268
41.7031  2.46432  7.34812
42.3776  2.63223  7.48982
