TbSi2
71.70
6.658
E     f1    f2
10.0000  -3332.12678  0.13783
10.1617  -3332.11266  0.14137
10.3261  -3332.09830  0.14501
10.4931  -3332.08372  0.14877
10.6628  -3332.06890  0.15265
10.8353  -3332.05383  0.15665
11.0106  -3332.03852  0.16078
11.1886  -3332.02298  0.16504
11.3696  -3332.00717  0.16944
11.5535  -3331.99111  0.17380
11.7404  -3331.97479  0.17822
11.9303  -3331.95821  0.18277
12.1232  -3331.94136  0.18746
12.3193  -3331.92424  0.19230
12.5186  -3331.90683  0.19719
12.7210  -3331.88916  0.20217
12.9268  -3331.87118  0.20729
13.1359  -3331.85292  0.21257
13.3483  -3331.83438  0.21799
13.5642  -3331.81552  0.22358
13.7836  -3331.79636  0.22916
14.0066  -3331.77689  0.23456
14.2331  -3331.75711  0.24010
14.4633  -3331.73700  0.24579
14.6973  -3331.71657  0.25162
14.9350  -3331.69581  0.25760
15.1765  -3331.67472  0.26361
15.4220  -3331.65328  0.26959
15.6714  -3331.63150  0.27573
15.9249  -3331.60936  0.28201
16.1825  -3331.58687  0.28845
16.4442  -3331.56401  0.29505
16.7102  -3331.54079  0.30192
16.9805  -3331.51718  0.30908
17.2551  -3331.49320  0.31642
17.5342  -3331.46883  0.32395
17.8178  -3331.44406  0.33168
18.1060  -3331.41889  0.33961
18.3989  -3331.39331  0.34774
18.6964  -3331.36733  0.35586
18.9988  -3331.34092  0.36359
19.3061  -3331.31409  0.37151
19.6184  -3331.28682  0.37960
19.9357  -3331.25911  0.38789
20.2582  -3331.23094  0.39636
20.5858  -3331.20233  0.40502
20.9188  -3331.17325  0.41829
21.2571  -3331.14371  0.43869
21.6009  -3331.11369  0.46041
21.9503  -3331.08317  0.48355
22.3053  -3331.05217  0.51516
22.6661  -3331.02066  0.55969
23.0327  -3330.98865  0.60952
23.4053  -3330.95611  0.66699
23.7838  -3330.92306  0.73283
24.1685  -3330.88946  0.80932
24.5594  -3330.85532  0.90110
24.9566  -3330.82064  1.00806
25.3603  -3330.78538  1.13374
25.7705  -3330.74956  1.28272
26.1873  -3330.71316  1.45183
26.6109  -3330.67617  1.59416
27.0413  -3330.63858  1.75220
27.4786  -3330.60039  1.97989
27.9231  -3330.56158  2.24183
28.3747  -3330.52214  2.44054
28.8337  -3330.48205  2.64557
29.3000  2.77593  2.86978
29.7739  2.85677  3.12255
30.2555  3.04304  3.34426
30.7449  3.20161  3.47126
31.2421  3.34558  3.60341
31.7475  3.51648  3.72455
32.2609  3.68375  3.81259
32.7827  3.86980  3.90276
33.3130  4.06915  3.91285
33.8518  4.22091  3.90684
34.3993  4.34974  3.90086
34.9557  4.46799  3.89397
35.5211  4.57700  3.88564
36.0956  4.68002  3.87737
36.6794  4.78083  3.86917
37.2727  4.88711  3.85193
37.8755  4.97825  3.82068
38.4882  5.05868  3.78980
39.1107  5.13249  3.75888
39.7432  5.19959  3.72523
40.3861  5.25905  3.69079
41.0393  5.31001  3.65670
41.7031  5.35145  3.62744
42.3776  5.39298  3.60258
43.0630  5.43228  3.57793
43.7595  5.46726  3.55350
44.4673  5.49578  3.53279
45.1865  5.52525  3.51569
45.9174  5.55346  3.49869
46.6600  5.57720  3.48140
47.4147  5.59571  3.47299
48.1816  5.62008  3.46880
48.9609  5.64827  3.46463
49.7528  5.68135  3.45977
50.5576  5.71274  3.44291
51.3753  5.73843  3.42615
52.2062  5.75973  3.40948
53.0506  5.77803  3.39345
53.9087  5.79427  3.37887
54.7806  5.80887  3.36441
55.6667  5.82149  3.35006
56.5670  5.83221  3.33582
57.4820  5.84112  3.32170
58.4117  5.84877  3.30614
59.3564  5.85029  3.28878
60.3165  5.84877  3.27600
61.2921  5.84611  3.26406
62.2834  5.84170  3.25244
63.2908  5.83519  3.24112
64.3145  5.82662  3.23012
65.3547  5.81753  3.21904
66.4118  5.80261  3.20276
67.4859  5.77767  3.18667
68.5775  5.74917  3.18485
69.6867  5.72663  3.18537
70.8138  5.70710  3.18006
71.9591  5.68099  3.16859
73.1230  5.64852  3.15734
74.3057  5.61259  3.14632
75.5076  5.57298  3.12972
76.7289  5.51869  3.11141
77.9699  5.45357  3.09661
79.2310  5.37913  3.08295
80.5125  5.29509  3.08224
81.8147  5.20786  3.08156
83.1380  5.11130  3.08093
84.4827  4.99545  3.08096
85.8491  4.87120  3.10151
87.2377  4.74447  3.12221
88.6487  4.60531  3.14309
90.0825  4.44861  3.16412
91.5395  4.26707  3.18628
93.0201  4.05228  3.21061
94.5246  3.78689  3.23523
96.0535  3.44077  3.26985
97.6071  2.92683  3.30495
99.1858  1.74388  3.34051
100.7900  2.47847  5.94232
102.4200  3.24145  5.68485
104.0770  3.14153  5.47795
105.7600  2.96611  5.72866
107.4710  2.93429  6.07084
109.2090  2.93446  6.31590
110.9750  2.93289  6.59320
112.7700  2.95059  6.87497
114.5940  2.88641  7.14818
116.4480  2.91493  7.64320
118.3310  3.19051  8.07293
120.2450  3.51482  8.28649
122.1900  3.77293  8.45941
124.1660  3.98053  8.49115
126.1750  4.07407  8.52221
128.2150  4.09946  8.59587
130.2890  4.12935  8.72877
132.3970  4.30113  8.79878
134.5380  4.44773  8.58274
136.7140  4.10611  8.08142
138.9250  3.31277  7.86981
141.1720  2.11444  7.82774
143.4560  -0.01214  7.89490
145.7760  -3.37140  10.63463
148.1340  -4.46789  17.65083
150.5300  2.53948  22.02447
152.9640  7.51887  20.89487
155.4390  10.17734  18.53251
157.9530  10.81601  16.54547
160.5070  10.63799  15.44100
163.1030  10.71122  15.23727
165.7420  11.08758  15.07823
168.4220  11.63145  14.89963
171.1460  12.25215  14.59223
173.9150  12.71834  14.00377
176.7270  12.89718  13.44410
179.5860  12.92445  13.09522
182.4910  13.04201  12.93793
185.4420  13.22837  12.74355
188.4420  13.40481  12.55225
191.4890  13.56499  12.35660
194.5870  13.71703  12.19231
197.7340  13.86892  12.03339
200.9320  14.01369  11.87667
204.1820  14.14268  11.73759
207.4850  14.28170  11.61621
210.8400  14.42412  11.49617
214.2510  14.56802  11.37717
217.7160  14.70941  11.25602
221.2370  14.84954  11.13580
224.8160  14.96313  10.98426
228.4520  15.04550  10.88884
232.1470  15.14897  10.82059
235.9020  15.27513  10.75330
239.7170  15.41727  10.68699
243.5950  15.57003  10.59514
247.5350  15.71340  10.49352
251.5380  15.84437  10.38345
255.6070  15.96493  10.27244
259.7410  16.07510  10.16442
263.9420  16.17707  10.05781
268.2110  16.26513  9.95255
272.5490  16.33393  9.86713
276.9570  16.41823  9.80639
281.4370  16.51247  9.74685
285.9890  16.61227  9.68849
290.6150  16.71687  9.63129
295.3150  16.83133  9.57527
300.0920  16.95293  9.50639
304.9450  17.06530  9.42560
309.8780  17.17010  9.34612
314.8900  17.27067  9.26790
319.9830  17.36793  9.19094
325.1580  17.46193  9.11517
330.4180  17.55093  9.04062
335.7620  17.63817  8.97577
341.1920  17.72873  8.91405
346.7110  17.82227  8.85346
352.3190  17.91800  8.79398
358.0170  18.01843  8.73560
363.8080  18.12670  8.67503
369.6920  18.23670  8.59799
375.6720  18.33480  8.51662
381.7480  18.42730  8.43689
387.9220  18.51663  8.35883
394.1970  18.60440  8.28241
400.5730  18.69430  8.20591
407.0520  18.77920  8.12337
413.6350  18.85923  8.04239
420.3260  18.93603  7.96290
427.1240  19.01027  7.88488
434.0320  19.08247  7.80832
441.0520  19.15283  7.73316
448.1860  19.22090  7.65937
455.4350  19.28900  7.58875
462.8020  19.35770  7.51947
470.2870  19.42610  7.44730
477.8940  19.49230  7.37659
485.6230  19.55780  7.30727
493.4780  19.62613  7.23937
501.4590  19.69300  7.16553
509.5700  19.75587  7.09233
517.8120  19.81687  7.02049
526.1870  19.87903  6.94994
534.6980  19.93967  6.87561
543.3460  19.99683  6.80184
552.1340  20.05233  6.72936
561.0650  20.10707  6.65813
570.1390  20.16197  6.58813
579.3610  20.22003  6.51936
588.7320  20.28647  6.44974
598.2540  20.34883  6.35676
607.9300  20.39930  6.26231
617.7630  20.44030  6.16955
627.7550  20.47567  6.07847
637.9080  20.50617  5.98903
648.2260  20.53240  5.90120
658.7110  20.55477  5.81491
669.3650  20.57337  5.73015
680.1910  20.58920  5.64665
691.1930  20.60047  5.56328
702.3720  20.60693  5.48322
713.7330  20.61113  5.40611
725.2770  20.61333  5.33022
737.0080  20.61303  5.25555
748.9280  20.61023  5.18206
761.0420  20.60597  5.10979
773.3510  20.59860  5.03517
785.8590  20.58670  4.96077
798.5700  20.57140  4.88714
811.4860  20.55090  4.81195
824.6110  20.52407  4.73817
837.9490  20.49230  4.66561
851.5020  20.45553  4.59371
865.2740  20.41313  4.52234
879.2690  20.36413  4.45155
893.4910  20.30960  4.38203
907.9430  20.24827  4.31209
922.6280  20.17867  4.24185
937.5510  20.09920  4.17077
952.7150  20.00900  4.10051
968.1240  19.90657  4.03110
983.7830  19.79133  3.96314
999.6950  19.66200  3.89610
1015.8600  19.51693  3.82990
1032.2900  19.35147  3.76217
1048.9900  19.16197  3.69572
1065.9600  18.94403  3.63058
1083.2000  18.69143  3.56669
1100.7200  18.39503  3.50520
1118.5200  18.04493  3.44628
1136.6100  17.62197  3.38848
1155.0000  17.09473  3.33169
1173.6800  16.40793  3.27588
1192.6600  15.44867  3.22110
1211.9500  13.91923  3.16725
1231.5500  10.38164  3.11431
1241.0000  -4.78725  3.08950
1241.2000  -4.77834  13.68250
1251.4700  11.03567  13.51988
1271.7200  14.89413  13.20906
1292.2900  16.76673  12.90536
1313.1900  18.01787  12.60859
1334.4300  18.95227  12.31858
1356.0100  19.69007  12.03524
1377.9400  20.29090  11.75841
1400.2300  20.78887  11.48791
1422.8800  21.20447  11.22365
1445.8900  21.55067  10.96550
1469.2800  21.83520  10.71321
1493.0400  22.06123  10.46667
1517.1900  22.22697  10.22545
1541.7300  22.32250  9.98977
1566.6700  22.31910  9.75956
1592.0100  22.06610  9.53456
1611.2000  19.79953  9.36994
1611.4000  19.80619  10.90477
1617.7600  21.73207  10.84561
1643.9200  22.62587  10.60802
1670.5100  22.98463  10.37565
1697.5300  23.18077  10.14845
1724.9900  23.24797  9.92635
1752.8900  23.07850  9.70881
1767.6000  22.13130  9.59738
1767.8000  22.13582  10.26862
1781.2400  23.05970  10.16005
1810.0500  23.00691  9.93380
1839.3200  19.98220  12.23911
1869.0700  23.71604  11.96908
1899.3000  24.50647  11.70517
1930.0200  25.00780  11.44682
1961.2400  25.25173  11.19415
1967.4000  24.85103  11.14561
1967.6000  24.85339  11.50459
1992.9600  25.78883  11.31125
2025.2000  26.21580  11.07539
2057.9500  26.56430  10.83667
2091.2400  26.86527  10.60151
2125.0600  27.13257  10.37020
2159.4300  27.37343  10.14265
2194.3600  27.59223  9.91883
2229.8500  27.79230  9.69885
2265.9200  27.97583  9.48267
2302.5700  28.14497  9.27039
2339.8100  28.30097  9.06178
2377.6600  28.44517  8.85689
2416.1100  28.57847  8.65576
2455.1900  28.70187  8.45859
2494.9000  28.81617  8.26509
2535.2600  28.92220  8.07531
2576.2600  29.02030  7.88919
2617.9300  29.11123  7.70683
2660.2700  29.19530  7.52795
2703.3000  29.27300  7.35276
2747.0300  29.34497  7.18127
2791.4600  29.41127  7.01299
2836.6100  29.47230  6.84845
2882.4900  29.52850  6.68727
2929.1100  29.58003  6.52937
2976.4800  29.62723  6.37491
3024.6300  29.67017  6.22356
3073.5500  29.70930  6.07576
3123.2600  29.74487  5.93088
3173.7800  29.77683  5.78907
3225.1100  29.80533  5.65061
3277.2700  29.83093  5.51531
3330.2800  29.85353  5.38257
3384.1500  29.87317  5.25306
3438.8800  29.89030  5.12641
3494.5000  29.90487  5.00254
3551.0200  29.91690  4.88148
3608.4600  29.92667  4.76311
3666.8200  29.93420  4.64745
3726.1300  29.93967  4.53446
3786.4000  29.94313  4.42403
3847.6400  29.94457  4.31613
3909.8700  29.94417  4.21069
3973.1100  29.94207  4.10773
4037.3800  29.93817  4.00709
4102.6800  29.93263  3.90883
4169.0300  29.92543  3.81282
4236.4600  29.91667  3.71911
4304.9800  29.90647  3.62752
4374.6200  29.89463  3.53810
4445.3700  29.88143  3.45080
4517.2700  29.86670  3.36554
4590.3300  29.85060  3.28229
4664.5800  29.83303  3.20096
4740.0300  29.81400  3.12158
4816.6900  29.79357  3.04412
4894.6000  29.77160  2.96847
4973.7700  29.74820  2.89464
5054.2100  29.72327  2.82254
5135.9600  29.69673  2.75214
5219.0300  29.66853  2.68342
5303.4400  29.63857  2.61639
5389.2200  29.60683  2.55089
5476.3900  29.57307  2.48696
5564.9700  29.53717  2.42461
5654.9800  29.49903  2.36373
5746.4400  29.45840  2.30431
5839.3900  29.41497  2.24631
5933.8300  29.36843  2.18969
6029.8100  29.31843  2.13448
6127.3300  29.26447  2.08054
6226.4400  29.20587  2.02788
6327.1500  29.14193  1.97653
6429.4800  29.07157  1.92636
6533.4800  28.99357  1.87746
6639.1500  28.90597  1.82971
6746.5400  28.80627  1.78304
6855.6500  28.69060  1.73756
6966.5400  28.55303  1.69318
7079.2200  28.38337  1.64978
7193.7200  28.16163  1.60751
7310.0700  27.84017  1.56617
7428.3100  27.23650  1.52594
7513.9000  22.61989  1.49789
7514.1000  22.62005  3.64750
7548.4500  26.62070  3.62213
7670.5400  27.62950  3.53443
7794.6100  27.96820  3.44892
7920.6800  28.12257  3.36542
8048.7900  28.14290  3.28401
8178.9800  27.92747  3.20455
8251.5000  25.57046  3.16169
8251.7000  25.57126  4.34362
8311.2600  28.00160  4.28422
8445.6900  28.52553  4.15477
8582.2900  28.72257  4.02923
8707.9000  27.77113  3.91888
8708.1000  27.77136  4.42641
8721.1100  28.57700  4.41673
8862.1600  29.15180  4.31427
9005.5000  29.41023  4.21377
9151.1600  29.60747  4.11481
9299.1700  29.77197  4.01750
9449.5800  29.91563  3.92191
9602.4200  30.04747  3.82800
9757.7300  30.18867  3.73570
9915.5500  30.25767  3.64535
10075.9000  30.30753  3.55646
10238.9000  30.37763  3.46931
10404.5000  30.44000  3.38382
10572.8000  30.49747  3.30001
10743.8000  30.55033  3.21789
10917.6000  30.59883  3.13743
11094.2000  30.64337  3.05863
11273.6000  30.68417  2.98147
11455.9000  30.72153  2.90594
11641.2000  30.75570  2.83203
11829.5000  30.78687  2.75971
12020.8000  30.81537  2.68897
12215.3000  30.84123  2.61979
12412.8000  30.86477  2.55216
12613.6000  30.88610  2.48604
12817.6000  30.90540  2.42143
13025.0000  30.92277  2.35830
13235.6000  30.93830  2.29662
13449.7000  30.95220  2.23638
13667.2000  30.96453  2.17755
13888.3000  30.97540  2.12011
14112.9000  30.98487  2.06403
14341.2000  30.99313  2.00930
14573.1000  31.00017  1.95588
14808.9000  31.00607  1.90376
15048.4000  31.01097  1.85291
15291.8000  31.01480  1.80331
15539.1000  31.01780  1.75493
15790.4000  31.01993  1.70774
16045.8000  31.02123  1.66174
16305.4000  31.02177  1.61688
16569.1000  31.02163  1.57316
16837.1000  31.02080  1.53053
17109.4000  31.01943  1.48899
17386.1000  31.01743  1.44851
17667.4000  31.01487  1.40906
17953.1000  31.01187  1.37063
18243.5000  31.00837  1.33318
18538.6000  31.00443  1.29671
18838.4000  31.00007  1.26118
19143.1000  30.99537  1.22658
19452.7000  30.99030  1.19289
19767.4000  30.98490  1.16007
20087.1000  30.97913  1.12813
20412.0000  30.97313  1.09702
20742.1000  30.96690  1.06674
21077.6000  30.96040  1.03726
21418.5000  30.95360  1.00857
21765.0000  30.94667  0.98065
22117.0000  30.93953  0.95347
22474.7000  30.93223  0.92703
22838.2000  30.92470  0.90129
23207.6000  30.91700  0.87625
23583.0000  30.90917  0.85189
23964.4000  30.90123  0.82819
24352.0000  30.89310  0.80513
24745.9000  30.88487  0.78270
25146.2000  30.87660  0.76088
25552.9000  30.86817  0.73965
25966.2000  30.85960  0.71901
26386.1000  30.85093  0.69893
26812.9000  30.84220  0.67940
27246.6000  30.83333  0.66041
27687.3000  30.82440  0.64194
28135.1000  30.81537  0.62398
28590.2000  30.80627  0.60651
29052.6000  30.79700  0.58953
29522.5000  30.78793  0.57302
30000.0000  30.77823  0.55697
