TiB2
23.15
4.45
E     f1    f2
10.0000  -9999.00000  1.78744
10.1617  -9999.00000  1.77878
10.3261  -9999.00000  1.77016
10.4931  -9999.00000  1.76159
10.6628  -9999.00000  1.75306
10.8353  -9999.00000  1.74458
11.0106  -9999.00000  1.73614
11.1886  -9999.00000  1.72890
11.3696  -9999.00000  1.72317
11.5535  -9999.00000  1.71746
11.7404  -9999.00000  1.71179
11.9303  -9999.00000  1.70616
12.1232  -9999.00000  1.70055
12.3193  -9999.00000  1.69498
12.5186  -9999.00000  1.68943
12.7210  -9999.00000  1.68392
12.9268  -9999.00000  1.67843
13.1359  -9999.00000  1.67297
13.3483  -9999.00000  1.66754
13.5642  -9999.00000  1.66316
13.7836  -9999.00000  1.65905
14.0066  -9999.00000  1.65497
14.2331  -9999.00000  1.65092
14.4633  -9999.00000  1.64690
14.6973  -9999.00000  1.64291
14.9350  -9999.00000  1.63895
15.1765  -9999.00000  1.63541
15.4220  -9999.00000  1.62938
15.6714  -9999.00000  1.62344
15.9249  -9999.00000  1.61757
16.1825  -9999.00000  1.61177
16.4442  -9999.00000  1.60840
16.7102  -9999.00000  1.60655
16.9805  -9999.00000  1.60480
17.2551  -9999.00000  1.60359
17.5342  -9999.00000  1.60991
17.8178  -9999.00000  1.61654
18.1060  -9999.00000  1.62345
18.3989  -9999.00000  1.63068
18.6964  -9999.00000  1.63966
18.9988  -9999.00000  1.65331
19.3061  -9999.00000  1.66751
19.6184  -9999.00000  1.68228
19.9357  -9999.00000  1.70799
20.2582  -9999.00000  1.74002
20.5858  -9999.00000  1.77364
20.9188  -9999.00000  1.81300
21.2571  -9999.00000  1.85732
21.6009  -9999.00000  1.90405
21.9503  -9999.00000  1.95330
22.3053  -9999.00000  2.00518
22.6661  -9999.00000  2.05980
23.0327  -9999.00000  2.09435
23.4053  -9999.00000  2.12421
23.7838  -9999.00000  2.15513
24.1685  -9999.00000  2.18714
24.5594  -9999.00000  2.22015
24.9566  -9999.00000  2.25420
25.3603  -9999.00000  2.27444
25.7705  -9999.00000  2.28125
26.1873  -9999.00000  2.28822
26.6109  -9999.00000  2.29532
27.0413  -9999.00000  2.30258
27.4786  -9999.00000  2.29212
27.9231  -9999.00000  2.26822
28.3747  -9999.00000  2.24458
28.8337  -9999.00000  2.22119
29.3000  2.56044  2.19804
29.7739  2.56065  2.17375
30.2555  2.54993  2.15006
30.7449  2.52509  2.12708
31.2421  2.47867  2.11904
31.7475  2.43263  2.13934
32.2609  2.39892  2.16005
32.7827  2.35884  2.18119
33.3130  2.30071  2.21307
33.8518  2.24519  2.27797
34.3993  2.20798  2.34576
34.9557  2.16985  2.41657
35.5211  2.12693  2.50181
36.0956  2.09239  2.60610
36.6794  2.07096  2.71646
37.2727  2.05382  2.83323
37.8755  2.03897  2.96545
38.4882  2.03775  3.11617
39.1107  2.05501  3.27675
39.7432  2.08861  3.44785
40.3861  2.14509  3.62980
41.0393  2.22360  3.81357
41.7031  2.32128  4.00721
42.3776  2.45004  4.21274
43.0630  2.65381  4.42465
43.7595  2.88685  4.55118
44.4673  3.11314  4.68208
45.1865  3.36448  4.77268
45.9174  3.60965  4.84330
46.6600  3.88503  4.91527
47.4147  4.17257  4.89581
48.1816  4.42732  4.87521
48.9609  4.69555  4.84420
49.7528  4.95975  4.77327
50.5576  5.25903  4.70292
51.3753  5.55765  4.50860
52.2062  5.74919  4.28138
53.0506  5.89412  4.06631
53.9087  6.00837  3.86274
54.7806  6.10266  3.67004
55.6667  6.17744  3.47400
56.5670  6.22936  3.28924
57.4820  6.26674  3.11508
58.4117  6.29565  2.95091
59.3564  6.31827  2.78314
60.3165  6.32121  2.61265
61.2921  6.30117  2.45356
62.2834  6.26329  2.30493
63.2908  6.21568  2.18556
64.3145  6.17123  2.07411
65.3547  6.12277  1.96895
66.4118  6.06853  1.86972
67.4859  5.99020  1.77607
68.5775  5.90707  1.72703
69.6867  5.85232  1.68770
70.8138  5.80353  1.64919
71.9591  5.75518  1.61136
73.1230  5.70688  1.58002
74.3057  5.65953  1.55434
75.5076  5.61622  1.53891
76.7289  5.58107  1.52365
77.9699  5.54592  1.50855
79.2310  5.51160  1.50180
80.5125  5.48379  1.49742
81.8147  5.46016  1.49295
83.1380  5.43865  1.48847
84.4827  5.41536  1.48406
85.8491  5.39328  1.48692
87.2377  5.37811  1.49114
88.6487  5.36601  1.49546
90.0825  5.35664  1.49988
91.5395  5.34972  1.50438
93.0201  5.34521  1.50892
94.5246  5.34309  1.51361
96.0535  5.34671  1.51844
97.6071  5.35304  1.51618
99.1858  5.35570  1.51106
100.7900  5.35725  1.50568
102.4200  5.35802  1.50007
104.0770  5.35837  1.49460
105.7600  5.35855  1.48921
107.4710  5.35873  1.48405
109.2090  5.36023  1.47935
110.9750  5.36355  1.47339
112.7700  5.36595  1.46158
114.5940  5.36481  1.44971
116.4480  5.36151  1.43750
118.3310  5.35604  1.42529
120.2450  5.34844  1.41322
122.1900  5.33864  1.40127
124.1660  5.32292  1.38946
126.1750  5.30488  1.38582
128.2150  5.29142  1.38388
130.2890  5.27826  1.38200
132.3970  5.26510  1.38019
134.5380  5.25151  1.37834
136.7140  5.23722  1.37652
138.9250  5.22228  1.37477
141.1720  5.20628  1.37185
143.4560  5.18797  1.36865
145.7760  5.16718  1.36553
148.1340  5.14394  1.36273
150.5300  5.11840  1.36010
152.9640  5.08980  1.35698
155.4390  5.05721  1.35361
157.9530  5.01992  1.35011
160.5070  4.97960  1.34671
163.1030  4.93204  1.33710
165.7420  4.86996  1.32711
168.4220  4.79422  1.31724
171.1460  4.70051  1.30768
173.9150  4.58247  1.29849
176.7270  4.42889  1.28972
179.5860  4.21761  1.28103
182.4910  3.89582  1.27293
185.4420  3.28345  1.26737
188.4420  1.83593  3.99068
191.4890  3.70429  3.93667
194.5870  4.30885  3.88359
197.7340  4.69425  3.83329
200.9320  4.98508  3.77981
204.1820  5.21808  3.72440
207.4850  5.41314  3.66985
210.8400  5.58433  3.61612
214.2510  5.73696  3.55578
217.7160  5.87106  3.49494
221.2370  5.98986  3.42955
224.8160  6.09331  3.36531
228.4520  6.18516  3.30231
232.1470  6.26709  3.24051
235.9020  6.33865  3.17991
239.7170  6.40258  3.12455
243.5950  6.46339  3.07085
247.5350  6.51934  3.01814
251.5380  6.57102  2.96643
255.6070  6.61909  2.91569
259.7410  6.66397  2.86420
263.9420  6.70414  2.81239
268.2110  6.73975  2.76156
272.5490  6.77209  2.71171
276.9570  6.80169  2.66162
281.4370  6.82740  2.61076
285.9890  6.84833  2.55996
290.6150  6.86488  2.51008
295.3150  6.87754  2.46123
300.0920  6.88647  2.41338
304.9450  6.89187  2.36651
309.8780  6.89367  2.32052
314.8900  6.89182  2.27524
319.9830  6.88613  2.23088
325.1580  6.87663  2.18743
330.4180  6.86316  2.14490
335.7620  6.84563  2.10324
341.1920  6.82387  2.06239
346.7110  6.79778  2.02242
352.3190  6.76783  1.98327
358.0170  6.73313  1.94077
363.8080  6.68911  1.89749
369.6920  6.63557  1.85517
375.6720  6.57233  1.81379
381.7480  6.49728  1.77335
387.9220  6.40869  1.73510
394.1970  6.30754  1.70218
400.5730  6.19115  1.66736
407.0520  6.05076  1.63228
413.6350  5.87980  1.59793
420.3260  5.66663  1.56437
427.1240  5.39101  1.53156
