U
238.0289 (A)
19.05 (g/cm3)
 (Energy (eV),f1,f2)    U(z=92)
       10.000000       -9999.0000        1.6270000
       10.161700       -9999.0000        1.6128200
       10.326100       -9999.0000        1.5987700
       10.493100       -9999.0000        1.5841600
       10.662800       -9999.0000        1.5654700
       10.835300       -9999.0000        1.5470000
       11.010600       -9999.0000        1.5287400
       11.188600       -9999.0000        1.5107000
       11.369600       -9999.0000        1.4928700
       11.553500       -9999.0000        1.4752600
       11.740400       -9999.0000        1.4587600
       11.930300       -9999.0000        1.4439400
       12.123200       -9999.0000        1.4292700
       12.319300       -9999.0000        1.4147500
       12.518600       -9999.0000        1.4003800
       12.721000       -9999.0000        1.3861500
       12.926800       -9999.0000        1.3720700
       13.135900       -9999.0000        1.3581400
       13.348300       -9999.0000        1.3443400
       13.564200       -9999.0000        1.3301100
       13.783600       -9999.0000        1.3155100
       14.006600       -9999.0000        1.3010700
       14.233100       -9999.0000        1.2867900
       14.463300       -9999.0000        1.2726700
       14.697300       -9999.0000        1.2587100
       14.935000       -9999.0000        1.2448900
       15.176500       -9999.0000        1.2322900
       15.422000       -9999.0000        1.2201300
       15.671400       -9999.0000        1.2080900
       15.924900       -9999.0000        1.1961700
       16.182500       -9999.0000        1.1843600
       16.444200       -9999.0000        1.1756700
       16.710200       -9999.0000        1.1785700
       16.980500       -9999.0000        1.1814700
       17.255100       -9999.0000        1.1973800
       17.534200       -9999.0000        1.2273400
       17.817800       -9999.0000        1.2635100
       18.106000       -9999.0000        1.3880200
       18.398900       -9999.0000        1.5448800
       18.696400       -9999.0000        1.7948300
       18.998800       -9999.0000        2.4597800
       19.306100       -9999.0000        3.5238100
       19.618400       -9999.0000        5.0481100
       19.935700       -9999.0000        6.0099000
       20.258200       -9999.0000        6.9378500
       20.585800       -9999.0000        7.4196900
       20.918800       -9999.0000        7.9350000
       21.257100       -9999.0000        8.3815000
       21.600900       -9999.0000        8.8060200
       21.950300       -9999.0000        9.2520400
       22.305300       -9999.0000        9.6615200
       22.666100       -9999.0000        9.9760700
       23.032700       -9999.0000        10.300900
       23.405300       -9999.0000        10.636200
       23.783800       -9999.0000        10.982500
       24.168500       -9999.0000        11.340100
       24.559400       -9999.0000        11.628600
       24.956600       -9999.0000        11.844800
       25.360300       -9999.0000        12.065100
       25.770500       -9999.0000        12.289400
       26.187300       -9999.0000        12.518000
       26.610900       -9999.0000        12.750700
       27.041300       -9999.0000        12.987800
       27.478600       -9999.0000        13.171200
       27.923100       -9999.0000        13.215700
       28.374700       -9999.0000        13.260300
       28.833700       -9999.0000        13.305100
       29.300000        10.575000        13.350000
       29.773900        10.881100        13.395100
       30.255500        11.180100        13.440300
       30.744900        11.470500        13.476100
       31.242100        11.750200        13.512000
       31.747500        12.022600        13.547900
       32.260900        12.289400        13.584000
       32.782700        12.552000        13.620100
       33.313000        12.811200        13.656400
       33.851800        13.068100        13.692700
       34.399300        13.323400        13.729100
       34.955700        13.578000        13.765400
       35.521100        13.832500        13.801800
       36.095600        14.087900        13.838300
       36.679400        14.345200        13.874900
       37.272700        14.605400        13.911600
       37.875500        14.869900        13.948300
       38.488200        15.140500        13.985200
       39.110700        15.419700        14.022200
       39.743200        15.711300        14.059200
       40.386100        16.022200        14.096400
       41.039300        16.379800        14.133700
       41.703100        16.794900        14.063500
       42.377600        17.127700        13.940200
       43.063000        17.418600        13.818000
       43.759500        17.690100        13.696900
       44.467300        17.947500        13.576800
       45.186500        18.195000        13.457800
       45.917400        18.436100        13.339800
       46.660000        18.677100        13.222900
       47.414700        18.931100        13.107000
       48.181600        19.185000        12.938100
       48.960900        19.401900        12.760000
       49.752800        19.599100        12.584400
       50.557600        19.782900        12.411100
       51.375300        19.957400        12.240200
       52.206200        20.125800        12.071700
       53.050600        20.292400        11.905500
       53.908700        20.464600        11.741600
       54.780600        20.667800        11.580000
       55.666700        20.888900        11.313000
       56.567000        21.030800        11.019500
       57.482000        21.124100        10.733700
       58.411700        21.189000        10.455200
       59.356400        21.230500        10.184100
       60.316500        21.252200        9.9198700
       61.292100        21.257000        9.6625500
       62.283400        21.248000        9.4119200
       63.290800        21.228500        9.1677800
       64.314500        21.209700        8.9299700
       65.354700        21.227400        8.6688600
       66.411800        21.181000        8.3355300
       67.485900        21.074900        8.0150000
       68.577500        20.933400        7.7068200
       69.686700        20.763500        7.4104700
       70.813800        20.572900        7.1255300
       71.959100        20.379400        6.8515300
       73.123000        20.161000        6.5231600
       74.305700        19.876800        6.1968000
       75.507600        19.550300        5.8867900
       76.728900        19.195400        5.5922800
       77.969900        18.849000        5.3125000
       79.231000        18.576500        4.8742800
       80.512500        18.044100        4.3276900
       81.814700        17.344000        3.8424000
       83.138000        16.511600        3.3590200
       84.482700        15.517200        2.9290000
       85.849100        14.342800        2.5783100
       87.237700        13.079800        2.3687600
       88.648700        11.682400        2.1762600
       90.082500        10.067000        2.0579000
       91.539500        8.2102300        1.9991400
       93.020100        5.9525900        1.9951500
       94.524600        2.9126100        2.1279000
       96.053500       -1.9781900        3.5163500
       97.607100       -7.0817500        8.0923400
       99.185800       -9.5830400        18.622900
       100.79000        3.0776200        24.681500
       102.42000        6.4303000        18.438900
       104.07700        4.1590000        13.775100
       105.76000       0.30171700        12.844800
       107.47100       -4.5717000        12.364100
       109.20900       -10.663900        12.339200
       110.97500       -22.317200        12.559200
       112.77000       -67.115200        85.149400
       114.59400       -32.142700        94.491100
       116.44800        3.3811800        95.968600
       118.33100        28.672900        87.097600
       120.24500        38.766800        73.840400
       122.19000        44.549000        65.777600
       124.16600        49.249700        58.518700
       126.17500        52.148900        51.320200
       128.21500        53.513300        45.007300
       130.28900        53.809400        39.471100
       132.39700        53.159500        34.615800
       134.53800        50.993300        31.195000
       136.71400        49.972200        29.617400
       138.92500        49.498500        28.119600
       141.17200        49.236000        26.697500
       143.45600        49.070800        25.347300
       145.77600        48.955500        24.065400
       148.13400        48.868300        22.848400
       150.53000        48.806500        21.692900
       152.96400        48.811100        20.552700
       155.43900        48.730500        19.363300
       157.95300        48.587300        18.242700
       160.50700        48.405700        17.187000
       163.10300        48.198600        16.192300
       165.74200        47.974800        15.255200
       168.42200        47.744600        14.372400
       171.14600        47.551100        13.540600
       173.91500        47.342200        12.631400
       176.72700        47.033200        11.746900
       179.58600        46.668600        10.924400
       182.49100        46.267800        10.159500
       185.44200        45.837800        9.4481000
       188.44200        45.381300        8.7865300
       191.48900        44.893800        8.1713100
       194.58700        44.319300        7.5991400
       197.73400        43.753300        7.2425500
       200.93200        43.289600        6.9360300
       204.18200        42.874400        6.6424900
       207.48500        42.487600        6.3613800
       210.84000        42.119800        6.0921500
       214.25100        41.765700        5.8343200
       217.71600        41.421100        5.5874000
       221.23700        41.082900        5.3509400
       224.81600        40.746400        5.1244800
       228.45200        40.412600        4.9160600
       232.14700        40.083600        4.7180200
       235.90200        39.754500        4.5279600
       239.71700        39.413900        4.3455600
       243.59500        39.066100        4.2061200
       247.53500        38.739100        4.0865100
       251.53800        38.426300        3.9703000
       255.60700        38.115200        3.8574000
       259.74100        37.794400        3.7477000
       263.94200        37.455900        3.6673100
       268.21100        37.143600        3.6189000
       272.54900        36.845600        3.5711300
       276.95700        36.552100        3.5240000
       281.43700        36.257100        3.4774900
       285.98900        35.938400        3.4315900
       290.61500        35.622100        3.4367800
       295.31500        35.329600        3.4498100
       300.09200        35.046800        3.4629000
       304.94500        34.767400        3.4760200
       309.87800        34.487000        3.4892000
       314.89000        34.199100        3.5024300
       319.98300        33.892800        3.5280700
       325.15800        33.596900        3.5773200
       330.41800        33.305600        3.6272500
       335.76200        33.011800        3.6778800
       341.19200        32.711000        3.7292200
       346.71100        32.398100        3.7812700
       352.31900        32.061700        3.8340500
       358.01700        31.686700        3.9249400
       363.80800        31.326200        4.0550800
       369.69200        30.977900        4.1895500
       375.67200        30.623500        4.3284700
       381.74800        30.255600        4.4719900
       387.92200        29.861000        4.6202800
       394.19700        29.418400        4.8139500
       400.57300        28.986900        5.0597300
       407.05200        28.563200        5.3180600
       413.63500        28.123700        5.5895800
       420.32600        27.606000        5.8749600
       427.12400        27.075600        6.3116200
       434.03200        26.600000        6.8120700
       441.05200        26.158600        7.3521800
       448.18600        25.743600        7.9351300
       455.43500        25.359100        8.5608300
       462.80200        25.001300        9.2303200
       470.28700        24.682900        9.9521500
       477.89400        24.424200        10.707600
       485.62300        24.198000        11.489900
       493.47800        24.014400        12.329300
       501.45900        23.934600        13.230100
       509.57000        23.938100        14.053600
       517.81200        23.946800        14.877200
       526.18700        23.972300        15.749100
       534.69800        24.061500        16.672100
       543.34600        24.282400        17.620600
       552.13400        24.566800        18.545700
       561.06500        24.986300        19.519400
       570.13900        25.601400        20.387500
       579.36100        26.241600        21.115400
       588.73200        27.139900        21.846500
       598.25400        27.927400        21.964000
       607.93000        28.505000        22.082000
       617.76300        29.106700        22.142900
       627.75500        29.433900        21.938500
       637.90800        29.366000        21.888800
       648.22600        29.226400        22.033000
       658.71100        29.021600        22.322800
       669.36500        28.838800        22.745300
       680.19100        28.571900        23.175900
       691.19300        28.180000        23.870200
       702.37200        27.980200        24.854300
       713.73300        27.921900        25.881900
       725.27700        27.982800        26.999200
       737.00800        28.162500        28.164700
       748.92800        28.488500        29.377200
       761.04200        28.916400        30.578800
       773.35100        29.441700        31.829600
       785.85900        30.118700        33.131500
       798.57000        30.995600        34.394500
       811.48600        31.979400        35.606800
       824.61100        33.108300        36.861900
       837.94900        34.653200        38.161200
       851.50200        36.282700        38.794000
       865.27400        37.803100        39.370200
       879.26900        39.416600        39.954900
       893.49100        41.172400        40.250100
       907.94300        42.728600        40.245300
       922.62800        44.187900        40.240500
       937.55100        45.567200        40.091700
       952.71500        46.814800        39.910700
       968.12400        47.882400        39.900100
       983.78300        49.200800        40.157600
       999.69500        51.049300        40.416700
       1015.8600        54.998300        40.677400
       1032.2900        54.733000        36.078000
       1048.9900        53.784000        35.836600
       1065.9600        54.313600        35.777300
       1083.2000        54.935000        35.476800
       1100.7200        55.519800        35.163300
       1118.5200        56.104400        34.852600
       1136.6100        56.686700        34.544600
       1155.0000        57.265000        34.239400
       1173.6800        57.838400        33.936900
       1192.6600        58.406800        33.637000
       1211.9500        58.971300        33.339800
       1231.5500        59.533400        33.045100
       1251.4700        60.095900        32.753200
       1271.7200        60.663600        32.463700
       1292.2900        61.246300        32.176900
       1313.1900        61.889700        31.892500
       1334.4300        62.524100        31.458900
       1356.0100        63.087500        30.998100
       1377.9400        63.590200        30.544000
       1400.2300        64.061000        30.096600
       1422.8800        64.505800        29.655800
       1445.8900        64.928900        29.221500
       1469.2800        65.333400        28.793500
       1493.0400        65.721800        28.371700
       1517.1900        66.096600        27.956200
       1541.7300        66.460100        27.546700
       1566.6700        66.814900        27.143200
       1592.0100        67.164700        26.745600
       1617.7600        67.516300        26.353900
       1643.9200        67.897100        25.967900
       1670.5100        68.273800        25.496200
       1697.5300        68.597100        25.000500
       1724.9900        68.869200        24.514300
       1752.8900        69.113400        24.037600
       1781.2400        69.333800        23.570200
       1810.0500        69.533400        23.111900
       1839.3200        69.714300        22.662500
       1869.0700        69.878100        22.221800
       1899.3000        70.026000        21.789700
       1930.0200        70.159000        21.366000
       1961.2400        70.277900        20.950500
       1992.9600        70.383400        20.543100
       2025.2000        70.476200        20.143700
       2057.9500        70.556700        19.752000
       2091.2400        70.625400        19.367900
       2125.0600        70.682800        18.991200
       2159.4300        70.729300        18.622000
       2194.3600        70.765700        18.259800
       2229.8500        70.793000        17.904800
       2265.9200        70.815000        17.556600
       2302.5700        70.831900        17.201100
       2339.8100        70.828600        16.839300
       2377.6600        70.801200        16.485100
       2416.1100        70.757000        16.138300
       2455.1900        70.696200        15.798900
       2494.9000        70.619100        15.466600
       2535.2600        70.525400        15.141200
       2576.2600        70.414600        14.822700
       2617.9300        70.285900        14.510900
       2660.2700        70.138300        14.205700
       2703.3000        69.970600        13.906900
       2747.0300        69.781100        13.614400
       2791.4600        69.567800        13.328000
       2836.6100        69.328200        13.047600
       2882.4900        69.059200        12.773200
       2929.1100        68.756900        12.504500
       2976.4800        68.413000        12.241500
       3024.6300        68.025700        11.990600
       3073.5500        67.592000        11.747300
       3123.2600        67.098800        11.508800
       3173.7800        66.545600        11.275200
       3225.1100        65.904500        11.018800
       3277.2700        65.095600        10.718500
       3330.2800        64.054000        10.426400
       3384.1500        62.681800        10.142300
       3438.8800        60.737700        9.8659700
       3494.5000        57.457400        9.5971100
       3551.0200        36.848100        9.3356200
       3551.6000        27.984100        9.3329900
       3551.8000        27.991100        23.917600
       3608.4600        57.076400        22.850300
       3666.8200        58.776700        21.816800
       3726.1300        51.940400        21.120900
       3727.5000        45.843400        21.105200
       3727.7000        45.846100        28.260300
       3786.4000        61.451700        27.854700
       3847.6400        63.977400        27.444300
       3909.8700        65.581100        27.039800
       3973.1100        66.748300        26.748500
       4037.3800        67.737400        26.546200
       4102.6800        68.614200        26.329400
       4169.0300        69.250600        25.946100
       4236.4600        69.809100        25.568500
       4303.3000        62.681300        25.205300
       4303.5000        62.690500        29.172600
       4304.9800        65.891300        29.160000
       4374.6200        71.377300        28.577000
       4445.3700        72.992400        28.005700
       4517.2700        74.169700        27.445700
       4590.3300        75.132700        26.866900
       4664.5800        75.909200        26.262900
       4740.0300        76.481000        25.715000
       4816.6900        76.983200        25.303500
       4894.6000        77.493200        24.898600
       4973.7700        77.942900        24.500100
       5054.2100        78.312900        24.108100
       5135.9600        78.572400        23.722300
       5182.1000        76.889700        23.509900
       5182.3000        76.895100        24.613100
       5219.0300        78.944300        24.416100
       5303.4400        79.835100        23.974400
       5389.2200        80.462600        23.540700
       5476.3900        80.999800        23.114800
       5564.9700        81.487800        22.696600
       5654.9800        81.955700        22.286100
       5746.4400        82.400500        21.828300
       5839.3900        82.786100        21.360800
       5933.8300        83.122700        20.903200
       6029.8100        83.425600        20.455500
       6127.3300        83.697800        20.017400
       6226.4400        83.941700        19.588700
       6327.1500        84.136600        19.169100
       6429.4800        84.305900        18.806400
       6533.4800        84.494700        18.472900
       6639.1500        84.687100        18.145300
       6746.5400        84.878200        17.823600
       6855.6500        85.066900        17.507500
       6966.5400        85.253600        17.197100
       7079.2200        85.439400        16.892100
       7193.7200        85.626800        16.592500
       7310.0700        85.818500        16.298300
       7428.3100        86.052500        16.009300
       7548.4500        86.305000        15.652200
       7670.5400        86.494600        15.227200
       7794.6100        86.626000        14.813800
       7920.6800        86.721100        14.411700
       8048.7900        86.784300        14.020400
       8178.9800        86.794400        13.643300
       8311.2600        86.789600        13.349100
       8445.6900        86.822500        13.061300
       8582.2900        86.854100        12.779700
       8721.1100        86.906600        12.504100
       8862.1600        86.960300        12.188200
       9005.5000        86.952500        11.828800
       9151.1600        86.862200        11.479900
