U2N3
10.16
11.373
E     f1    f2
10.6628  -9999.00000  1.06192
10.8353  -9999.00000  1.06211
11.0106  -9999.00000  1.06251
11.1886  -9999.00000  1.06378
11.3696  -9999.00000  1.06876
11.5535  -9999.00000  1.07415
11.7404  -9999.00000  1.08031
11.9303  -9999.00000  1.08748
12.1232  -9999.00000  1.09505
12.3193  -9999.00000  1.10303
12.5186  -9999.00000  1.11172
12.7210  -9999.00000  1.12723
12.9268  -9999.00000  1.14362
13.1359  -9999.00000  1.16091
13.3483  -9999.00000  1.17914
13.5642  -9999.00000  1.19811
13.7836  -9999.00000  1.21788
14.0066  -9999.00000  1.25502
14.2331  -9999.00000  1.29726
14.4633  -9999.00000  1.34270
14.6973  -9999.00000  1.39153
14.9350  -9999.00000  1.44398
15.1765  -9999.00000  1.50485
15.4220  -9999.00000  1.57180
15.6714  -9999.00000  1.64391
15.9249  -9999.00000  1.72152
16.1825  -9999.00000  1.80502
16.4442  -9999.00000  1.89603
16.7102  -9999.00000  1.99838
16.9805  -9999.00000  2.08113
17.2551  -9999.00000  2.17122
17.5342  -9999.00000  2.27128
17.8178  -9999.00000  2.37842
18.1060  -9999.00000  2.52571
18.3989  -9999.00000  2.69102
18.6964  -9999.00000  2.89890
18.9988  -9999.00000  3.25909
19.3061  -9999.00000  3.77394
19.6184  -9999.00000  4.47640
19.9357  -9999.00000  4.95749
20.2582  -9999.00000  5.42883
20.5858  -9999.00000  5.69303
20.9188  -9999.00000  5.94703
21.2571  -9999.00000  6.17435
21.6009  -9999.00000  6.39373
21.9503  -9999.00000  6.62259
22.3053  -9999.00000  6.81850
22.6661  -9999.00000  6.95897
23.0327  -9999.00000  7.10363
23.4053  -9999.00000  7.25255
23.7838  -9999.00000  7.40594
24.1685  -9999.00000  7.54887
24.5594  -9999.00000  7.64673
24.9566  -9999.00000  7.71577
25.3603  -9999.00000  7.78656
25.7705  -9999.00000  7.85904
26.1873  -9999.00000  7.93335
26.6109  -9999.00000  8.00940
27.0413  -9999.00000  8.08730
27.4786  -9999.00000  8.13199
27.9231  -9999.00000  8.10440
28.3747  -9999.00000  8.07757
28.8337  -9999.00000  8.05152
29.3000  6.08802  8.02621
29.7739  6.26388  8.00166
30.2555  6.43321  7.97783
30.7449  6.59573  7.95091
31.2421  6.75084  7.92468
31.7475  6.90002  7.89909
32.2609  7.04289  7.87422
32.7827  7.18082  7.85231
33.3130  7.31692  7.83390
33.8518  7.45184  7.81594
34.3993  7.58501  7.79847
34.9557  7.71652  7.78139
35.5211  7.84631  7.76479
36.0956  7.97416  7.74865
36.6794  8.09865  7.73298
37.2727  8.20959  7.73152
37.8755  8.36460  7.74022
38.4882  8.50846  7.72523
39.1107  8.65117  7.71068
39.7432  8.79650  7.69654
40.3861  8.94795  7.68287
41.0393  9.11684  7.66964
41.7031  9.30767  7.61380
42.3776  9.46469  7.53710
43.0630  9.60415  7.46122
43.7595  9.73517  7.38614
44.4673  9.85999  7.31184
45.1865  9.98040  7.23834
45.9174  10.09918  7.16559
46.6600  10.21768  7.09086
47.4147  10.33857  7.01545
48.1816  10.45746  6.91931
48.9609  10.55995  6.81995
49.7528  10.65299  6.72205
50.5576  10.73894  6.62550
51.3753  10.81899  6.53037
52.2062  10.89278  6.43661
53.0506  10.95420  6.34421
53.9087  11.03213  6.29169
54.7806  11.14443  6.21061
55.6667  11.24982  6.08402
