U4O9
113.57
11.3
E     f1    f2
10.0000  -9999.00000  1.09969
10.1617  -9999.00000  1.09993
10.3261  -9999.00000  1.10035
10.4931  -9999.00000  1.10063
10.6628  -9999.00000  1.09922
10.8353  -9999.00000  1.09803
11.0106  -9999.00000  1.09705
11.1886  -9999.00000  1.09689
11.3696  -9999.00000  1.10018
11.5535  -9999.00000  1.10386
11.7404  -9999.00000  1.10834
11.9303  -9999.00000  1.11388
12.1232  -9999.00000  1.11980
12.3193  -9999.00000  1.12612
12.5186  -9999.00000  1.13310
12.7210  -9999.00000  1.14641
12.9268  -9999.00000  1.16054
13.1359  -9999.00000  1.17552
13.3483  -9999.00000  1.19138
13.5642  -9999.00000  1.20789
13.7836  -9999.00000  1.22511
14.0066  -9999.00000  1.25843
14.2331  -9999.00000  1.29648
14.4633  -9999.00000  1.33751
14.6973  -9999.00000  1.38169
14.9350  -9999.00000  1.42923
15.1765  -9999.00000  1.48466
15.4220  -9999.00000  1.54575
15.6714  -9999.00000  1.61163
15.9249  -9999.00000  1.68261
16.1825  -9999.00000  1.75905
16.4442  -9999.00000  1.84268
16.7102  -9999.00000  1.93766
16.9805  -9999.00000  2.01450
17.2551  -9999.00000  2.09909
17.5342  -9999.00000  2.19396
17.8178  -9999.00000  2.29584
18.1060  -9999.00000  2.44145
18.3989  -9999.00000  2.60613
18.6964  -9999.00000  2.81712
18.9988  -9999.00000  3.19989
19.3061  -9999.00000  3.75541
19.6184  -9999.00000  4.51874
19.9357  -9999.00000  5.03544
20.2582  -9999.00000  5.54059
20.5858  -9999.00000  5.82092
20.9188  -9999.00000  6.09427
21.2571  -9999.00000  6.33783
21.6009  -9999.00000  6.57240
21.9503  -9999.00000  6.81735
22.3053  -9999.00000  7.02907
22.6661  -9999.00000  7.18244
23.0327  -9999.00000  7.34044
23.4053  -9999.00000  7.50316
23.7838  -9999.00000  7.67084
24.1685  -9999.00000  7.82967
24.5594  -9999.00000  7.94165
24.9566  -9999.00000  8.02160
25.3603  -9999.00000  8.10346
25.7705  -9999.00000  8.18718
26.1873  -9999.00000  8.27292
26.6109  -9999.00000  8.36057
27.0413  -9999.00000  8.45026
27.4786  -9999.00000  8.50523
27.9231  -9999.00000  8.48298
28.3747  -9999.00000  8.46143
28.8337  -9999.00000  8.44063
29.3000  6.42036  8.42052
29.7739  6.60587  8.40114
30.2555  6.78479  8.38242
30.7449  6.95679  8.36014
31.2421  7.12112  8.33851
31.7475  7.27943  8.31748
32.2609  7.43148  8.29712
32.7827  7.57865  8.27951
33.3130  7.72386  8.26515
33.8518  7.86781  8.25121
34.3993  8.01004  8.23773
34.9557  8.15066  8.22461
35.5211  8.28968  8.21193
36.0956  8.42699  8.19969
36.6794  8.56131  8.18789
37.2727  8.68331  8.18926
37.8755  8.84642  8.20003
38.4882  8.99967  8.18888
39.1107  9.15249  8.17815
39.7432  9.30865  8.16780
40.3861  9.47192  8.15790
41.0393  9.65478  8.14841
41.7031  9.86223  8.09151
42.3776  10.03226  8.01135
43.0630  10.18294  7.93204
43.7595  10.32436  7.85356
