UN
126.02
11.373
E     f1    f2
10.0000  -9999.00000  1.15242
10.1617  -9999.00000  1.15123
10.3261  -9999.00000  1.15020
10.4931  -9999.00000  1.14899
10.6628  -9999.00000  1.14585
10.8353  -9999.00000  1.14293
11.0106  -9999.00000  1.14022
11.1886  -9999.00000  1.13827
11.3696  -9999.00000  1.13945
11.5535  -9999.00000  1.14100
11.7404  -9999.00000  1.14338
11.9303  -9999.00000  1.14689
12.1232  -9999.00000  1.15075
12.3193  -9999.00000  1.15499
12.5186  -9999.00000  1.15983
12.7210  -9999.00000  1.17039
12.9268  -9999.00000  1.18170
13.1359  -9999.00000  1.19379
13.3483  -9999.00000  1.20668
13.5642  -9999.00000  1.22011
13.7836  -9999.00000  1.23415
14.0066  -9999.00000  1.26270
14.2331  -9999.00000  1.29552
14.4633  -9999.00000  1.33102
14.6973  -9999.00000  1.36939
14.9350  -9999.00000  1.41080
15.1765  -9999.00000  1.45942
15.4220  -9999.00000  1.51319
15.6714  -9999.00000  1.57127
15.9249  -9999.00000  1.63396
16.1825  -9999.00000  1.70158
16.4442  -9999.00000  1.77597
16.7102  -9999.00000  1.86175
16.9805  -9999.00000  1.93119
17.2551  -9999.00000  2.00891
17.5342  -9999.00000  2.09729
17.8178  -9999.00000  2.19260
18.1060  -9999.00000  2.33609
18.3989  -9999.00000  2.49999
18.6964  -9999.00000  2.71488
18.9988  -9999.00000  3.12587
19.3061  -9999.00000  3.73225
19.6184  -9999.00000  4.57169
19.9357  -9999.00000  5.13289
20.2582  -9999.00000  5.68033
20.5858  -9999.00000  5.98081
20.9188  -9999.00000  6.27836
21.2571  -9999.00000  6.54221
21.6009  -9999.00000  6.79578
21.9503  -9999.00000  7.06083
22.3053  -9999.00000  7.29234
22.6661  -9999.00000  7.46182
23.0327  -9999.00000  7.63651
23.4053  -9999.00000  7.81649
23.7838  -9999.00000  8.00203
24.1685  -9999.00000  8.18074
24.5594  -9999.00000  8.31038
24.9566  -9999.00000  8.40395
25.3603  -9999.00000  8.49965
25.7705  -9999.00000  8.59744
26.1873  -9999.00000  8.69746
26.6109  -9999.00000  8.79961
27.0413  -9999.00000  8.90405
