W2B5
60.30
13
E     f1    f2
10.0000  -9999.00000  1.61411
10.1617  -9999.00000  1.63207
10.3261  -9999.00000  1.65111
10.4931  -9999.00000  1.67004
10.6628  -9999.00000  1.68791
10.8353  -9999.00000  1.70672
11.0106  -9999.00000  1.72651
11.1886  -9999.00000  1.74731
11.3696  -9999.00000  1.76916
11.5535  -9999.00000  1.79209
11.7404  -9999.00000  1.81403
11.9303  -9999.00000  1.83097
12.1232  -9999.00000  1.84857
12.3193  -9999.00000  1.86686
12.5186  -9999.00000  1.88585
12.7210  -9999.00000  1.90557
12.9268  -9999.00000  1.92602
13.1359  -9999.00000  1.94723
13.3483  -9999.00000  1.96922
13.5642  -9999.00000  1.99202
13.7836  -9999.00000  2.01563
14.0066  -9999.00000  2.04009
14.2331  -9999.00000  2.06542
14.4633  -9999.00000  2.09164
14.6973  -9999.00000  2.11876
14.9350  -9999.00000  2.14683
15.1765  -9999.00000  2.17538
15.4220  -9999.00000  2.20219
15.6714  -9999.00000  2.22234
15.9249  -9999.00000  2.24259
16.1825  -9999.00000  2.26352
16.4442  -9999.00000  2.28515
16.7102  -9999.00000  2.30751
16.9805  -9999.00000  2.32728
17.2551  -9999.00000  2.33591
17.5342  -9999.00000  2.34482
17.8178  -9999.00000  2.35398
18.1060  -9999.00000  2.36340
18.3989  -9999.00000  2.37308
18.6964  -9999.00000  2.38304
18.9988  -9999.00000  2.39298
19.3061  -9999.00000  2.39411
19.6184  -9999.00000  2.39536
19.9357  -9999.00000  2.39672
20.2582  -9999.00000  2.39819
20.5858  -9999.00000  2.39977
20.9188  -9999.00000  2.39367
21.2571  -9999.00000  2.37353
21.6009  -9999.00000  2.35357
21.9503  -9999.00000  2.33377
22.3053  -9999.00000  2.31429
22.6661  -9999.00000  2.30432
23.0327  -9999.00000  2.29442
23.4053  -9999.00000  2.28459
23.7838  -9999.00000  2.27493
24.1685  -9999.00000  2.24316
24.5594  -9999.00000  2.19989
24.9566  -9999.00000  2.15756
25.3603  -9999.00000  2.11718
25.7705  -9999.00000  2.08668
26.1873  -9999.00000  2.05665
26.6109  -9999.00000  2.02708
27.0413  -9999.00000  1.99797
27.4786  -9999.00000  1.97189
27.9231  -9999.00000  1.95027
28.3747  -9999.00000  1.92889
28.8337  -9999.00000  1.90774
29.3000  3.29208  1.88077
29.7739  3.28135  1.84624
30.2555  3.26158  1.81296
30.7449  3.23363  1.78085
31.2421  3.19782  1.75179
31.7475  3.15716  1.72869
32.2609  3.11135  1.70591
32.7827  3.05541  1.68710
33.3130  2.99460  1.67728
33.8518  2.93101  1.66752
34.3993  2.85348  1.65782
34.9557  2.75984  1.66881
35.5211  2.66930  1.69831
36.0956  2.58490  1.72888
36.6794  2.49236  1.76061
37.2727  2.38262  1.80256
37.8755  2.26782  1.86785
38.4882  2.15269  1.93714
39.1107  2.00658  2.01065
39.7432  1.83995  2.16878
40.3861  1.71159  2.35991
41.0393  1.60684  2.57450
41.7031  1.52511  2.81559
42.3776  1.47142  3.08638
43.0630  1.46774  3.39043
43.7595  1.54059  3.67880
44.4673  1.63014  3.91604
45.1865  1.71219  4.17174
45.9174  1.82688  4.43363
46.6600  1.97228  4.70143
47.4147  2.18478  4.98817
48.1816  2.47614  5.17180
48.9609  2.73238  5.28824
49.7528  2.95288  5.40785
50.5576  3.18019  5.53023
51.3753  3.43384  5.65339
52.2062  3.70351  5.73856
53.0506  3.97028  5.82536
53.9087  4.26886  5.91385
54.7806  4.67822  5.99239
55.6667  5.09936  5.83394
56.5670  5.37815  5.67981
57.4820  5.63957  5.51359
58.4117  5.85887  5.30318
59.3564  6.02659  5.10099
60.3165  6.16693  4.90569
61.2921  6.28059  4.70472
62.2834  6.36165  4.51209
63.2908  6.41780  4.32765
64.3145  6.45070  4.16237
65.3547  6.47534  4.01363
66.4118  6.49377  3.87046
67.4859  6.50072  3.73256
68.5775  6.48443  3.59979
69.6867  6.45325  3.49954
70.8138  6.43935  3.41590
71.9591  6.42826  3.33406
73.1230  6.41637  3.25414
74.3057  6.40188  3.17619
75.5076  6.38027  3.10013
76.7289  6.35344  3.03498
77.9699  6.33081  2.97288
79.2310  6.30499  2.91193
80.5125  6.27324  2.85223
81.8147  6.23171  2.79359
83.1380  6.18407  2.76307
84.4827  6.14898  2.73429
85.8491  6.11665  2.70582
87.2377  6.08465  2.67767
88.6487  6.05063  2.64978
90.0825  6.01315  2.62310
91.5395  5.97396  2.60463
93.0201  5.93608  2.58622
94.5246  5.89606  2.56797
96.0535  5.85152  2.54988
97.6071  5.79567  2.53221
99.1858  5.73489  2.53785
100.7900  5.68350  2.54325
102.4200  5.62641  2.54844
104.0770  5.55977  2.57123
105.7600  5.50481  2.60687
107.4710  5.45788  2.64345
109.2090  5.41298  2.68123
110.9750  5.36657  2.72293
112.7700  5.32449  2.77644
114.5940  5.29186  2.83112
116.4480  5.26454  2.88670
118.3310  5.24273  2.94057
120.2450  5.22162  2.99189
122.1900  5.20036  3.04440
124.1660  5.18016  3.09813
126.1750  5.16094  3.15311
128.2150  5.14294  3.20968
130.2890  5.12628  3.26755
132.3970  5.11106  3.32674
134.5380  5.09731  3.38715
136.7140  5.08539  3.44891
138.9250  5.07667  3.51205
141.1720  5.07410  3.57665
143.4560  5.07784  3.62201
145.7760  5.06577  3.66332
148.1340  5.04487  3.70552
150.5300  5.01405  3.74848
152.9640  4.96893  3.80375
155.4390  4.92778  3.87346
157.9530  4.89001  3.94446
160.5070  4.85078  4.01708
163.1030  4.81057  4.09133
165.7420  4.76550  4.15811
168.4220  4.70446  4.22505
171.1460  4.62768  4.29351
173.9150  4.53166  4.36358
176.7270  4.40227  4.42328
179.5860  4.20554  4.48252
182.4910  3.89098  4.54265
185.4420  3.26300  4.60339
188.4420  1.73704  7.59102
191.4890  3.76520  7.60865
194.5870  4.44197  7.62844
197.7340  4.88406  7.65231
200.9320  5.22562  7.67988
204.1820  5.51274  7.70944
207.4850  5.76575  7.73624
210.8400  5.99326  7.76395
214.2510  6.20281  7.78557
217.7160  6.39389  7.80761
221.2370  6.57137  7.83055
224.8160  6.73848  7.85573
228.4520  6.89792  7.88315
232.1470  7.05152  7.91277
235.9020  7.20088  7.94462
239.7170  7.34731  7.97871
243.5950  7.49211  8.01500
247.5350  7.63647  8.05349
251.5380  7.78171  8.09418
255.6070  7.92947  8.13707
259.7410  8.08191  8.18215
263.9420  8.24591  8.22943
268.2110  8.42996  8.27890
272.5490  8.62086  8.27009
276.9570  8.78531  8.25823
281.4370  8.93802  8.24584
285.9890  9.08254  8.23354
290.6150  9.22121  8.22221
295.3150  9.35575  8.21193
300.0920  9.48857  8.20271
304.9450  9.62166  8.19136
309.8780  9.74863  8.17572
314.8900  9.87064  8.16102
319.9830  9.98936  8.14725
325.1580  10.10541  8.13436
330.4180  10.21926  8.12236
335.7620  10.33165  8.11120
341.1920  10.44354  8.09879
346.7110  10.55123  8.08565
