W3Si4
95.06
13
E     f1    f2
10.0000  -4298.82334  0.90033
10.1617  -4298.81127  0.93762
10.3261  -4298.79899  0.97650
10.4931  -4298.78652  1.01518
10.6628  -4298.77385  1.05222
10.8353  -4298.76097  1.09066
11.0106  -4298.74788  1.13053
11.1886  -4298.73459  1.17189
11.3696  -4298.72108  1.21480
11.5535  -4298.70735  1.25931
11.7404  -4298.69339  1.30229
11.9303  -4298.67921  1.33774
12.1232  -4298.66481  1.37416
12.3193  -4298.65017  1.41158
12.5186  -4298.63528  1.45003
12.7210  -4298.62017  1.48954
12.9268  -4298.60481  1.53014
13.1359  -4298.58919  1.57186
13.3483  -4298.57333  1.61473
13.5642  -4298.55721  1.65878
13.7836  -4298.54083  1.70405
14.0066  -4298.52418  1.75056
14.2331  -4298.50727  1.79835
14.4633  -4298.49008  1.84747
14.6973  -4298.47261  1.89794
14.9350  -4298.45486  1.94980
15.1765  -4298.43683  2.00309
15.4220  -4298.41850  2.05785
15.6714  -4298.39988  2.10251
15.9249  -4298.38095  2.14722
16.1825  -4298.36172  2.19288
16.4442  -4298.34218  2.23951
16.7102  -4298.32231  2.28715
16.9805  -4298.30213  2.33082
17.2551  -4298.28163  2.35767
17.5342  -4298.26079  2.38484
17.8178  -4298.23961  2.41232
18.1060  -4298.21810  2.44013
18.3989  -4298.19623  2.46825
18.6964  -4298.17401  2.49670
18.9988  -4298.15143  2.52509
19.3061  -4298.12849  2.54014
19.6184  -4298.10517  2.55530
19.9357  -4298.08148  2.57057
20.2582  -4298.05740  2.58595
20.5858  -4298.03294  2.60143
20.9188  -4298.00807  2.60529
21.2571  -4297.98282  2.58800
21.6009  -4297.95714  2.57091
21.9503  -4297.93106  2.55401
22.3053  -4297.90455  2.53753
22.6661  -4297.87761  2.53531
23.0327  -4297.85024  2.53313
23.4053  -4297.82242  2.53101
23.7838  -4297.79416  2.52894
24.1685  -4297.76543  2.49345
24.5594  -4297.73625  2.44063
24.9566  -4297.70659  2.38919
25.3603  -4297.67645  2.34062
25.7705  -4297.64582  2.30690
26.1873  -4297.61470  2.27384
26.6109  -4297.58307  2.24144
27.0413  -4297.55093  2.20970
27.4786  -4297.51828  2.18249
27.9231  -4297.48509  2.16195
28.3747  -4297.45137  2.14175
28.8337  -4297.41710  2.12187
29.3000  4.23768  2.09322
29.7739  4.19748  2.05038
30.2555  4.14476  2.00856
30.7449  4.07994  1.96771
31.2421  4.00276  1.93144
31.7475  3.91841  1.90450
32.2609  3.82682  1.87916
32.7827  3.72090  1.85976
33.3130  3.60819  1.85385
33.8518  3.49172  1.84801
34.3993  3.35458  1.84223
34.9557  3.19319  1.86752
35.5211  3.03684  1.92162
36.0956  2.89048  1.97737
36.6794  2.73245  2.03483
37.2727  2.54900  2.10762
37.8755  2.35831  2.21547
38.4882  2.16752  2.32930
39.1107  1.93064  2.44943
39.7432  1.66349  2.69611
40.3861  1.45364  2.99183
41.0393  1.27879  3.32307
41.7031  1.13875  3.69410
42.3776  1.04083  4.10971
43.0630  1.01806  4.57525
43.7595  1.11026  5.01714
44.4673  1.22736  5.38211
45.1865  1.33294  5.77490
45.9174  1.48769  6.17737
46.6600  1.68870  6.58833
47.4147  1.99033  7.02750
48.1816  2.41006  7.31158
48.9609  2.77655  7.49456
49.7528  3.08862  7.68223
50.5576  3.41034  7.87476
51.3753  3.77160  8.06871
52.2062  4.15631  8.20542
53.0506  4.53603  8.34497
53.9087  4.96353  8.48813
54.7806  5.55765  8.61626
55.6667  6.16922  8.38798
56.5670  6.56629  8.16612
57.4820  6.93658  7.92600
58.4117  7.24235  7.61938
59.3564  7.46824  7.32524
60.3165  7.65277  7.04554
61.2921  7.79842  6.75797
62.2834  7.89582  6.48336
63.2908  7.95652  6.22112
64.3145  7.98295  5.98773
65.3547  7.99928  5.77892
66.4118  8.00498  5.57381
67.4859  7.99157  5.37654
68.5775  7.94243  5.18691
69.6867  7.87143  5.04635
70.8138  7.82760  4.92583
71.9591  7.78239  4.80301
73.1230  7.73120  4.68321
74.3057  7.67415  4.56643
75.5076  7.60487  4.44761
76.7289  7.51828  4.34176
77.9699  7.42776  4.24122
79.2310  7.32446  4.14347
80.5125  7.20511  4.05856
81.8147  7.06977  3.97542
83.1380  6.91999  3.93460
84.4827  6.77877  3.89666
85.8491  6.63421  3.86511
