WSi
105.97
13
E     f1    f2
10.0000  -4998.84503  1.02624
10.1617  -4998.83444  1.06926
10.3261  -4998.82368  1.11414
10.4931  -4998.81274  1.15877
10.6628  -4998.80162  1.20149
10.8353  -4998.79032  1.24583
11.0106  -4998.77884  1.29182
11.1886  -4998.76718  1.33955
11.3696  -4998.75533  1.38908
11.5535  -4998.74329  1.44046
11.7404  -4998.73104  1.49005
11.9303  -4998.71861  1.53087
12.1232  -4998.70597  1.57282
12.3193  -4998.69313  1.61593
12.5186  -4998.68007  1.66023
12.7210  -4998.66682  1.70575
12.9268  -4998.65334  1.75254
13.1359  -4998.63964  1.80062
13.3483  -4998.62573  1.85002
13.5642  -4998.61159  1.90080
13.7836  -4998.59722  1.95298
14.0066  -4998.58262  2.00660
14.2331  -4998.56778  2.06171
14.4633  -4998.55270  2.11835
14.6973  -4998.53738  2.17655
14.9350  -4998.52181  2.23636
15.1765  -4998.50599  2.29783
15.4220  -4998.48991  2.36099
15.6714  -4998.47358  2.41241
15.9249  -4998.45697  2.46387
16.1825  -4998.44010  2.51644
16.4442  -4998.42296  2.57012
16.7102  -4998.40554  2.62496
16.9805  -4998.38784  2.67518
17.2551  -4998.36985  2.70584
17.5342  -4998.35157  2.73685
17.8178  -4998.33299  2.76823
18.1060  -4998.31412  2.79996
18.3989  -4998.29493  2.83206
18.6964  -4998.27545  2.86453
18.9988  -4998.25564  2.89691
19.3061  -4998.23552  2.91378
19.6184  -4998.21506  2.93076
19.9357  -4998.19428  2.94786
20.2582  -4998.17316  2.96507
20.5858  -4998.15170  2.98240
20.9188  -4998.12989  2.98620
21.2571  -4998.10773  2.96539
21.6009  -4998.08521  2.94481
21.9503  -4998.06233  2.92445
22.3053  -4998.03908  2.90455
22.6661  -4998.01545  2.90122
23.0327  -4997.99144  2.89793
23.4053  -4997.96703  2.89469
23.7838  -4997.94224  2.89151
24.1685  -4997.91705  2.84944
24.5594  -4997.89144  2.78721
24.9566  -4997.86543  2.72658
25.3603  -4997.83899  2.66927
25.7705  -4997.81212  2.62921
26.1873  -4997.78482  2.58991
26.6109  -4997.75708  2.55137
27.0413  -4997.72889  2.51357
27.4786  -4997.70025  2.48102
27.9231  -4997.67113  2.45622
28.3747  -4997.64155  2.43180
28.8337  -4997.61149  2.40774
29.3000  4.30273  2.37346
29.7739  4.26038  2.32347
30.2555  4.20331  2.27465
30.7449  4.13205  2.22698
31.2421  4.04644  2.18462
31.7475  3.95244  2.15299
32.2609  3.84987  2.12289
32.7827  3.73038  2.09968
33.3130  3.60281  2.09217
33.8518  3.47075  2.08471
34.3993  3.31455  2.07733
34.9557  3.13005  2.10607
35.5211  2.95133  2.16829
36.0956  2.78414  2.23244
36.6794  2.60331  2.29857
37.2727  2.39285  2.38250
37.8755  2.17390  2.50721
38.4882  1.95475  2.63885
39.1107  1.68188  2.77782
39.7432  1.37363  3.06411
40.3861  1.13206  3.40772
41.0393  0.93144  3.79262
41.7031  0.77135  4.22378
42.3776  0.66030  4.70678
43.0630  0.63669  5.24784
43.7595  0.74684  5.76141
44.4673  0.88601  6.18552
45.1865  1.01184  6.64199
45.9174  1.19489  7.10972
46.6600  1.43180  7.58740
47.4147  1.78585  8.09794
48.1816  2.27739  8.42813
48.9609  2.70719  8.64077
49.7528  3.07385  8.85886
50.5576  3.45190  9.08261
51.3753  3.87611  9.30800
52.2062  4.32791  9.46685
53.0506  4.77419  9.62885
53.9087  5.27611  9.79472
54.7806  5.97183  9.94311
55.6667  6.68797  9.67706
56.5670  7.15488  9.41848
57.4820  7.59089  9.13866
58.4117  7.95223  8.78150
59.3564  8.22135  8.43887
60.3165  8.44250  8.11192
61.2921  8.61816  7.77565
62.2834  8.73760  7.45441
63.2908  8.81432  7.14752
64.3145  8.85107  6.87411
65.3547  8.87550  6.62934
66.4118  8.88801  6.39018
67.4859  8.87890  6.16013
68.5775  8.82851  5.93895
69.6867  8.75258  5.77484
70.8138  8.70797  5.63544
71.9591  8.66350  5.49487
73.1230  8.61357  5.35778
74.3057  8.55752  5.22413
75.5076  8.48779  5.08947
76.7289  8.40072  4.97084
77.9699  8.31208  4.85815
79.2310  8.21095  4.74842
80.5125  8.09330  4.65046
81.8147  7.95752  4.55455
83.1380  7.80660  4.50784
84.4827  7.66874  4.46437
85.8491  7.52925  4.42661
87.2377  7.38540  4.38928
88.6487  7.22781  4.35241
90.0825  7.05086  4.31764
91.5395  6.85263  4.29796
93.0201  6.63279  4.27998
94.5246  6.37399  4.26229
96.0535  6.04601  4.24489
97.6071  5.56898  4.22824
99.1858  4.57796  4.25234
100.7900  5.03603  6.20103
102.4200  5.48999  6.01783
104.0770  5.29617  5.91996
105.7600  5.07773  6.18756
107.4710  4.98617  6.52495
109.2090  4.92172  6.79329
110.9750  4.86352  7.10258
112.7700  4.83807  7.43537
114.5940  4.77600  7.76378
116.4480  4.80098  8.26066
118.3310  5.02885  8.70550
120.2450  5.29974  8.98338
122.1900  5.51107  9.24744
124.1660  5.72735  9.44404
126.1750  5.89788  9.63968
128.2150  6.05445  9.86750
130.2890  6.25116  10.13956
132.3970  6.59878  10.38203
134.5380  6.99850  10.41811
136.7140  7.13835  10.30808
138.9250  7.17316  10.38872
141.1720  7.23520  10.56222
143.4560  7.36739  10.67689
145.7760  7.48240  10.88692
148.1340  7.66578  11.05250
150.5300  7.77955  11.16436
152.9640  7.96011  11.42255
155.4390  8.12881  11.33968
157.9530  8.11321  11.58360
160.5070  8.22985  11.87630
163.1030  8.49749  12.21345
165.7420  8.81741  12.43395
168.4220  9.22826  12.63220
171.1460  9.68662  12.69050
173.9150  10.03253  12.53380
176.7270  10.17521  12.37535
179.5860  10.21769  12.35844
182.4910  10.31671  12.45948
185.4420  10.46243  12.53182
188.4420  10.60296  12.61421
191.4890  10.75339  12.69638
194.5870  10.90693  12.78100
197.7340  11.06219  12.86799
200.9320  11.21945  12.95748
204.1820  11.37919  13.05402
207.4850  11.54923  13.14951
210.8400  11.71989  13.24548
214.2510  11.89527  13.34363
217.7160  12.07736  13.44387
221.2370  12.27106  13.54590
224.8160  12.46725  13.62557
228.4520  12.65900  13.70798
232.1470  12.84815  13.79312
235.9020  13.03970  13.88103
239.7170  13.23495  13.97175
243.5950  13.43565  14.06526
247.5350  13.64520  14.16162
251.5380  13.86210  14.25362
255.6070  14.08615  14.34596
259.7410  14.31885  14.44149
263.9420  14.57435  14.54021
268.2110  14.86720  14.64214
272.5490  15.17340  14.64152
276.9570  15.43425  14.63720
281.4370  15.67765  14.63399
285.9890  15.91120  14.63190
290.6150  16.13855  14.63090
295.3150  16.36325  14.63093
300.0920  16.58785  14.62992
304.9450  16.81410  14.62155
309.8780  17.02975  14.60514
314.8900  17.23770  14.58978
319.9830  17.44090  14.57548
325.1580  17.64060  14.56225
330.4180  17.83760  14.55002
335.7620  18.03305  14.53876
341.1920  18.22895  14.52492
346.7110  18.41880  14.50927
352.3190  18.60455  14.49456
358.0170  18.78740  14.48073
363.8080  18.96445  14.46785
369.6920  19.13195  14.44989
375.6720  19.29485  14.46232
381.7480  19.46900  14.47645
387.9220  19.64840  14.49215
394.1970  19.83180  14.50946
