WSi2
79.49
9.857
E     f1    f2
10.0000  -3297.09847  0.88452
10.1617  -3297.11654  0.91297
10.3261  -3297.13398  0.94264
10.4931  -3297.15089  0.97214
10.6628  -3297.16793  1.00037
10.8353  -3297.18474  1.03019
11.0106  -3297.20090  1.06244
11.1886  -3297.21598  1.09584
11.3696  -3297.23039  1.13044
11.5535  -3297.24427  1.16628
11.7404  -3297.25769  1.20096
11.9303  -3297.27070  1.22987
12.1232  -3297.28336  1.25953
12.3193  -3297.29569  1.28997
12.5186  -3297.30772  1.32122
12.7210  -3297.31947  1.35329
12.9268  -3297.33092  1.38621
13.1359  -3297.34204  1.42000
13.3483  -3297.35266  1.45468
13.5642  -3297.36247  1.48955
13.7836  -3297.37253  1.52414
14.0066  -3297.38360  1.55967
14.2331  -3297.39491  1.59617
14.4633  -3297.40648  1.63367
14.6973  -3297.41830  1.67219
14.9350  -3297.43040  1.71176
15.1765  -3297.44275  1.75241
15.4220  -3297.45536  1.79417
15.6714  -3297.46815  1.82817
15.9249  -3297.48124  1.86178
16.1825  -3297.49490  1.89592
16.4442  -3297.50927  1.93078
16.7102  -3297.52422  1.96638
16.9805  -3297.53982  1.99892
17.2551  -3297.55611  2.01853
17.5342  -3297.57314  2.03836
17.8178  -3297.59153  2.05841
18.1060  -3297.61103  2.07922
18.3989  -3297.63092  2.10163
18.6964  -3297.65099  2.12427
18.9988  -3297.67164  2.14686
19.3061  -3297.69306  2.15921
19.6184  -3297.71542  2.17163
19.9357  -3297.73929  2.18413
20.2582  -3297.76587  2.19670
20.5858  -3297.79293  2.21380
20.9188  -3297.81885  2.22266
21.2571  -3297.84432  2.21544
21.6009  -3297.86956  2.20852
21.9503  -3297.89435  2.20192
22.3053  -3297.91675  2.19538
22.6661  -3297.94098  2.19441
23.0327  -3297.96766  2.19345
23.4053  -3297.99540  2.19253
23.7838  -3298.02270  2.19164
24.1685  -3298.04890  2.15919
24.5594  -3298.08217  2.10721
24.9566  -3298.12168  2.05649
25.3603  -3298.16401  2.00815
25.7705  -3298.20855  1.96557
26.1873  -3298.26459  1.91955
26.6109  -3298.33298  1.87500
27.0413  -3298.41114  1.83207
27.4786  -3298.49811  1.80558
27.9231  -3298.58699  1.78421
28.3747  -3298.68262  1.76309
28.8337  -3298.79105  1.74263
29.3000  2.33442  1.72249
29.7739  2.19034  1.69364
30.2555  2.02192  1.66564
30.7449  1.82537  1.63846
31.2421  1.59416  1.61581
31.7475  1.32441  1.60208
32.2609  1.00057  1.58890
32.7827  0.58202  1.58046
33.3130  -0.01624  1.58258
33.8518  -1.29535  1.58495
34.3993  -3.14116  1.58155
34.9557  -3.17527  4.34426
35.5211  -0.89871  4.22349
36.0956  -0.27669  3.99505
36.6794  -0.51114  3.84139
37.2727  -0.82728  4.15931
37.8755  -0.99974  4.59601
38.4882  -1.14237  4.94307
39.1107  -1.30967  5.34151
39.7432  -1.46734  5.84175
40.3861  -1.65287  6.37149
41.0393  -1.70824  7.15113
41.7031  -1.48006  7.89541
42.3776  -1.16564  8.45635
43.0630  -0.87499  9.03450
43.7595  -0.49413  9.50141
44.4673  -0.16005  9.90526
45.1865  0.14116  10.37003
45.9174  0.52798  10.89863
46.6600  1.14628  11.39140
47.4147  1.90508  11.62643
48.1816  2.39839  11.54355
48.9609  2.69854  11.63553
49.7528  2.97454  11.85230
50.5576  3.33217  12.03921
51.3753  3.72814  12.36463
52.2062  4.24836  12.58529
53.0506  4.68854  12.73443
53.9087  5.27972  13.05147
54.7806  5.96204  12.86549
55.6667  6.38946  12.84053
56.5670  6.81676  12.88230
57.4820  7.40880  12.96598
58.4117  8.00873  12.85999
59.3564  8.67615  12.73363
60.3165  9.36970  12.42500
61.2921  9.86779  11.81882
62.2834  10.04698  11.24539
63.2908  10.07852  10.87220
64.3145  10.16219  10.67692
65.3547  10.30421  10.46019
66.4118  10.43666  10.24980
67.4859  10.55680  10.03801
68.5775  10.64827  9.83262
69.6867  10.71916  9.66542
70.8138  10.80635  9.51797
71.9591  10.89072  9.37950
73.1230  10.97998  9.25010
74.3057  11.06979  9.12319
75.5076  11.15488  8.99868
76.7289  11.23904  8.88698
77.9699  11.33897  8.77851
79.2310  11.43346  8.63885
80.5125  11.50940  8.50154
81.8147  11.56426  8.36653
83.1380  11.60824  8.26495
84.4827  11.66392  8.16624
85.8491  11.72112  8.06873
87.2377  11.78028  7.97241
88.6487  11.83482  7.86763
90.0825  11.88020  7.76171
91.5395  11.91639  7.66651
93.0201  11.95071  7.57264
94.5246  11.97974  7.48010
96.0535  12.00096  7.38885
97.6071  12.00707  7.29919
99.1858  12.00549  7.23748
100.7900  12.01325  7.17698
102.4200  12.01376  7.11766
104.0770  12.00448  7.07959
105.7600  12.00835  7.05451
107.4710  12.01939  7.02746
109.2090  12.02949  7.00253
110.9750  12.03573  6.98296
112.7700  12.04506  6.97806
114.5940  12.06395  6.97588
116.4480  12.08825  6.97643
118.3310  12.11870  6.97626
120.2450  12.15020  6.97420
122.1900  12.18185  6.97456
124.1660  12.21555  6.97736
126.1750  12.25286  6.98262
128.2150  12.29501  6.99071
130.2890  12.34463  6.99019
132.3970  12.38724  6.98675
134.5380  12.42788  6.98644
136.7140  12.46909  6.98929
138.9250  12.51337  6.99527
141.1720  12.56480  7.00440
143.4560  12.62426  6.99279
145.7760  12.66686  6.97792
148.1340  12.70115  6.96515
150.5300  12.72599  6.95448
152.9640  12.73757  6.96003
155.4390  12.75841  6.98392
157.9530  12.78901  7.01080
160.5070  12.82631  7.04074
163.1030  12.87205  7.07347
165.7420  12.92362  7.09454
168.4220  12.96970  7.11712
171.1460  13.01711  7.14251
173.9150  13.07011  7.17072
176.7270  13.12652  7.18783
179.5860  13.17457  7.20564
182.4910  13.22030  7.22578
185.4420  13.26271  7.24815
188.4420  13.30237  7.27837
191.4890  13.34754  7.31325
194.5870  13.39524  7.35065
197.7340  13.44541  7.39046
200.9320  13.49845  7.43276
204.1820  13.55741  7.47748
207.4850  13.62029  7.51715
210.8400  13.68028  7.55592
214.2510  13.73991  7.59718
217.7160  13.80038  7.64083
221.2370  13.86235  7.68691
224.8160  13.92610  7.73540
228.4520  13.99207  7.78628
232.1470  14.06061  7.83953
235.9020  14.13208  7.89517
239.7170  14.20676  7.95319
243.5950  14.28490  8.01357
247.5350  14.36705  8.07816
251.5380  14.45620  8.14659
255.6070  14.55371  8.21720
259.7410  14.66107  8.29002
263.9420  14.78556  8.36501
268.2110  14.93658  8.44220
272.5490  15.09803  8.45177
276.9570  15.23131  8.45896
281.4370  15.35577  8.46649
285.9890  15.47391  8.47208
290.6150  15.58685  8.47861
295.3150  15.69730  8.48601
300.0920  15.80791  8.49429
304.9450  15.92073  8.49978
309.8780  16.02833  8.50001
314.8900  16.13311  8.50098
319.9830  16.23577  8.50109
325.1580  16.33538  8.50039
330.4180  16.43252  8.50056
335.7620  16.52850  8.50157
341.1920  16.62439  8.50105
346.7110  16.71606  8.49949
352.3190  16.80458  8.49869
358.0170  16.88996  8.49855
363.8080  16.96978  8.49918
369.6920  17.04049  8.50203
375.6720  17.11244  8.52771
381.7480  17.19331  8.55430
387.9220  17.27766  8.58288
394.1970  17.36690  8.61369
400.5730  17.46021  8.64516
407.0520  17.55669  8.67729
413.6350  17.65511  8.71009
420.3260  17.75731  8.74908
427.1240  17.86792  8.78949
434.0320  17.98671  8.83059
441.0520  18.11724  8.87240
448.1860  18.26702  8.91489
455.4350  18.43118  8.92310
462.8020  18.59585  8.90549
470.2870  18.73450  8.87531
477.8940  18.86059  8.84516
485.6230  18.97946  8.81533
493.4780  19.09296  8.78589
501.4590  19.20267  8.75707
509.5700  19.31013  8.72828
517.8120  19.41867  8.69755
526.1870  19.52463  8.65971
534.6980  19.62730  8.60743
543.3460  19.70923  8.54856
552.1340  19.77653  8.49079
561.0650  19.82766  8.42910
570.1390  19.84582  8.37105
579.3610  19.85247  8.34994
588.7320  19.85345  8.33878
598.2540  19.85149  8.33410
607.9300  19.83122  8.32966
617.7630  19.77525  8.32508
627.7550  19.64994  8.31846
637.9080  19.31121  8.28553
648.2260  14.98733  8.21399
658.7110  15.13831  10.66450
669.3650  16.43463  10.57564
680.1910  20.05669  10.43916
691.1930  20.77280  10.31407
702.3720  21.25614  10.19206
713.7330  21.64494  10.05841
725.2770  21.96327  9.91755
737.0080  22.23977  9.78046
748.9280  22.48602  9.64207
761.0420  22.70887  9.50513
773.3510  22.91436  9.36819
785.8590  23.10703  9.22726
798.5700  23.28021  9.08353
811.4860  23.43873  8.94174
824.6110  23.58527  8.80194
837.9490  23.72190  8.66419
851.5020  23.84955  8.52706
865.2740  23.96910  8.39052
879.2690  24.07940  8.25494
893.4910  24.18183  8.12135
907.9430  24.27753  7.98977
922.6280  24.36784  7.86015
937.5510  24.45210  7.72962
952.7150  24.53002  7.60029
968.1240  24.60100  7.47230
983.7830  24.66643  7.34649
999.6950  24.72744  7.22211
1015.8600  24.78436  7.09928
1032.2900  24.83588  6.97365
1048.9900  24.88120  6.84883
1065.9600  24.91880  6.72479
1083.2000  24.94992  6.60291
1100.7200  24.97523  6.48318
1118.5200  24.99489  6.36551
