mo2cb4
35.33
5.97
E     f1    f2
10.0000  -9999.00000  1.55340
10.1617  -9999.00000  1.56550
10.3261  -9999.00000  1.57817
10.4931  -9999.00000  1.59144
10.6628  -9999.00000  1.60532
10.8353  -9999.00000  1.62005
11.0106  -9999.00000  1.63606
11.1886  -9999.00000  1.65286
11.3696  -9999.00000  1.67124
11.5535  -9999.00000  1.70441
11.7404  -9999.00000  1.73934
11.9303  -9999.00000  1.77610
12.1232  -9999.00000  1.81377
12.3193  -9999.00000  1.85328
12.5186  -9999.00000  1.89475
12.7210  -9999.00000  1.93829
12.9268  -9999.00000  1.98398
13.1359  -9999.00000  2.03127
13.3483  -9999.00000  2.07938
13.5642  -9999.00000  2.12544
13.7836  -9999.00000  2.17269
14.0066  -9999.00000  2.22192
14.2331  -9999.00000  2.27320
14.4633  -9999.00000  2.32662
14.6973  -9999.00000  2.38067
14.9350  -9999.00000  2.43359
15.1765  -9999.00000  2.48657
15.4220  -9999.00000  2.53829
15.6714  -9999.00000  2.59205
15.9249  -9999.00000  2.64790
16.1825  -9999.00000  2.70451
16.4442  -9999.00000  2.75872
16.7102  -9999.00000  2.81501
16.9805  -9999.00000  2.87264
17.2551  -9999.00000  2.91207
17.5342  -9999.00000  2.95257
17.8178  -9999.00000  2.99334
18.1060  -9999.00000  3.03208
18.3989  -9999.00000  3.07185
18.6964  -9999.00000  3.11268
18.9988  -9999.00000  3.15458
19.3061  -9999.00000  3.18724
19.6184  -9999.00000  3.19365
19.9357  -9999.00000  3.20018
20.2582  -9999.00000  3.20682
20.5858  -9999.00000  3.20899
20.9188  -9999.00000  3.20921
21.2571  -9999.00000  3.20953
21.6009  -9999.00000  3.19341
21.9503  -9999.00000  3.16818
22.3053  -9999.00000  3.14316
22.6661  -9999.00000  3.11834
23.0327  -9999.00000  3.09304
23.4053  -9999.00000  3.06398
23.7838  -9999.00000  3.02866
24.1685  -9999.00000  2.96679
24.5594  -9999.00000  2.90630
24.9566  -9999.00000  2.84717
