mo4b4c
48.74
7.85
E     f1    f2
10.0000  -9999.00000  1.66386
10.1617  -9999.00000  1.68149
10.3261  -9999.00000  1.69972
10.4931  -9999.00000  1.71856
10.6628  -9999.00000  1.73804
10.8353  -9999.00000  1.75832
11.0106  -9999.00000  1.77978
11.1886  -9999.00000  1.80200
11.3696  -9999.00000  1.82621
11.5535  -9999.00000  1.87288
11.7404  -9999.00000  1.92174
11.9303  -9999.00000  1.97289
12.1232  -9999.00000  2.02563
12.3193  -9999.00000  2.08073
12.5186  -9999.00000  2.13834
12.7210  -9999.00000  2.19855
12.9268  -9999.00000  2.26147
13.1359  -9999.00000  2.32622
13.3483  -9999.00000  2.39156
13.5642  -9999.00000  2.45632
13.7836  -9999.00000  2.52308
14.0066  -9999.00000  2.59251
14.2331  -9999.00000  2.66469
14.4633  -9999.00000  2.73975
14.6973  -9999.00000  2.81653
14.9350  -9999.00000  2.89372
15.1765  -9999.00000  2.97106
15.4220  -9999.00000  3.04789
15.6714  -9999.00000  3.12759
15.9249  -9999.00000  3.21027
16.1825  -9999.00000  3.29489
16.4442  -9999.00000  3.37908
16.7102  -9999.00000  3.46636
16.9805  -9999.00000  3.55559
17.2551  -9999.00000  3.61648
17.5342  -9999.00000  3.67888
17.8178  -9999.00000  3.74220
18.1060  -9999.00000  3.80464
18.3989  -9999.00000  3.86863
18.6964  -9999.00000  3.93420
18.9988  -9999.00000  4.00136
19.3061  -9999.00000  4.05414
19.6184  -9999.00000  4.06610
19.9357  -9999.00000  4.07818
20.2582  -9999.00000  4.09038
20.5858  -9999.00000  4.09911
20.9188  -9999.00000  4.10634
21.2571  -9999.00000  4.11369
21.6009  -9999.00000  4.09544
21.9503  -9999.00000  4.06301
22.3053  -9999.00000  4.03084
22.6661  -9999.00000  3.99892
23.0327  -9999.00000  3.96673
23.4053  -9999.00000  3.93169
23.7838  -9999.00000  3.88675
24.1685  -9999.00000  3.80039
24.5594  -9999.00000  3.71606
24.9566  -9999.00000  3.63373
25.3603  -9999.00000  3.55333
25.7705  -9999.00000  3.46713
26.1873  -9999.00000  3.29098
26.6109  -9999.00000  3.12429
27.0413  -9999.00000  2.96746
27.4786  -9999.00000  2.81988
27.9231  -9999.00000  2.68078
28.3747  -9999.00000  2.54978
28.8337  -9999.00000  2.42647
29.3000  4.77687  2.31038
29.7739  4.60041  2.25568
30.2555  4.46850  2.24622
30.7449  4.34681  2.23720
31.2421  4.21913  2.22831
31.7475  4.06359  2.23187
32.2609  3.91582  2.28908
32.7827  3.78253  2.34914
33.3130  3.64696  2.41217
33.8518  3.48586  2.47978
34.3993  3.32173  2.62276
34.9557  3.18052  2.77809
35.5211  3.04305  2.94668
36.0956  2.90804  3.16278
36.6794  2.80125  3.40887
37.2727  2.71750  3.68007
37.8755  2.65816  3.97882
38.4882  2.62745  4.30918
39.1107  2.63730  4.67493
39.7432  2.70249  5.07733
40.3861  2.85425  5.51998
41.0393  3.18748  5.92881
41.7031  3.50142  6.15147
42.3776  3.78545  6.38418
43.0630  4.08342  6.62723
43.7595  4.44520  6.88116
44.4673  4.93152  7.03203
45.1865  5.33853  7.09082
45.9174  5.73341  7.15131
46.6600  6.19471  7.16042
47.4147  6.59371  7.06069
48.1816  6.95631  6.96242
48.9609  7.33360  6.86547
49.7528  7.68747  6.64640
50.5576  7.96229  6.42279
51.3753  8.19487  6.20679
52.2062  8.39942  5.99825
53.0506  8.58429  5.79690
53.9087  8.75693  5.60302
54.7806  8.93416  5.41615
55.6667  9.11539  5.17921
56.5670  9.24097  4.93083
57.4820  9.33203  4.69493
58.4117  9.40272  4.47092
59.3564  9.45745  4.25810
60.3165  9.49949  4.05582
61.2921  9.53153  3.86335
62.2834  9.55502  3.67966
63.2908  9.57196  3.50516
64.3145  9.58555  3.33937
65.3547  9.60220  3.18185
66.4118  9.62963  3.00638
67.4859  9.62319  2.81986
68.5775  9.59867  2.64581
69.6867  9.56298  2.48326
70.8138  9.51918  2.33148
71.9591  9.46923  2.18962
73.1230  9.41436  2.05716
74.3057  9.35563  1.93347
75.5076  9.29388  1.81796
76.7289  9.22970  1.71008
77.9699  9.16355  1.60931
79.2310  9.09578  1.51508
80.5125  9.02659  1.42702
81.8147  8.95599  1.34463
83.1380  8.88440  1.26853
84.4827  8.81242  1.19741
85.8491  8.73970  1.13084
87.2377  8.66598  1.06851
