mocb4
25.23
4.83
E     f1    f2
10.0000  -9999.00000  1.46976
10.1617  -9999.00000  1.47773
10.3261  -9999.00000  1.48625
10.4931  -9999.00000  1.49536
10.6628  -9999.00000  1.50507
10.8353  -9999.00000  1.51565
11.0106  -9999.00000  1.52761
11.1886  -9999.00000  1.54038
11.3696  -9999.00000  1.55442
11.5535  -9999.00000  1.57748
11.7404  -9999.00000  1.60197
11.9303  -9999.00000  1.62796
12.1232  -9999.00000  1.65433
12.3193  -9999.00000  1.68215
12.5186  -9999.00000  1.71155
12.7210  -9999.00000  1.74261
12.9268  -9999.00000  1.77539
13.1359  -9999.00000  1.80960
13.3483  -9999.00000  1.84482
13.5642  -9999.00000  1.87686
13.7836  -9999.00000  1.90947
14.0066  -9999.00000  1.94356
14.2331  -9999.00000  1.97917
14.4633  -9999.00000  2.01636
14.6973  -9999.00000  2.05335
14.9350  -9999.00000  2.08805
15.1765  -9999.00000  2.12273
15.4220  -9999.00000  2.15561
15.6714  -9999.00000  2.18988
15.9249  -9999.00000  2.22560
16.1825  -9999.00000  2.26115
16.4442  -9999.00000  2.29284
16.7102  -9999.00000  2.32582
16.9805  -9999.00000  2.35968
17.2551  -9999.00000  2.38300
17.5342  -9999.00000  2.40703
17.8178  -9999.00000  2.43086
18.1060  -9999.00000  2.45176
18.3989  -9999.00000  2.47332
18.6964  -9999.00000  2.49554
18.9988  -9999.00000  2.51843
19.3061  -9999.00000  2.53596
19.6184  -9999.00000  2.53822
19.9357  -9999.00000  2.54058
20.2582  -9999.00000  2.54305
20.5858  -9999.00000  2.54029
20.9188  -9999.00000  2.53522
21.2571  -9999.00000  2.53025
21.6009  -9999.00000  2.51571
21.9503  -9999.00000  2.49591
22.3053  -9999.00000  2.47626
22.6661  -9999.00000  2.45677
23.0327  -9999.00000  2.43666
23.4053  -9999.00000  2.41207
23.7838  -9999.00000  2.38397
24.1685  -9999.00000  2.34051
24.5594  -9999.00000  2.29794
24.9566  -9999.00000  2.25627
25.3603  -9999.00000  2.21546
25.7705  -9999.00000  2.17261
26.1873  -9999.00000  2.09597
26.6109  -9999.00000  2.02192
27.0413  -9999.00000  1.95174
